group,period,n_all,n_noreg,n_nobirth,n_nosex,u_pooled,u_sex,employers,share_n_noreg,share_n_nobirth,share_n_nosex,share_u_pooled,share_u_sex,panel_pm_22_69,panel_pm_young
high,interim,16862834.0,44186.0,0.0,0.0,44186.0,44186.0,26390.0,0.0026203187435753683,0.0,0.0,0.0026203187435753683,0.0026203187435753683,13124220.0,802783.0
high,later,23217373.0,55634.0,0.0,0.0,55634.0,55634.0,25620.0,0.002396222862939748,0.0,0.0,0.002396222862939748,0.002396222862939748,18220036.0,1012337.0
high,pre_hike,17569096.0,38988.0,0.0,0.0,38988.0,38988.0,27160.0,0.0022191238524736845,0.0,0.0,0.0022191238524736845,0.0022191238524736845,14168584.0,855449.0
high,tightening,9744570.0,22229.0,0.0,0.0,22229.0,22229.0,26629.0,0.0022811678709270906,0.0,0.0,0.0022811678709270906,0.0022811678709270906,7816422.0,507169.0
other,interim,60323687.0,117939.0,0.0,0.0,117939.0,117939.0,73708.0,0.001955102644836679,0.0,0.0,0.001955102644836679,0.001955102644836679,41140701.0,3601013.0
other,later,82195005.0,164365.0,0.0,0.0,164365.0,164365.0,70909.0,0.0019996957236026692,0.0,0.0,0.0019996957236026692,0.0019996957236026692,56288175.0,4741829.0
other,pre_hike,66917774.0,122056.0,0.0,0.0,122056.0,122056.0,76841.0,0.001823969817047411,0.0,0.0,0.001823969817047411,0.001823969817047411,46244943.0,4039788.0
other,tightening,36923806.0,67516.0,0.0,0.0,67516.0,67516.0,74778.0,0.0018285222276381802,0.0,0.0,0.0018285222276381802,0.0018285222276381802,25277732.0,2321390.0
all,interim,77186521.0,162125.0,0.0,0.0,162125.0,162125.0,100098.0,0.0021004314989141694,0.0,0.0,0.0021004314989141694,0.0021004314989141694,,
all,later,105412378.0,219999.0,0.0,0.0,219999.0,219999.0,96529.0,0.0020870319423018802,0.0,0.0,0.0020870319423018802,0.0020870319423018802,,
all,pre_hike,84486870.0,161044.0,0.0,0.0,161044.0,161044.0,104001.0,0.001906142339040374,0.0,0.0,0.001906142339040374,0.001906142339040374,,
all,tightening,46668376.0,89745.0,0.0,0.0,89745.0,89745.0,101407.0,0.0019230367047698425,0.0,0.0,0.0019230367047698425,0.0019230367047698425,,
