group,year_month,n_all,n_noreg,n_nobirth,n_nosex,u_pooled,u_sex,employers,share_n_noreg,share_n_nobirth,share_n_nosex,share_u_pooled,share_u_sex
high,2021-01,1149725.0,2761.0,0.0,0.0,2761.0,2761.0,26577.0,0.0024014438235230163,0.0,0.0,0.0024014438235230163,0.0024014438235230163
high,2021-02,1131509.0,2755.0,0.0,0.0,2755.0,2755.0,26576.0,0.0024348016675077265,0.0,0.0,0.0024348016675077265,0.0024348016675077265
high,2021-03,1141021.0,2799.0,0.0,0.0,2799.0,2799.0,26590.0,0.002453066157415157,0.0,0.0,0.002453066157415157,0.002453066157415157
high,2021-04,1149589.0,2777.0,0.0,0.0,2777.0,2777.0,26600.0,0.00241564593954883,0.0,0.0,0.00241564593954883,0.00241564593954883
high,2021-05,1173829.0,2819.0,0.0,0.0,2819.0,2819.0,26575.0,0.0024015423030100637,0.0,0.0,0.0024015423030100637,0.0024015423030100637
high,2021-06,1183080.0,2704.0,0.0,0.0,2704.0,2704.0,26578.0,0.0022855597254623525,0.0,0.0,0.0022855597254623525,0.0022855597254623525
high,2021-07,1160195.0,2583.0,0.0,0.0,2583.0,2583.0,26485.0,0.002226349880838997,0.0,0.0,0.002226349880838997,0.002226349880838997
high,2021-08,1148300.0,2471.0,0.0,0.0,2471.0,2471.0,26485.0,0.002151876687276844,0.0,0.0,0.002151876687276844,0.002151876687276844
high,2021-09,1175561.0,2480.0,0.0,0.0,2480.0,2480.0,26510.0,0.002109631061255009,0.0,0.0,0.002109631061255009,0.002109631061255009
high,2021-10,1185085.0,2549.0,0.0,0.0,2549.0,2549.0,26500.0,0.002150900568313665,0.0,0.0,0.002150900568313665,0.002150900568313665
high,2021-11,1184004.0,2449.0,0.0,0.0,2449.0,2449.0,26526.0,0.0020684051743068434,0.0,0.0,0.0020684051743068434,0.0020684051743068434
high,2021-12,1218517.0,2565.0,0.0,0.0,2565.0,2565.0,26505.0,0.002105017820842877,0.0,0.0,0.002105017820842877,0.002105017820842877
