"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",7.53905325187864e-05,-5.74556077912075e-07,-4.0843294210739e-05,1.93748906294308e-05,-1.30006636512223e-06,-4.60382534744323e-06,3.19519040111555e-05,2.40986175234796e-07,-1.04414897647874e-07,4.78224862740763e-06,9.22665957181493e-07,-3.60811336239771e-06,-1.82951041400086e-05,4.18336392461254e-07,4.20688178055566e-06,-1.60284151428258e-05,9.06312086867327e-07,2.30454246787126e-06
"rb_x_high_x_female",-5.74556077912075e-07,4.43001388378342e-06,-1.02247349889785e-06,7.86229280232115e-07,3.0843307337856e-07,-3.4935631400864e-07,1.91269707209181e-06,1.40164489567266e-06,-2.03727766174967e-06,-3.05332740275784e-06,-8.27046112950225e-08,6.75935684643583e-07,-2.3310351674544e-06,-5.64968760971619e-07,9.09173400359454e-07,2.62453374184818e-07,-3.5657266906136e-07,4.8663952684517e-07
"rb_x_high_x_young_x_female",-4.0843294210739e-05,-1.02247349889785e-06,8.80834795470182e-05,5.86682696549868e-07,-2.58046834892396e-07,-3.27128331758075e-06,5.60535457720724e-08,-2.2347330088427e-06,-7.49995517379866e-06,-4.30927639213474e-06,-2.31358182317726e-07,5.44633553429552e-06,3.48688332449872e-06,8.24096407618316e-09,-9.54237376339526e-06,-1.78577519502063e-07,-2.25804104008037e-07,-7.41903351392056e-06
"interim_x_high_x_young",1.93748906294308e-05,7.86229280232115e-07,5.86682696549868e-07,0.000118793663263021,-5.52834980310865e-06,-4.53960253624726e-05,0.000146898664280116,-1.49433047414476e-06,-4.78573469590451e-05,4.85149086993555e-06,-3.87368759699673e-07,9.01201353145559e-06,-1.0915381979747e-05,-7.95852813263318e-07,7.01399985936862e-06,-2.28025987510588e-05,-7.52700955321529e-07,-3.16046742838579e-06
"interim_x_high_x_female",-1.30006636512223e-06,3.0843307337856e-07,-2.58046834892396e-07,-5.52834980310865e-06,5.13819812112678e-06,-2.52380885019209e-06,-5.76426775053625e-07,6.95487704999469e-06,-4.45125084512455e-06,-2.23419719911525e-06,-4.3419114314723e-07,1.95559473452356e-06,-2.22918638756759e-06,-1.10359151541145e-07,-4.52406037599626e-08,8.47786418987925e-07,8.88887624125065e-08,-2.35164451995548e-06
"interim_x_high_x_young_x_female",-4.60382534744323e-06,-3.4935631400864e-07,-3.27128331758075e-06,-4.53960253624726e-05,-2.52380885019209e-06,8.26224339094698e-05,-5.7584833821033e-05,-5.51505576199833e-06,8.30230819842719e-05,-2.83411586517019e-08,5.26475666706365e-07,-1.11559864519085e-05,6.90851619977892e-06,-2.35323484001981e-07,6.0782488980645e-07,7.13417543637246e-06,-6.78204715803863e-10,9.46281869084611e-06
"post_x_high_x_young",3.19519040111555e-05,1.91269707209181e-06,5.60535457720724e-08,0.000146898664280116,-5.76426775053625e-07,-5.7584833821033e-05,0.000319756222578198,1.66362589252206e-05,-0.000128374051824622,2.51423096432418e-05,-4.48085361362145e-07,1.04873286390334e-05,-1.19365870668471e-06,-1.32854846431728e-07,4.03322002478381e-06,-3.6476888682231e-05,5.96192608356853e-07,-5.28014060510146e-06
"post_x_high_x_female",2.40986175234796e-07,1.40164489567266e-06,-2.2347330088427e-06,-1.49433047414476e-06,6.95487704999469e-06,-5.51505576199833e-06,1.66362589252206e-05,1.54026257614684e-05,-1.70156635542859e-05,-5.61697913661766e-06,-1.38207011349408e-06,3.08802014877044e-06,-5.74684950222222e-06,-4.7164943797782e-07,-8.52946934817453e-07,-7.56203892814575e-07,-2.77965053134817e-07,-4.53461703411194e-06
"post_x_high_x_young_x_female",-1.04414897647874e-07,-2.03727766174967e-06,-7.49995517379866e-06,-4.78573469590451e-05,-4.45125084512455e-06,8.30230819842719e-05,-0.000128374051824622,-1.70156635542859e-05,0.000201803537500706,-6.68300118320323e-06,3.90199039578319e-06,-8.37843554473001e-06,-5.12662472034829e-06,1.70742599017343e-06,-1.20578198988282e-06,3.1898169322403e-07,2.46828864757244e-06,1.99204338602905e-06
"q1_x_high_x_young",4.78224862740763e-06,-3.05332740275784e-06,-4.30927639213474e-06,4.85149086993555e-06,-2.23419719911525e-06,-2.83411586517019e-08,2.51423096432418e-05,-5.61697913661766e-06,-6.68300118320323e-06,0.000108921828018268,-8.04915349374298e-07,7.84951141766096e-06,5.86489967310737e-05,1.52011551592769e-07,9.53930180553632e-07,-2.67320466794765e-05,-1.72012201783416e-06,-2.05927755368793e-06
"q1_x_high_x_female",9.22665957181493e-07,-8.27046112950225e-08,-2.31358182317726e-07,-3.87368759699673e-07,-4.3419114314723e-07,5.26475666706365e-07,-4.48085361362145e-07,-1.38207011349408e-06,3.90199039578319e-06,-8.04915349374298e-07,1.86137767085663e-06,-3.6006207261359e-06,3.73518542331675e-07,1.00579862423869e-06,-2.10751096668848e-06,5.88944263032541e-07,1.0172216482483e-06,2.4054957534259e-07
"q1_x_high_x_young_x_female",-3.60811336239771e-06,6.75935684643583e-07,5.44633553429552e-06,9.01201353145559e-06,1.95559473452356e-06,-1.11559864519085e-05,1.04873286390334e-05,3.08802014877044e-06,-8.37843554473001e-06,7.84951141766096e-06,-3.6006207261359e-06,5.99640163038349e-05,-1.70624924822035e-05,-1.18184704652789e-06,2.89191824577065e-05,-2.08268327739751e-05,-2.15459425029233e-06,-1.25558530936701e-05
"q2_x_high_x_young",-1.82951041400086e-05,-2.3310351674544e-06,3.48688332449872e-06,-1.0915381979747e-05,-2.22918638756759e-06,6.90851619977892e-06,-1.19365870668471e-06,-5.74684950222222e-06,-5.12662472034829e-06,5.86489967310737e-05,3.73518542331675e-07,-1.70624924822035e-05,8.56076988172757e-05,-4.4986457700482e-07,-9.95647467050909e-06,3.75151207053458e-05,-9.42552729539881e-07,1.30204982464737e-05
"q2_x_high_x_female",4.18336392461254e-07,-5.64968760971619e-07,8.24096407618316e-09,-7.95852813263318e-07,-1.10359151541145e-07,-2.35323484001981e-07,-1.32854846431728e-07,-4.7164943797782e-07,1.70742599017343e-06,1.52011551592769e-07,1.00579862423869e-06,-1.18184704652789e-06,-4.4986457700482e-07,1.14765099608272e-06,-1.85371763612838e-06,-5.24170791416787e-07,8.41490212454119e-07,-7.70338058574143e-07
"q2_x_high_x_young_x_female",4.20688178055566e-06,9.09173400359454e-07,-9.54237376339526e-06,7.01399985936862e-06,-4.52406037599626e-08,6.0782488980645e-07,4.03322002478381e-06,-8.52946934817453e-07,-1.20578198988282e-06,9.53930180553632e-07,-2.10751096668848e-06,2.89191824577065e-05,-9.95647467050909e-06,-1.85371763612838e-06,3.54076651020596e-05,-6.84802379806979e-06,-1.78963759054823e-06,1.08303422177602e-05
"q3_x_high_x_young",-1.60284151428258e-05,2.62453374184818e-07,-1.78577519502063e-07,-2.28025987510588e-05,8.47786418987925e-07,7.13417543637246e-06,-3.6476888682231e-05,-7.56203892814575e-07,3.1898169322403e-07,-2.67320466794765e-05,5.88944263032541e-07,-2.08268327739751e-05,3.75151207053458e-05,-5.24170791416787e-07,-6.84802379806979e-06,0.000121034649206228,1.25532189989524e-06,7.29152024710008e-06
"q3_x_high_x_female",9.06312086867327e-07,-3.5657266906136e-07,-2.25804104008037e-07,-7.52700955321529e-07,8.88887624125065e-08,-6.78204715803863e-10,5.96192608356853e-07,-2.77965053134817e-07,2.46828864757244e-06,-1.72012201783416e-06,1.0172216482483e-06,-2.15459425029233e-06,-9.42552729539881e-07,8.41490212454119e-07,-1.78963759054823e-06,1.25532189989524e-06,1.63502418719133e-06,-1.44405437956939e-06
"q3_x_high_x_young_x_female",2.30454246787126e-06,4.8663952684517e-07,-7.41903351392056e-06,-3.16046742838579e-06,-2.35164451995548e-06,9.46281869084611e-06,-5.28014060510146e-06,-4.53461703411194e-06,1.99204338602905e-06,-2.05927755368793e-06,2.4054957534259e-07,-1.25558530936701e-05,1.30204982464737e-05,-7.70338058574143e-07,1.08303422177602e-05,7.29152024710008e-06,-1.44405437956939e-06,4.73956240564026e-05
