"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",7.53905641255624e-05,-5.74558767845045e-07,-4.08428555893399e-05,1.93748877948183e-05,-1.30006346820613e-06,-4.60408474454652e-06,3.19516667070344e-05,2.41011325254871e-07,-1.04358970442938e-07,4.78241269495183e-06,9.22661449027417e-07,-3.60727506653367e-06,-1.82951232590027e-05,4.18344545573124e-07,4.2066156706562e-06,-1.60284335242808e-05,9.0630319363248e-07,2.30460107531088e-06
"rb_x_high_x_female",-5.74558767845045e-07,4.43001139186723e-06,-1.02248636300945e-06,7.86232347555308e-07,3.08429430626286e-07,-3.493643212099e-07,1.91269229392075e-06,1.40163752192453e-06,-2.03736537888507e-06,-3.05332919853155e-06,-8.27101107628295e-08,6.75934996030463e-07,-2.33102085178333e-06,-5.64975152502507e-07,9.09317707268254e-07,2.62450894909928e-07,-3.56572155079116e-07,4.86671094886229e-07
"rb_x_high_x_young_x_female",-4.08428555893399e-05,-1.02248636300945e-06,8.80829366582373e-05,5.86698152846941e-07,-2.58041520969395e-07,-3.27129175780663e-06,5.66003741576062e-08,-2.23476109386005e-06,-7.50029785871127e-06,-4.30877117780507e-06,-2.3133271802889e-07,5.4459518249703e-06,3.48692170280183e-06,8.27303004996988e-09,-9.54149264896206e-06,-1.78845711091164e-07,-2.25802019357894e-07,-7.41893751137077e-06
"interim_x_high_x_young",1.93748877948183e-05,7.86232347555308e-07,5.86698152846941e-07,0.000118793630681694,-5.52835547107556e-06,-4.53963972655544e-05,0.000146898696702245,-1.49422241800481e-06,-4.78570346262423e-05,4.85145820513886e-06,-3.87368791564785e-07,9.01115406831456e-06,-1.09153472234831e-05,-7.95865542908968e-07,7.01343087550942e-06,-2.28025316731221e-05,-7.52717953337264e-07,-3.16114006091872e-06
"interim_x_high_x_female",-1.30006346820613e-06,3.08429430626286e-07,-2.58041520969395e-07,-5.52835547107556e-06,5.13820510706776e-06,-2.52376242601107e-06,-5.76436134011905e-07,6.95487961026483e-06,-4.45125699694755e-06,-2.23419177724328e-06,-4.34197026981783e-07,1.95564828908327e-06,-2.22920188535278e-06,-1.10356582424031e-07,-4.5144952070251e-08,8.47779436562535e-07,8.88982928542149e-08,-2.35168378923701e-06
"interim_x_high_x_young_x_female",-4.60408474454652e-06,-3.493643212099e-07,-3.27129175780663e-06,-4.53963972655544e-05,-2.52376242601107e-06,8.26230179435728e-05,-5.75853053175319e-05,-5.51506772535204e-06,8.30235613968106e-05,-2.85468242819894e-08,5.2652255419405e-07,-1.11562612920273e-05,6.90864815300654e-06,-2.35326822645846e-07,6.08379901565014e-07,7.1342990291521e-06,-6.62169018180831e-10,9.46266223074172e-06
"post_x_high_x_young",3.19516667070344e-05,1.91269229392075e-06,5.66003741576062e-08,0.000146898696702245,-5.76436134011905e-07,-5.75853053175319e-05,0.000319756212723321,1.66364035564548e-05,-0.000128373704330192,2.51423734481031e-05,-4.48048727063255e-07,1.04875912162192e-05,-1.19353735825875e-06,-1.32830055867063e-07,4.03373568555625e-06,-3.64768001728019e-05,5.96214749676072e-07,-5.28136291776323e-06
"post_x_high_x_female",2.41011325254871e-07,1.40163752192453e-06,-2.23476109386005e-06,-1.49422241800481e-06,6.95487961026483e-06,-5.51506772535204e-06,1.66364035564548e-05,1.54026605191401e-05,-1.70158797621898e-05,-5.61696564822933e-06,-1.38210907318567e-06,3.08798998433587e-06,-5.74687142360378e-06,-4.71659909249705e-07,-8.52803009206967e-07,-7.56200060208792e-07,-2.77967164892628e-07,-4.53472588920721e-06
"post_x_high_x_young_x_female",-1.04358970442938e-07,-2.03736537888507e-06,-7.50029785871127e-06,-4.78570346262423e-05,-4.45125699694755e-06,8.30235613968106e-05,-0.000128373704330192,-1.70158797621898e-05,0.000201804442644328,-6.68298478863283e-06,3.9020776746832e-06,-8.37928896463077e-06,-5.12675580273004e-06,1.70747127488295e-06,-1.20589952042359e-06,3.18669577475305e-07,2.46834810934572e-06,1.99104773014431e-06
"q1_x_high_x_young",4.78241269495183e-06,-3.05332919853155e-06,-4.30877117780507e-06,4.85145820513886e-06,-2.23419177724328e-06,-2.85468242819894e-08,2.51423734481031e-05,-5.61696564822933e-06,-6.68298478863283e-06,0.00010892208459715,-8.04877546950477e-07,7.85057064484183e-06,5.86489347637198e-05,1.52061684231902e-07,9.53682107962134e-07,-2.67322719164366e-05,-1.72013463230557e-06,-2.05960188553039e-06
