"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",7.52510304719664e-05,-5.81328058991091e-07,-4.13559843727039e-05,1.91769289301974e-05,-1.23159170780714e-06,-9.79354178300982e-07,3.16253299976335e-05,2.70127965829834e-07,1.72437269878899e-06,4.59508390579002e-06,9.37311799637756e-07,-3.49161271000673e-06,-1.8219743661155e-05,4.30052387045424e-07,5.36282367809382e-06,-1.57324143127385e-05,9.18387586304038e-07,2.84279853273678e-06
"rb_x_high_x_female",-5.81328058991091e-07,4.43493871421345e-06,-1.11609310441529e-06,8.24967597691759e-07,3.64275936883469e-07,-2.25711303590168e-06,1.95016155058946e-06,1.4529626334538e-06,-3.97872503506721e-06,-3.03876896878352e-06,-6.91931086701122e-08,7.88312529486584e-07,-2.31032991717194e-06,-5.54940171294912e-07,1.01244240410088e-06,2.92367782501956e-07,-3.55788428174616e-07,5.83965879325233e-07
"rb_x_high_x_young_x_female",-4.13559843727039e-05,-1.11609310441529e-06,8.85717598920292e-05,-7.32706430764723e-07,-1.77390975430104e-07,8.17361982918141e-06,-1.20929969830855e-06,-2.25064885123364e-06,7.73610934860502e-06,-6.84006674228476e-06,-2.40238583143381e-07,6.06207427151107e-06,4.12088556322188e-06,-8.11598698705396e-08,-8.47702424690182e-06,4.51082723663547e-06,-1.24013708121791e-07,-7.09877159088078e-06
"interim_x_high_x_young",1.91769289301974e-05,8.24967597691759e-07,-7.32706430764723e-07,0.000118489680581792,-5.7732696303051e-06,-4.08485561221848e-05,0.000145442963051991,-1.91010499590475e-06,-4.48304062564871e-05,3.05802554008116e-06,-4.85431032797501e-07,7.37067659173456e-06,-1.19170283612425e-05,-9.19550770729692e-07,6.87720018924358e-06,-1.93255999184263e-05,-6.73811618244732e-07,-4.61903153004286e-06
"interim_x_high_x_female",-1.23159170780714e-06,3.64275936883469e-07,-1.77390975430104e-07,-5.7732696303051e-06,5.64505891340946e-06,8.80537147986773e-07,-8.39273699085549e-07,7.56896415766332e-06,9.72299761000224e-08,-3.15386301162951e-06,-4.34962596733736e-07,3.40004898145874e-06,-3.09193574250027e-06,-1.06125541734596e-07,1.50841727605887e-06,2.17502905497457e-06,1.3983121414201e-07,-2.42673962682964e-06
"interim_x_high_x_young_x_female",-9.79354178300982e-07,-2.25711303590168e-06,8.17361982918141e-06,-4.08485561221848e-05,8.80537147986773e-07,0.000249430552580847,-4.24110768489868e-05,-3.32217100904796e-06,0.000289322324974005,-6.28157206692799e-06,3.73768684056446e-08,2.96001041768494e-05,2.65694832741295e-06,-5.6932201592364e-07,3.15020898901627e-05,4.08586255891946e-05,1.32415711643672e-06,-3.50820595205401e-06
"post_x_high_x_young",3.16253299976335e-05,1.95016155058946e-06,-1.20929969830855e-06,0.000145442963051991,-8.39273699085549e-07,-4.24110768489868e-05,0.000316518813009606,1.60631964754492e-05,-0.000120953958840287,2.27941788228547e-05,-6.07882400270765e-07,8.52799928303754e-06,-2.54006773822307e-06,-3.13101496128288e-07,4.36278821330261e-06,-3.22005434892031e-05,6.89195384101044e-07,-5.8849593720235e-06
"post_x_high_x_female",2.70127965829834e-07,1.4529626334538e-06,-2.25064885123364e-06,-1.91010499590475e-06,7.56896415766332e-06,-3.32217100904796e-06,1.60631964754492e-05,1.61010082148462e-05,-1.43452738928023e-05,-6.67285699188465e-06,-1.37631435146748e-06,4.82871560362824e-06,-6.74434131386779e-06,-4.62459937455593e-07,1.14976109739169e-06,8.98749756478924e-07,-2.11671704724816e-07,-4.38760314219742e-06
"post_x_high_x_young_x_female",1.72437269878899e-06,-3.97872503506721e-06,7.73610934860502e-06,-4.48304062564871e-05,9.72299761000224e-08,0.000289322324974005,-0.000120953958840287,-1.43452738928023e-05,0.000457030085392824,-1.75073106071694e-05,2.97737440946686e-06,3.97815088883134e-05,-9.13937533476297e-06,9.6082469381233e-07,3.73158781137593e-05,4.95262825003562e-05,3.88490683020414e-06,-1.2376671796658e-05
"q1_x_high_x_young",4.59508390579002e-06,-3.03876896878352e-06,-6.84006674228476e-06,3.05802554008116e-06,-3.15386301162951e-06,-6.28157206692799e-06,2.27941788228547e-05,-6.67285699188465e-06,-1.75073106071694e-05,0.000107366166702803,-1.03863468896935e-06,-2.30064139693962e-06,5.78073603182411e-05,-4.87330677068324e-08,-4.8574704020053e-06,-2.58576396371121e-05,-1.72118904609004e-06,-2.2682631687116e-06
