"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",7.53812065649169e-05,-5.75053735343094e-07,-4.09326180994289e-05,1.9366921543085e-05,-1.30159173889289e-06,-4.58846102231217e-06,3.19546093046991e-05,2.36483753994408e-07,-3.73557663762299e-07,4.75141522794765e-06,9.23705514333163e-07,-3.7123042685098e-06,-1.82894121684253e-05,4.16586859868448e-07,4.24965607375374e-06,-1.60058036544777e-05,9.08879784159316e-07,2.30676331631794e-06
"rb_x_high_x_female",-5.75053735343094e-07,4.43064035411585e-06,-1.01847335866092e-06,7.84849353966355e-07,3.09099571057909e-07,-3.54458829386886e-07,1.94310713108848e-06,1.40889486213189e-06,-1.69925004847645e-06,-3.05191959203632e-06,-8.14316843784506e-08,6.80294258590832e-07,-2.33105991602545e-06,-5.63029791168875e-07,8.89431192539161e-07,2.62907613722948e-07,-3.57149678301578e-07,4.69810165861217e-07
"rb_x_high_x_young_x_female",-4.09326180994289e-05,-1.01847335866092e-06,8.82802495226682e-05,4.36020722066955e-07,-2.51554542022568e-07,-3.18752732205792e-06,-2.14506365477645e-07,-2.23156793301851e-06,-7.41954887502923e-06,-4.5401160495819e-06,-2.40119832387742e-07,5.6399779299027e-06,3.50087694255857e-06,-7.99443038138346e-09,-9.63404088479366e-06,1.91812319373869e-07,-2.20532138833024e-07,-7.32665404272511e-06
"interim_x_high_x_young",1.9366921543085e-05,7.84849353966355e-07,4.36020722066955e-07,0.000118789106685565,-5.52958302287398e-06,-4.52945601180303e-05,0.000146711756993949,-1.56564180745651e-06,-5.06183498336393e-05,4.85927312823781e-06,-3.87593674115742e-07,9.03365153124086e-06,-1.09148308041026e-05,-7.94517128515757e-07,7.14655653708666e-06,-2.28183874092169e-05,-7.45285125328335e-07,-2.76576623323022e-06
"interim_x_high_x_female",-1.30159173889289e-06,3.09099571057909e-07,-2.51554542022568e-07,-5.52958302287398e-06,5.13549885458996e-06,-2.55481176990381e-06,-5.38609254997506e-07,6.97045897331385e-06,-3.85650834124709e-06,-2.23254497857135e-06,-4.32283606888836e-07,1.93062431226826e-06,-2.21893844823456e-06,-1.09630410196267e-07,-4.87009023505001e-08,8.40017455967842e-07,8.47647781740514e-08,-2.39188321246468e-06
"interim_x_high_x_young_x_female",-4.58846102231217e-06,-3.54458829386886e-07,-3.18752732205792e-06,-4.52945601180303e-05,-2.55481176990381e-06,8.24048245343289e-05,-5.74449461406629e-05,-5.51376728535772e-06,8.26701289066023e-05,2.17274558020721e-07,5.24801416962636e-07,-1.10147188983335e-05,7.03509698601288e-06,-2.22541868850506e-07,3.86306088180803e-07,6.71077664561284e-06,-1.43838233422649e-08,9.5595381813659e-06
"post_x_high_x_young",3.19546093046991e-05,1.94310713108848e-06,-2.14506365477645e-07,0.000146711756993949,-5.38609254997506e-07,-5.74449461406629e-05,0.000318972860045329,1.65349341141998e-05,-0.000132237869628633,2.48152429321356e-05,-4.58633795955938e-07,1.04482534530329e-05,-1.41658297867174e-06,-1.55516980353921e-07,4.01048223991704e-06,-3.60139332430053e-05,6.12391523852033e-07,-4.81454892604386e-06
"post_x_high_x_female",2.36483753994408e-07,1.40889486213189e-06,-2.23156793301851e-06,-1.56564180745651e-06,6.97045897331385e-06,-5.51376728535772e-06,1.65349341141998e-05,1.54226423809817e-05,-1.62345513808678e-05,-5.73092794304646e-06,-1.37787662357542e-06,3.13365103097671e-06,-5.85289944828826e-06,-4.7390480662746e-07,-7.90361518441287e-07,-6.22722765291057e-07,-2.75078315165624e-07,-4.62092744557518e-06
"post_x_high_x_young_x_female",-3.73557663762299e-07,-1.69925004847645e-06,-7.41954887502923e-06,-5.06183498336393e-05,-3.85650834124709e-06,8.26701289066023e-05,-0.000132237869628633,-1.62345513808678e-05,0.000206148299500707,-1.129123854192e-05,3.83841670918236e-06,-7.18914540491444e-06,-7.75644714002498e-06,1.57675696787544e-06,7.59653361372926e-07,6.28299874062931e-06,2.67172506590195e-06,1.03612637615636e-06
"q1_x_high_x_young",4.75141522794765e-06,-3.05191959203632e-06,-4.5401160495819e-06,4.85927312823781e-06,-2.23254497857135e-06,2.17274558020721e-07,2.48152429321356e-05,-5.73092794304646e-06,-1.129123854192e-05,0.000108832390296864,-8.16755975329004e-07,7.38176098933282e-06,5.8620951015865e-05,1.31475262189015e-07,5.56209023778611e-07,-2.66412068496087e-05,-1.70557012880545e-06,-1.59961198195259e-06
