"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",7.5382981537687e-05,-5.74099833670511e-07,-4.09525649648364e-05,1.93756590351734e-05,-1.30088553769835e-06,-4.53860388285272e-06,3.20113731062724e-05,2.34574033071458e-07,-1.16843420744818e-07,4.7424084247913e-06,9.23724394242447e-07,-3.81715898433081e-06,-1.82903784786641e-05,4.16348219363918e-07,4.27396835900347e-06,-1.60241416574717e-05,9.08477979397153e-07,2.28958978653974e-06
"rb_x_high_x_female",-5.74099833670511e-07,4.43066358024358e-06,-1.01903668825676e-06,7.85419825423761e-07,3.09366526701152e-07,-3.47455585446184e-07,1.91378538371548e-06,1.40357732422714e-06,-2.01615710619046e-06,-3.05288531857764e-06,-8.14073575636249e-08,6.76309162184393e-07,-2.33450534467535e-06,-5.63459736452573e-07,8.73165915315619e-07,2.62963809533926e-07,-3.56733335952948e-07,4.7902890233788e-07
"rb_x_high_x_young_x_female",-4.09525649648364e-05,-1.01903668825676e-06,8.82232375437088e-05,5.83264205377447e-07,-2.594831107721e-07,-3.27095147896164e-06,-8.01611792872634e-08,-2.22789397925732e-06,-7.41622440982224e-06,-4.43391891334135e-06,-2.37525188670258e-07,5.55029053669581e-06,3.47686657983877e-06,3.57858567301457e-10,-9.76258061452776e-06,-1.14408346885076e-07,-2.2629758369453e-07,-7.44442278944359e-06
"interim_x_high_x_young",1.93756590351734e-05,7.85419825423761e-07,5.83264205377447e-07,0.000118802198208667,-5.52699006192964e-06,-4.53022307865924e-05,0.000146891557899983,-1.52108592432402e-06,-4.79316461226721e-05,4.85929214367734e-06,-3.87389240094139e-07,9.22690753881192e-06,-1.09240277264923e-05,-7.92756163386801e-07,7.15719127689657e-06,-2.28191469722203e-05,-7.48624358068501e-07,-2.99363130073499e-06
"interim_x_high_x_female",-1.30088553769835e-06,3.09366526701152e-07,-2.594831107721e-07,-5.52699006192964e-06,5.13657534246436e-06,-2.53578883757817e-06,-5.74059920928555e-07,6.95441146837183e-06,-4.45027960471344e-06,-2.23537070679584e-06,-4.32782826685958e-07,1.94248431269209e-06,-2.22545040904648e-06,-1.10990425341807e-07,-6.95700507384901e-08,8.49587526096943e-07,8.65494671559504e-08,-2.34209988465553e-06
"interim_x_high_x_young_x_female",-4.53860388285272e-06,-3.47455585446184e-07,-3.27095147896164e-06,-4.53022307865924e-05,-2.53578883757817e-06,8.24795952906486e-05,-5.74657872231988e-05,-5.51298740246803e-06,8.2906574061294e-05,2.33609080014752e-08,5.15006593100244e-07,-1.10909314457404e-05,6.87668041452925e-06,-2.34558049410357e-07,4.69891652572525e-07,7.10438609698317e-06,-4.69345668632052e-09,9.50287715127565e-06
"post_x_high_x_young",3.20113731062724e-05,1.91378538371548e-06,-8.01611792872634e-08,0.000146891557899983,-5.74059920928555e-07,-5.74657872231988e-05,0.000319762983050738,1.66007405072557e-05,-0.000128455839434488,2.5125792275705e-05,-4.57187198197535e-07,1.04215116558497e-05,-1.22411427793813e-06,-1.38914976421747e-07,3.90541814503234e-06,-3.64988124259416e-05,5.90664092195795e-07,-4.97783298355178e-06
"post_x_high_x_female",2.34574033071458e-07,1.40357732422714e-06,-2.22789397925732e-06,-1.52108592432402e-06,6.95441146837183e-06,-5.51298740246803e-06,1.66007405072557e-05,1.5394386228655e-05,-1.696349096309e-05,-5.62009331454608e-06,-1.37250454339923e-06,3.09592883668054e-06,-5.74150739932387e-06,-4.69061619619106e-07,-8.89538443900936e-07,-7.56956049035374e-07,-2.77409827181638e-07,-4.50804428119373e-06
"post_x_high_x_young_x_female",-1.16843420744818e-07,-2.01615710619046e-06,-7.41622440982224e-06,-4.79316461226721e-05,-4.45027960471344e-06,8.2906574061294e-05,-0.000128455839434488,-1.696349096309e-05,0.00020158567276649,-6.68441615335485e-06,3.88037386686082e-06,-8.17234772602062e-06,-5.09287122897339e-06,1.69626955844681e-06,-1.18177908899703e-06,3.96680716720466e-07,2.45354784261384e-06,2.23769131321222e-06
"q1_x_high_x_young",4.7424084247913e-06,-3.05288531857764e-06,-4.43391891334135e-06,4.85929214367734e-06,-2.23537070679584e-06,2.33609080014752e-08,2.5125792275705e-05,-5.62009331454608e-06,-6.68441615335485e-06,0.00010885980352565,-8.14070545024085e-07,7.58948579441883e-06,5.86642981497752e-05,1.39854611079981e-07,1.01876213680405e-06,-2.66773409824688e-05,-1.71710063634033e-06,-1.98078865229992e-06
