trunc,arm,support,gamma2,se2,cells,cells_used,n_firms,person_months_22_25,status
0,headline_tau_22_25,paper,-0.0398618967161698,0.010245433478891902,24884226,23142970,104217.0,,gate
2021,A,own,0.0193453468777911,0.0129387749160039,7944780,5110406,41569.0,16445333.0,ok
2021,asof_all,own,-0.287500537671462,0.0171292085882847,7036920,4596578,36727.0,15330492.0,ok
2021,B,own,0.0047778562904334,0.0126671103215102,7568940,4880824,39640.0,15500953.0,ok
2021,C,own,-0.28511068795641,0.0171318924751804,7020060,4583759,36650.0,15289032.0,ok
2021,A,harmonised,-0.0019684104741074,0.0130543031000335,6834660,4551077,35068.0,16008701.0,ok
2021,B,harmonised,-0.0134433145783251,0.0127445378569383,6782880,4465763,35068.0,15176816.0,ok
2021,C,harmonised,-0.289655049655303,0.017181528932303,6751320,4448006,35068.0,15176816.0,ok
2021,B_minus_A,harmonised,-0.0114749041042176,0.0026460939311369917,20368860,13464846,,,derived
2021,C_minus_B,harmonised,-0.27621173507698105,0.012893604123390018,20368860,13464846,,,derived
2021,C_minus_A,harmonised,-0.2876866391811987,0.013566077874953395,20368860,13464846,,,derived
2022,A,own,0.0175707876989864,0.0110594802273968,7944780,5110406,41569.0,16445333.0,ok
2022,asof_all,own,-0.14517864749718,0.0121506128447223,7530960,4886125,39373.0,16097654.0,ok
2022,B,own,0.0063830109373006,0.0109825502783639,7799040,5023457,40831.0,16162950.0,ok
2022,C,own,-0.141477350765384,0.0121604176433656,7517580,4875597,39312.0,16066729.0,ok
2022,A,harmonised,0.0047391353540286,0.0110765148050826,7443900,4866275,38599.0,16262931.0,ok
2022,B,harmonised,-0.0042480078311983,0.0109955001179361,7420560,4831993,38599.0,16018564.0,ok
2022,C,harmonised,-0.143641104494705,0.0121758493913459,7399260,4820431,38599.0,16018564.0,ok
2022,B_minus_A,harmonised,-0.0089871431852271,0.0013058866465356113,22263720,14518699,,,derived
2022,C_minus_B,harmonised,-0.13939309666350658,0.006396755804272973,22263720,14518699,,,derived
2022,C_minus_A,harmonised,-0.1483802398487337,0.006813683460764813,22263720,14518699,,,derived
