part,spec,young_band,term,coef,se,t,var_post,var_interim,cov_post_interim,n_obs,n_firms,status
G,gate,22-25,hy_post,-0.0577798336502001,0.0154935051191686,-3.7292938689977104,,,,24884226,104217,ok
G,gate,22-25,hy_interim,-0.0179179369340303,0.0096626258479721,-1.8543548323141112,,,,24884226,104217,ok
G,gate,22-25,hy_tau,-0.0398618967161698,0.010245433478891902,-3.890698895102394,0.0002400487008777,9.3366338277899e-05,0.0001142230659926,24884226,104217,derived
G,gate,22-25,q1_x_high_x_young,-0.134787464953136,0.0114145829314069,-11.808356535066396,,,,24884226,104217,ok
G,gate,22-25,q2_x_high_x_young,-0.130545915915884,0.0091294443157106,-14.29943722765593,,,,24884226,104217,ok
G,gate,22-25,q3_x_high_x_young,-0.107186315695762,0.0118105653718988,-9.075460176596906,,,,24884226,104217,ok
G,gate_indcl,22-25,hy_post,-0.0577798336502001,0.0307160765422021,-1.8810942071593673,,,,24884226,104217,ok
G,gate_indcl,22-25,hy_interim,-0.0179179369340303,0.0159866215588946,-1.1208082250537268,,,,24884226,104217,ok
G,gate_indcl,22-25,hy_tau,-0.0398618967161698,0.019051085320240944,-2.092368809761105,0.0009434773581464,0.0002555720688673,0.0004180527875673,24884226,104217,derived
M,month_of_year,22-25,hy_post,-0.0613847628504542,0.0155880304126409,-3.9379422047236363,,,,24884226,104217,ok
M,month_of_year,22-25,hy_interim,-0.0235669741944872,0.0099104831378897,-2.3779843895184167,,,,24884226,104217,ok
M,month_of_year,22-25,hy_tau,-0.037817788655967,0.010254791712813932,-3.687816360883427,0.0002429866921454,9.82176760263973e-05,0.0001180218075493,24884226,104217,derived
M,month_of_year,22-25,m01_x_high_x_young,-0.121694709706792,0.0206027886259588,-5.9067105873940235,,,,24884226,104217,ok
M,month_of_year,22-25,m02_x_high_x_young,-0.178310769285414,0.0103058019408537,-17.301979051097824,,,,24884226,104217,ok
M,month_of_year,22-25,m03_x_high_x_young,-0.182390887735485,0.0095224849928727,-19.153707028364888,,,,24884226,104217,ok
M,month_of_year,22-25,m04_x_high_x_young,-0.157688767935256,0.0105032567633694,-15.013321247672717,,,,24884226,104217,ok
M,month_of_year,22-25,m05_x_high_x_young,-0.16592953195161,0.0094975306378104,-17.47080775828527,,,,24884226,104217,ok
M,month_of_year,22-25,m06_x_high_x_young,-0.147551524937006,0.0109852895742943,-13.431737410207027,,,,24884226,104217,ok
M,month_of_year,22-25,m07_x_high_x_young,-0.148488590322521,0.0130885333465011,-11.344937312033958,,,,24884226,104217,ok
M,month_of_year,22-25,m08_x_high_x_young,-0.14563702546924,0.014713612719666,-9.898114640096765,,,,24884226,104217,ok
M,month_of_year,22-25,m09_x_high_x_young,-0.106981681437011,0.0103677548117776,-10.318693234863305,,,,24884226,104217,ok
M,month_of_year,22-25,m10_x_high_x_young,-0.0563591263875679,0.0051837805444297,-10.872205315120707,,,,24884226,104217,ok
M,month_of_year,22-25,m11_x_high_x_young,-0.0216128287542293,0.0055551589779657,-3.8905869012850327,,,,24884226,104217,ok
M,month_of_year_indcl,22-25,hy_post,-0.0613847628504542,0.0305778573811531,-2.007490651986924,,,,24884226,104217,ok
M,month_of_year_indcl,22-25,hy_interim,-0.0235669741944872,0.0159563964491753,-1.4769609334760077,,,,24884226,104217,ok
M,month_of_year_indcl,22-25,hy_tau,-0.037817788655967,0.019178596056726886,-1.9718747161736285,0.0009350053620221,0.0002546065876432,0.0004108967014791,24884226,104217,derived
M,month_of_year_indcl,22-25,m01_x_high_x_young,-0.121694709706792,0.0805973188159856,-1.5099101495502252,,,,24884226,104217,ok
M,month_of_year_indcl,22-25,m02_x_high_x_young,-0.178310769285414,0.0268433036684708,-6.642653657226684,,,,24884226,104217,ok
M,month_of_year_indcl,22-25,m03_x_high_x_young,-0.182390887735485,0.0263607159150932,-6.91904151324868,,,,24884226,104217,ok
M,month_of_year_indcl,22-25,m04_x_high_x_young,-0.157688767935256,0.0265460473537415,-5.940197643512104,,,,24884226,104217,ok
M,month_of_year_indcl,22-25,m05_x_high_x_young,-0.16592953195161,0.0250590718862191,-6.62153541460012,,,,24884226,104217,ok
M,month_of_year_indcl,22-25,m06_x_high_x_young,-0.147551524937006,0.0239693573025033,-6.155839853144334,,,,24884226,104217,ok
M,month_of_year_indcl,22-25,m07_x_high_x_young,-0.148488590322521,0.0386089701815216,-3.8459609159321273,,,,24884226,104217,ok
M,month_of_year_indcl,22-25,m08_x_high_x_young,-0.14563702546924,0.0474946706407873,-3.066386680954692,,,,24884226,104217,ok
M,month_of_year_indcl,22-25,m09_x_high_x_young,-0.106981681437011,0.0323280137983409,-3.309256241486181,,,,24884226,104217,ok
M,month_of_year_indcl,22-25,m10_x_high_x_young,-0.0563591263875679,0.0131711198723923,-4.278992745765001,,,,24884226,104217,ok
M,month_of_year_indcl,22-25,m11_x_high_x_young,-0.0216128287542293,0.004834542114072,-4.470501703009351,,,,24884226,104217,ok
G,sex_gate,22-25,hy_post,-0.0170545156285412,0.017881866326603,-0.9537324190355375,,,,38398914,104217,ok
G,sex_gate,22-25,hy_interim,-0.0112076118254517,0.0108996287957366,-1.028256286107245,,,,38398914,104217,ok
G,sex_gate,22-25,hy_tau,-0.005846903803089502,0.012032506381124427,-0.4859256764876208,0.0003197611433224,0.0001188019078848,0.0001468909206977,38398914,104217,derived
G,sex_gate,22-25,hyf_post,-0.0858248170751674,0.0141980759680564,-6.044820246648963,,,,38398914,104217,ok
G,sex_gate,22-25,hyf_interim,-0.0144440223321822,0.0090818222832219,-1.5904321711807363,,,,38398914,104217,ok
G,sex_gate,22-25,hyf_tau,-0.0713807947429852,0.01087436396960132,-6.564135147814276,0.0002015853611947,8.24794959840266e-05,8.29065327176816e-05,38398914,104217,derived
G,sex_gate,22-25,q1_x_high_x_young,-0.131754185524538,0.0104335558220066,-12.627927407705075,,,,38398914,104217,ok
G,sex_gate,22-25,q1_x_high_x_female,0.0037890395632046,0.0013638619508781,2.778169418660803,,,,38398914,104217,ok
G,sex_gate,22-25,q1_x_high_x_young_x_female,-0.0068932477791618,0.0077630788191013,-0.8879528264225202,,,,38398914,104217,ok
G,sex_gate,22-25,q2_x_high_x_young,-0.124758553236164,0.009250414093963,-13.486807397907068,,,,38398914,104217,ok
G,sex_gate,22-25,q2_x_high_x_female,0.0010097043966335,0.0010704163009157,0.943281969612885,,,,38398914,104217,ok
G,sex_gate,22-25,q2_x_high_x_young_x_female,-0.0125821885565324,0.0059201651323404,-2.125310405245119,,,,38398914,104217,ok
G,sex_gate,22-25,q3_x_high_x_young,-0.0802126943168277,0.0109968992366704,-7.2941192412993505,,,,38398914,104217,ok
G,sex_gate,22-25,q3_x_high_x_female,0.0044927873378378,0.0012782855474472,3.5146977502875787,,,,38398914,104217,ok
G,sex_gate,22-25,q3_x_high_x_young_x_female,-0.0566734246643187,0.0068489533792136,-8.274756963059655,,,,38398914,104217,ok
G,sex_gate_indcl,22-25,hy_post,-0.0170545156285412,0.0351997400124833,-0.48450686347379146,,,,38398914,104217,ok
G,sex_gate_indcl,22-25,hy_interim,-0.0112076118254517,0.0171670749294816,-0.6528550653789299,,,,38398914,104217,ok
G,sex_gate_indcl,22-25,hy_tau,-0.005846903803089502,0.023354638431515057,-0.2503530003358824,0.0012390216969464,0.0002947084616344,0.000494145511157,38398914,104217,derived
G,sex_gate_indcl,22-25,hyf_post,-0.0858248170751674,0.0173500337049622,-4.946665726108708,,,,38398914,104217,ok
G,sex_gate_indcl,22-25,hyf_interim,-0.0144440223321822,0.0082209175444349,-1.7569842118122196,,,,38398914,104217,ok
G,sex_gate_indcl,22-25,hyf_tau,-0.0713807947429852,0.013566397567795555,-5.261588007153183,0.0003010236695633,6.75834852723983e-05,9.22800059341046e-05,38398914,104217,derived
M,sex_month_of_year,22-25,hy_post,-0.0198371178861385,0.0180028887076443,-1.1018852700964241,,,,38398914,104217,ok
M,sex_month_of_year,22-25,hy_interim,-0.0155600051181492,0.0112067163309458,-1.3884535539801603,,,,38398914,104217,ok
M,sex_month_of_year,22-25,hy_tau,-0.0042771127679893,0.01203572869915237,-0.35536799431932364,0.0003241040018198,0.0001255904909222,0.0001524178637112,38398914,104217,derived
M,sex_month_of_year,22-25,hyf_post,-0.087539783889443,0.0143070556485261,-6.118644257769506,,,,38398914,104217,ok
M,sex_month_of_year,22-25,hyf_interim,-0.01717394044639,0.009371999685025,-1.832473434013372,,,,38398914,104217,ok
M,sex_month_of_year,22-25,hyf_tau,-0.070365843443053,0.010883568081554312,-6.465328549955086,0.00020469184133,8.78343780961096e-05,8.70370826201409e-05,38398914,104217,derived
M,sex_month_of_year,22-25,m01_x_high_x_young,-0.121330660421607,0.0176028990572956,-6.892652172047818,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m01_x_high_x_female,0.0062832699143949,0.0017479440530128,3.5946630577591425,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m01_x_high_x_young_x_female,-0.0021040062444421,0.0122334873462768,-0.17198744600675486,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m02_x_high_x_young,-0.166937748672743,0.0102005143919314,-16.365620620543474,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m02_x_high_x_female,0.0051390216040338,0.0017561497526231,2.926300331937992,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m02_x_high_x_young_x_female,-0.0243035597012937,0.0073394370310181,-3.3113656536027802,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m03_x_high_x_young,-0.16701471936999,0.0093949374075005,-17.777097613939702,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m03_x_high_x_female,0.0096295250552727,0.0017421100187601,5.527506846052269,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m03_x_high_x_young_x_female,-0.0323535983499087,0.0067623389863874,-4.784379844760303,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m04_x_high_x_young,-0.14883775435943,0.010454868640443,-14.236214674536873,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m04_x_high_x_female,0.0065894081645555,0.0016836612006695,3.913737610592471,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m04_x_high_x_young_x_female,-0.0190837906789828,0.0072984299023001,-2.6147802930831117,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m05_x_high_x_young,-0.156803206109061,0.0097002500177726,-16.164862330534717,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m05_x_high_x_female,0.0049562595178009,0.0015076224132887,3.2874673884619465,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m05_x_high_x_young_x_female,-0.019669250410385,0.0067302678224666,-2.922506344357682,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m06_x_high_x_young,-0.130706403792998,0.0106656272274793,-12.254919565934332,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m06_x_high_x_female,0.0014908089635667,0.0014521017661724,1.0266559812101383,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m06_x_high_x_young_x_female,-0.0355824522498618,0.0072998986853118,-4.874376177501971,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m07_x_high_x_young,-0.11689192545303,0.0129315474910565,-9.039283622773905,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m07_x_high_x_female,0.0077535622922089,0.001703547205541,4.551422036905975,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m07_x_high_x_young_x_female,-0.0661817868096607,0.0076452444024992,-8.656595306230647,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m08_x_high_x_young,-0.111914651897022,0.0135036861279823,-8.287711283892536,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m08_x_high_x_female,0.0068540859303796,0.0021373946005019,3.2067480327545197,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m08_x_high_x_young_x_female,-0.0712360934786094,0.008689245414333,-8.19819099148756,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m09_x_high_x_young,-0.07344032734109,0.0096550743052405,-7.606396907916978,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m09_x_high_x_female,0.008831698445926,0.0015290222942774,5.776042951747652,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m09_x_high_x_young_x_female,-0.0704092069312135,0.0073059998132711,-9.637176119730741,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m10_x_high_x_young,-0.04333692188365,0.0048147322043188,-9.000899747815032,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m10_x_high_x_female,0.0048705505447521,0.0015097329223356,3.226100771000753,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m10_x_high_x_young_x_female,-0.0273076662319356,0.0047385692571675,-5.7628505040061135,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m11_x_high_x_young,-0.0168467539058217,0.0048593802189285,-3.4668523858658733,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m11_x_high_x_female,0.0049872291403853,0.00117376444011,4.248918241140377,,,,38398914,104217,ok
M,sex_month_of_year,22-25,m11_x_high_x_young_x_female,-0.0102007663554777,0.0046008205281212,-2.217162415514457,,,,38398914,104217,ok
M,sex_month_of_year_indcl,22-25,hy_post,-0.0198371178861385,0.0351999459610027,-0.5635553505711526,,,,38398914,104217,ok
M,sex_month_of_year_indcl,22-25,hy_interim,-0.0155600051181492,0.0173715447248202,-0.8957179896568036,,,,38398914,104217,ok
M,sex_month_of_year_indcl,22-25,hy_tau,-0.0042771127679893,0.023405323544537893,-0.18274102299207273,0.0012390361956575,0.0003017705661264,0.0004964987957797,38398914,104217,derived
M,sex_month_of_year_indcl,22-25,hyf_post,-0.087539783889443,0.0175702182032441,-4.982282113791847,,,,38398914,104217,ok
M,sex_month_of_year_indcl,22-25,hyf_interim,-0.01717394044639,0.0085629468558579,-2.005611004655638,,,,38398914,104217,ok
M,sex_month_of_year_indcl,22-25,hyf_tau,-0.070365843443053,0.013480814342073221,-5.219702731417589,0.0003087125677096,7.33240588562471e-05,0.0001001521356202,38398914,104217,derived
M,sex_month_of_year_indcl,22-25,m01_x_high_x_young,-0.121330660421607,0.0665271027606037,-1.8237779098574711,,,,38398914,104217,ok
