"term","rb_x_high_x_young","interim_x_high_x_young","post_x_high_x_young","m01_x_high_x_young","m02_x_high_x_young","m03_x_high_x_young","m04_x_high_x_young","m05_x_high_x_young","m06_x_high_x_young","m07_x_high_x_young","m08_x_high_x_young","m09_x_high_x_young","m10_x_high_x_young","m11_x_high_x_young"
"rb_x_high_x_young",5.62648729585669e-05,1.41576637032884e-05,2.83243963207329e-05,9.70246904581042e-06,-2.278430295087e-06,-2.93435152562392e-06,-1.82203918433631e-05,-1.83961863542969e-05,-1.59992416702551e-05,-2.26171922355895e-05,-2.03275856304016e-05,-1.12615501285984e-05,-3.52796898427749e-06,4.40045520052818e-07
"interim_x_high_x_young",1.41576637032884e-05,9.82176760263973e-05,0.000118021807549354,4.80115685567947e-05,4.76610323813799e-06,-3.90051147225634e-07,4.55331986362296e-06,1.348167982152e-06,1.97871860546044e-05,-6.77348095617116e-06,-1.06029875069693e-05,1.98248651392248e-06,1.131261986664e-05,2.64259598616411e-05
"post_x_high_x_young",2.83243963207329e-05,0.000118021807549354,0.000242986692145417,8.51473645953467e-05,1.07096631578174e-05,3.54063020924439e-06,2.61946043732859e-06,-2.70638374118623e-06,2.46845402448562e-05,-2.6123536288426e-05,-3.67438365235447e-05,-1.48717171271835e-05,5.88179822947288e-06,2.92483765448512e-05
"m01_x_high_x_young",9.70246904581042e-06,4.80115685567947e-05,8.51473645953467e-05,0.000424474899165939,0.000112542272071874,5.36756232924271e-05,7.68660850451945e-05,2.88987453248135e-05,2.86572281349219e-05,-0.000104237002159916,-0.000178173104793431,-0.000118431738293064,-3.30239584341486e-05,1.74819639395245e-05
"m02_x_high_x_young",-2.278430295087e-06,4.76610323813799e-06,1.07096631578174e-05,0.000112542272071874,0.000106209553644104,8.09183160051063e-05,8.14492091376172e-05,6.50655263471328e-05,3.81843955681925e-05,1.70506584038183e-05,-3.8988057112275e-06,-1.05006065013835e-05,6.41105340724622e-06,1.59260279669065e-05
"m03_x_high_x_young",-2.93435152562392e-06,-3.90051147225634e-07,3.54063020924439e-06,5.36756232924271e-05,8.09183160051063e-05,9.06777204394863e-05,8.14812524557938e-05,7.03241765714064e-05,5.39276526899129e-05,4.14987235684354e-05,2.79982128782698e-05,1.25632106386256e-05,1.32705762479947e-05,6.36596333984671e-06
"m04_x_high_x_young",-1.82203918433631e-05,4.55331986362296e-06,2.61946043732859e-06,7.68660850451945e-05,8.14492091376172e-05,8.14812524557938e-05,0.000110318402637266,8.67689434693271e-05,7.15242989099694e-05,4.86513954135262e-05,3.15857964699628e-05,1.30615387934276e-05,1.50745177325182e-05,6.22926419929533e-06
"m05_x_high_x_young",-1.83961863542969e-05,1.348167982152e-06,-2.70638374118623e-06,2.88987453248135e-05,6.50655263471328e-05,7.03241765714064e-05,8.67689434693271e-05,9.02030882161481e-05,7.2562750862009e-05,6.74278827124396e-05,5.83300032192832e-05,3.07898943298118e-05,1.56101504309033e-05,2.389121970844e-06
"m06_x_high_x_young",-1.59992416702551e-05,1.97871860546044e-05,2.46845402448562e-05,2.86572281349219e-05,3.81843955681925e-05,5.39276526899129e-05,7.15242989099694e-05,7.2562750862009e-05,0.000120676587031098,8.54854027846831e-05,6.94479696192935e-05,4.46552859351767e-05,1.73483786000917e-05,-1.74809526746307e-07
"m07_x_high_x_young",-2.26171922355895e-05,-6.77348095617116e-06,-2.6123536288426e-05,-0.000104237002159916,1.70506584038183e-05,4.14987235684354e-05,4.86513954135262e-05,6.74278827124396e-05,8.54854027846831e-05,0.00017130970516247,0.000176910814182276,0.000119802918766585,3.31205624058667e-05,-3.42595254295532e-06
"m08_x_high_x_young",-2.03275856304016e-05,-1.06029875069693e-05,-3.67438365235447e-05,-0.000178173104793431,-3.8988057112275e-06,2.79982128782698e-05,3.15857964699628e-05,5.83300032192832e-05,6.94479696192935e-05,0.000176910814182276,0.000216490399264317,0.000142015089284289,3.92831825435704e-05,-5.23186816330221e-06
"m09_x_high_x_young",-1.12615501285984e-05,1.98248651392248e-06,-1.48717171271835e-05,-0.000118431738293064,-1.05006065013835e-05,1.25632106386256e-05,1.30615387934276e-05,3.07898943298118e-05,4.46552859351767e-05,0.000119802918766585,0.000142015089284289,0.000107490339837137,3.13838708396827e-05,-1.01303127134779e-07
"m10_x_high_x_young",-3.52796898427749e-06,1.131261986664e-05,5.88179822947288e-06,-3.30239584341486e-05,6.41105340724622e-06,1.32705762479947e-05,1.50745177325182e-05,1.56101504309033e-05,1.73483786000917e-05,3.31205624058667e-05,3.92831825435704e-05,3.13838708396827e-05,2.68715807328085e-05,1.02737113616731e-05
"m11_x_high_x_young",4.40045520052818e-07,2.64259598616411e-05,2.92483765448512e-05,1.74819639395245e-05,1.59260279669065e-05,6.36596333984671e-06,6.22926419929533e-06,2.389121970844e-06,-1.74809526746307e-07,-3.42595254295532e-06,-5.23186816330221e-06,-1.01303127134779e-07,1.02737113616731e-05,3.08597912704729e-05
