"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.000161281451450239,-5.25727209794549e-06,-6.17852126171108e-05,6.86342922972876e-05,-5.59441905781836e-06,-1.44377764736593e-05,3.64489038927964e-05,-1.14078368483323e-05,3.93838032606677e-05,-8.05941480738914e-05,-1.83850050533612e-06,6.54211429978971e-05,-0.000142269658506652,-2.08874066593271e-06,4.44761316601327e-05,-0.000112602060109784,3.16481798345719e-06,-3.79928272231092e-05
"rb_x_high_x_female",-5.25727209794549e-06,1.67100582115435e-05,5.99101758155959e-06,-3.49153508649559e-05,1.00585439335179e-05,3.25818996695658e-06,-5.33477985446709e-05,2.33099748612388e-05,1.09337913801887e-06,-8.07724703618813e-05,-2.72870823328897e-06,5.41362555226078e-06,-4.90173734473289e-05,-2.87387074679256e-06,6.23648024405766e-06,-1.26146711453796e-05,-3.99151860139701e-06,1.97804688215749e-05
"rb_x_high_x_young_x_female",-6.17852126171108e-05,5.99101758155959e-06,0.000116495202519289,4.45900173806385e-06,8.17561239088067e-06,1.53112837899011e-05,9.69218722494281e-05,1.87568085134397e-05,-4.16762986799082e-05,9.78037493736242e-05,2.45534304532325e-06,1.1868256204705e-06,5.96259974480432e-05,3.6677092747744e-06,-1.26803048365496e-05,-3.76742011239531e-05,-6.31523209796487e-06,8.8430216745954e-06
"interim_x_high_x_young",6.86342922972876e-05,-3.49153508649559e-05,4.45900173806385e-06,0.000294708461634435,-2.24037118752099e-05,-4.90362709728738e-05,0.000494145511157047,-3.78807060571867e-05,-9.06754167744694e-05,0.000329280841050942,-5.86115130494985e-07,0.000109145404920581,7.95543513393632e-05,5.48966385477126e-06,3.08997799925841e-05,-0.000161176112733385,2.07102761075852e-06,-0.00011116573253317
"interim_x_high_x_female",-5.59441905781836e-06,1.00585439335179e-05,8.17561239088067e-06,-2.24037118752099e-05,1.5109109949214e-05,-4.52043586940674e-08,-9.81467648063095e-06,2.97733480334349e-05,-1.46514124281412e-05,-2.89615675306166e-05,-3.40133280967644e-06,2.25231857356232e-05,-3.48869779318176e-05,-1.32121614947681e-06,8.28649401061159e-06,-4.1318290145095e-05,-3.51665693190137e-06,-5.33393755498767e-06
"interim_x_high_x_young_x_female",-1.44377764736593e-05,3.25818996695658e-06,1.53112837899011e-05,-4.90362709728738e-05,-4.52043586940674e-08,6.75834852723983e-05,-8.39844394140282e-05,-5.89639934946773e-06,9.22800059341046e-05,-3.72206963168635e-05,3.0304982499466e-06,-1.41041585384336e-05,-2.92697192176783e-05,1.25741259925985e-06,1.18686653633419e-05,-2.51357846448924e-06,-2.30483756298166e-06,4.64632882058409e-05
"post_x_high_x_young",3.64489038927964e-05,-5.33477985446709e-05,9.69218722494281e-05,0.000494145511157047,-9.81467648063095e-06,-8.39844394140282e-05,0.00123902169694642,1.0629997151341e-05,-0.000334882605873589,0.000794276846071095,1.38607527002299e-06,0.000163944941328356,0.000313206009394824,2.13976109312257e-05,-1.66150992369593e-05,-0.000302883975980771,-3.76648953139566e-06,-0.000215320353649333
"post_x_high_x_female",-1.14078368483323e-05,2.33099748612388e-05,1.87568085134397e-05,-3.78807060571867e-05,2.97733480334349e-05,-5.89639934946773e-06,1.0629997151341e-05,6.79524967649284e-05,-5.21729107471366e-05,-7.28993293975972e-05,-7.76690970191088e-06,3.89308578537901e-05,-7.462318095262e-05,-2.80855458816686e-06,9.9807921766737e-06,-8.66517409720133e-05,-8.27385589818781e-06,-8.69452001320382e-06
"post_x_high_x_young_x_female",3.93838032606677e-05,1.09337913801887e-06,-4.16762986799082e-05,-9.06754167744694e-05,-1.46514124281412e-05,9.22800059341046e-05,-0.000334882605873589,-5.21729107471366e-05,0.000301023669563326,-0.000146341105648073,5.26041805282023e-06,2.51178358436311e-05,-0.000112470883865538,-4.87419032693468e-06,6.32923268576247e-05,5.99104881240639e-06,4.09604994516251e-06,7.4328127997555e-05
"q1_x_high_x_young",-8.05941480738914e-05,-8.07724703618813e-05,9.78037493736242e-05,0.000329280841050942,-2.89615675306166e-05,-3.72206963168635e-05,0.000794276846071095,-7.28993293975972e-05,-0.000146341105648073,0.00113277024429296,-1.04137994318821e-07,0.000265229703270281,0.000531006971125909,1.65834062553544e-05,5.02746274025968e-05,-0.000250491477230416,2.20788573097036e-06,-0.000276185129883152
