"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","m01_x_high_x_young","m01_x_high_x_female","m01_x_high_x_young_x_female","m02_x_high_x_young","m02_x_high_x_female","m02_x_high_x_young_x_female","m03_x_high_x_young","m03_x_high_x_female","m03_x_high_x_young_x_female","m04_x_high_x_young","m04_x_high_x_female","m04_x_high_x_young_x_female","m05_x_high_x_young","m05_x_high_x_female","m05_x_high_x_young_x_female","m06_x_high_x_young","m06_x_high_x_female","m06_x_high_x_young_x_female","m07_x_high_x_young","m07_x_high_x_female","m07_x_high_x_young_x_female","m08_x_high_x_young","m08_x_high_x_female","m08_x_high_x_young_x_female","m09_x_high_x_young","m09_x_high_x_female","m09_x_high_x_young_x_female","m10_x_high_x_young","m10_x_high_x_female","m10_x_high_x_young_x_female","m11_x_high_x_young","m11_x_high_x_female","m11_x_high_x_young_x_female"
"rb_x_high_x_young",7.54966997126946e-05,-5.48053839389703e-07,-4.10795235087205e-05,1.70546401449307e-05,-1.20464186296162e-06,-3.54722086486415e-06,2.96947301205943e-05,3.23203995881168e-07,5.5549862742418e-07,1.28631698357777e-05,9.41565414078707e-07,-4.01611485117655e-06,1.15539282873094e-06,1.32778580829265e-06,-3.74371193449085e-06,-1.43552510329769e-06,8.26141398309324e-07,-2.99589891105507e-06,-1.77866035373382e-05,6.06068616647776e-07,6.20269625444206e-06,-1.97868446213639e-05,4.92904279442836e-07,7.30803919719914e-06,-1.95656027347501e-05,5.3014463481344e-07,1.38767193459598e-06,-2.33961357497387e-05,8.82322942911227e-07,4.43271433285759e-06,-1.90141599868444e-05,1.38635654152417e-06,1.84137907513421e-06,-9.8351749960901e-06,6.30967317967053e-07,2.72266668579536e-06,-2.7752733925118e-06,2.04182266659862e-07,2.08128730969837e-06,4.93897678030952e-07,1.06931251135999e-07,-1.72971376208506e-06
"rb_x_high_x_female",-5.48053839389703e-07,4.42838533445677e-06,-9.63344343286446e-07,8.84459618578336e-07,1.90799518807797e-07,-3.05401243576607e-07,1.85426064455063e-06,1.24059493635303e-06,-2.01549196960719e-06,-4.12789529743328e-06,-3.27233458633167e-07,9.06704334418096e-07,-2.8269736170151e-06,-1.15813280878924e-07,4.66856162731754e-07,-2.7485652616348e-06,4.16875479434635e-08,8.54203196743333e-07,-3.85773954070623e-06,-7.01165217030955e-07,6.63002768669342e-07,-1.91552679411648e-06,-5.9805378309673e-07,9.47109254042886e-07,-1.89407095870339e-06,-5.52091475988722e-07,1.00788102233635e-06,-2.32591550214374e-07,-5.13563178443889e-07,6.10278905560572e-07,2.87174871597615e-07,-4.68589625422967e-07,4.95213617471122e-07,-8.02848379597242e-08,-3.06130707336016e-07,9.68449182120339e-09,-8.01649837766366e-07,-1.48694011131811e-07,-1.20350019721063e-07,5.90761604286827e-08,3.60360784244115e-08,-1.32304209571621e-08
"rb_x_high_x_young_x_female",-4.10795235087205e-05,-9.63344343286446e-07,8.87802848322426e-05,1.82355743117299e-06,-2.47932479501593e-07,-5.36309770469989e-06,1.60979254686123e-06,-2.11640904568009e-06,-9.27783809399221e-06,-3.64317035769083e-06,-1.99787188478678e-07,5.25004373386169e-06,-4.64019196637356e-06,-6.82013359061324e-07,3.40713289291892e-06,-1.56210664849764e-06,-6.0591548175871e-07,3.20944651329035e-06,1.10968979108688e-06,-1.1954116865838e-07,-1.65049984662799e-05,2.13019831384518e-06,-9.2620363526795e-08,-1.41923505491603e-05,9.31828584613932e-06,-5.30420050215847e-07,-5.45280151355057e-06,2.57775439257259e-06,-3.65057489800135e-07,-1.05018061465981e-05,2.82949068965567e-07,-4.52715508083507e-07,-9.97210413471069e-06,-5.88211270059355e-07,-6.62757639575876e-07,-8.8101989943086e-06,1.10186694926674e-07,-2.91975847958011e-07,-6.15801177776291e-06,2.34619920197782e-06,-5.04440515677317e-07,-1.74714349400975e-07
"interim_x_high_x_young",1.70546401449307e-05,8.84459618578336e-07,1.82355743117299e-06,0.000125590490922287,-5.87100895464976e-06,-4.84784793393894e-05,0.000152417863711207,-1.77215737232877e-06,-4.99199211774547e-05,4.62507401380754e-05,-1.31544167328563e-06,1.08679726273354e-05,9.67143028654789e-06,-1.7518851114002e-06,-2.82821384898619e-06,4.95074917391449e-06,-1.47566656575363e-06,-5.50435668826273e-06,3.27447285284291e-06,-2.48671641927905e-06,-1.31526282940841e-06,-4.92983523979668e-07,-1.86392435996577e-06,1.43297838713095e-06,1.48220731791362e-05,-1.54030063188388e-06,-3.62982082664994e-06,-1.01633821414498e-05,-2.02264096924965e-06,-4.57307699090144e-06,-1.00959038122762e-05,-1.1425374609807e-06,-1.44517434787585e-05,5.70602145954978e-06,-2.28817752055218e-06,-1.55366337541922e-05,1.86552441880111e-05,-1.9039901353201e-06,-1.35965335640515e-05,3.19069436384956e-05,-1.51837928804454e-06,-9.15725210002759e-06
"interim_x_high_x_female",-1.20464186296162e-06,1.90799518807797e-07,-2.47932479501593e-07,-5.87100895464976e-06,5.50475448618441e-06,-2.75484900654439e-06,-5.9905399925186e-07,7.32213217230246e-06,-4.56425067821263e-06,-3.06398156301619e-06,2.06330454238218e-07,2.59802083797481e-06,-3.04053643177067e-06,6.53763477211228e-07,8.44596651687588e-07,-2.36542370928601e-06,7.43243775442131e-07,1.69947676724518e-07,-3.0190658032938e-06,8.75194792912742e-07,-2.29425743154887e-07,-2.73562318907427e-06,8.18781516319509e-07,-7.11984295324306e-07,-2.70696840880186e-06,9.35558195623639e-07,-1.28962690775444e-06,3.31232042225662e-07,1.06105858115883e-06,-3.03015286731216e-06,4.7400878356639e-07,8.91689531120267e-07,-3.19923620019133e-06,2.16779146486885e-07,1.37156641767111e-06,-2.3058056271555e-06,-8.16408051957702e-07,1.46789728447434e-06,-1.03997049804483e-06,-7.52648232211569e-07,1.40845314934556e-06,-7.12060806857215e-07
"interim_x_high_x_young_x_female",-3.54722086486415e-06,-3.05401243576607e-07,-5.36309770469989e-06,-4.84784793393894e-05,-2.75484900654439e-06,8.78343780961096e-05,-6.09193060356387e-05,-5.83697454443444e-06,8.70370826201409e-05,-8.17863553025521e-06,9.015512468251e-07,-5.11483545875286e-07,-7.65917994956887e-06,-5.65106466093357e-07,6.75515366454019e-07,-6.54390125729294e-06,-3.31928403877865e-07,2.19878046135134e-06,-2.95836212965506e-07,-5.59460036748916e-07,7.7413895943158e-06,-2.50603754695509e-06,-4.3446353479609e-07,9.1602017261701e-06,2.20724491719673e-06,-1.40250636973284e-06,2.22067911509608e-05,1.30231806863683e-06,-5.74110495399585e-07,2.09716511082139e-05,2.20314461525188e-06,5.73252969547544e-08,2.44339103235136e-05,-3.14135767496313e-06,-1.06910905574487e-06,2.37640325364753e-05,-9.69512928073535e-06,-7.110612017134e-07,1.86466575006587e-05,-1.1253118880003e-05,-8.4513946797647e-07,2.04317673502462e-05
"post_x_high_x_young",2.96947301205943e-05,1.85426064455063e-06,1.60979254686123e-06,0.000152417863711207,-5.9905399925186e-07,-6.09193060356387e-05,0.000324104001819828,1.65649124309103e-05,-0.000130619592524985,8.40198446569793e-05,-9.71720027469095e-07,1.78737601444252e-05,2.1544023349251e-05,-2.24384302987701e-07,-1.02182952186233e-05,1.49987848064411e-05,3.79566572648238e-07,-1.29511319242355e-05,1.10181743536682e-05,-1.20965261532459e-07,-9.03622991802154e-06,5.17700217471795e-06,-4.01437132903223e-07,-5.1027993122658e-06,2.95058390152427e-05,6.19031795183717e-07,-9.55169401567321e-06,-2.5233502651008e-05,-5.14369339918606e-08,-4.96093692757023e-06,-2.73035407421647e-05,2.84984673867023e-06,-2.37475485114606e-05,-5.20559417902905e-06,-2.68561727093436e-07,-2.18567934202501e-05,1.56434581908584e-05,2.61332750708143e-07,-1.95056574596853e-05,3.40448679411884e-05,2.87595778671878e-07,-1.40214728513895e-05
"post_x_high_x_female",3.23203995881168e-07,1.24059493635303e-06,-2.11640904568009e-06,-1.77215737232877e-06,7.32213217230246e-06,-5.83697454443444e-06,1.65649124309103e-05,1.57136364207072e-05,-1.71606621756521e-05,-6.3389865496929e-06,-7.9823575482222e-07,5.28226679320035e-06,-6.47478866789832e-06,4.20601133983454e-08,7.16087234137594e-07,-5.54944756279876e-06,3.712912900292e-07,-5.78066628063023e-07,-7.5347440781991e-06,6.19957561127421e-07,-6.83649205556288e-07,-6.12354040114005e-06,6.71263730220744e-07,-1.70390505376157e-06,-5.12104122815174e-06,1.11121146389307e-06,-3.84428992422428e-06,-2.22760324413074e-06,9.81774027962539e-07,-5.43310044467552e-06,-6.62048719270896e-07,6.36161545932508e-07,-6.71583382606876e-06,-7.4283833670349e-07,1.43491995797691e-06,-4.71100247845264e-06,-1.53418505862861e-06,1.91147663129989e-06,-2.08802380164461e-06,1.61238572161022e-07,1.83282396558242e-06,-1.36216016736025e-06
"post_x_high_x_young_x_female",5.5549862742418e-07,-2.01549196960719e-06,-9.27783809399221e-06,-4.99199211774547e-05,-4.56425067821263e-06,8.70370826201409e-05,-0.000130619592524985,-1.71606621756521e-05,0.000204691841330022,-1.31498108684079e-05,5.59276720379677e-06,3.08531267435896e-06,-1.14398357431469e-05,2.84248408946731e-06,4.45440056582225e-06,-9.189143046434e-06,2.62073671669712e-06,1.71708289867605e-06,-8.09674428458589e-06,2.53163839013351e-06,4.15616078483587e-06,-1.23798180905302e-05,1.74568336701512e-06,6.86359481738768e-06,-8.28040355359374e-06,1.74585512464386e-07,2.04060696947509e-05,-1.97284791920106e-06,2.30666828946227e-06,1.088727719634e-05,-4.29080315482133e-06,3.21139250308261e-06,1.69146085215005e-05,-6.03269737075115e-06,1.27069524196543e-06,1.59330101540121e-05,-7.10813784418724e-06,1.45359724512622e-07,1.35131115917879e-05,-6.04608309445365e-06,-7.14837557943066e-07,2.24786770712781e-05
"m01_x_high_x_young",1.28631698357777e-05,-4.12789529743328e-06,-3.64317035769083e-06,4.62507401380754e-05,-3.06398156301619e-06,-8.17863553025521e-06,8.40198446569793e-05,-6.3389865496929e-06,-1.31498108684079e-05,0.000309862055221339,-1.13874241853724e-06,7.7013089789647e-05,0.000102466062948202,-2.30446136018504e-06,4.0683966839882e-06,5.48199380708182e-05,-3.70355133215269e-06,1.95738504926043e-06,6.88261054323458e-05,-5.87491183452156e-07,1.27949878388424e-05,3.00566830877985e-05,4.26936588559306e-08,1.32329272814924e-05,3.12896160769572e-05,-2.73584520656124e-07,1.43659654321292e-05,-7.74207402463526e-05,-2.9998673291298e-06,-1.62026557201109e-06,-0.000115939589605906,-4.71416766672999e-06,-4.30959152351763e-05,-7.65509915529741e-05,-3.54831641805481e-06,-3.45054767007758e-05,-1.49868106575365e-05,-3.21821934590778e-06,-1.93670066747483e-05,1.4596030870261e-05,7.54865907078722e-07,-4.98467121258072e-06
