population,statistic,value
all_scored_employers,n_scored_daioe,262089.0
all_scored_employers,n_scored_eloundou,250876.0
all_scored_employers,n_scored_both,250876.0
all_scored_employers,share_employers_same_quartile,0.7856590506863949
all_scored_employers,share_employment_same_quartile,0.6485627680983514
all_scored_employers,n_top_daioe,89356.0
all_scored_employers,n_top_eloundou,92302.0
all_scored_employers,n_top_both,82680.0
all_scored_employers,share_top_daioe_also_top_eloundou,0.9252876135905815
all_scored_employers,share_top_eloundou_also_top_daioe,0.8957552382396915
all_scored_employers,employment_share_top_daioe_also_top_eloundou,0.9179226321543527
all_scored_employers,jaccard_top_quartiles,0.8353371456283214
all_scored_employers,spearman_employer_scores,0.9122832798391248
all_scored_employers,pearson_employer_scores,0.9091407975653749
all_scored_employers,n_daioe_q1_eloundou_q1,88268.0
all_scored_employers,n_daioe_q1_eloundou_q2,9367.0
all_scored_employers,n_daioe_q1_eloundou_q3,5232.0
all_scored_employers,n_daioe_q1_eloundou_q4,212.0
all_scored_employers,n_daioe_q2_eloundou_q1,9039.0
all_scored_employers,n_daioe_q2_eloundou_q2,11601.0
all_scored_employers,n_daioe_q2_eloundou_q3,10206.0
all_scored_employers,n_daioe_q2_eloundou_q4,2510.0
all_scored_employers,n_daioe_q3_eloundou_q1,2663.0
all_scored_employers,n_daioe_q3_eloundou_q2,968.0
all_scored_employers,n_daioe_q3_eloundou_q3,14554.0
all_scored_employers,n_daioe_q3_eloundou_q4,6900.0
all_scored_employers,n_daioe_q4_eloundou_q1,1382.0
all_scored_employers,n_daioe_q4_eloundou_q2,388.0
all_scored_employers,n_daioe_q4_eloundou_q3,4906.0
all_scored_employers,n_daioe_q4_eloundou_q4,82680.0
estimation_panel_22_25,n_scored_daioe,104217.0
estimation_panel_22_25,n_scored_eloundou,103064.0
estimation_panel_22_25,n_scored_both,103064.0
estimation_panel_22_25,share_employers_same_quartile,0.7601490336101839
estimation_panel_22_25,share_employment_same_quartile,0.6324739632357184
estimation_panel_22_25,n_top_daioe,26446.0
estimation_panel_22_25,n_top_eloundou,28378.0
estimation_panel_22_25,n_top_both,24094.0
estimation_panel_22_25,share_top_daioe_also_top_eloundou,0.911064055055585
estimation_panel_22_25,share_top_eloundou_also_top_daioe,0.8490379871731623
estimation_panel_22_25,employment_share_top_daioe_also_top_eloundou,0.9128780880284245
estimation_panel_22_25,jaccard_top_quartiles,0.7840546697038724
estimation_panel_22_25,spearman_employer_scores,0.9054507782606444
estimation_panel_22_25,pearson_employer_scores,0.9099151062343808
estimation_panel_22_25,n_daioe_q1_eloundou_q1,41921.0
estimation_panel_22_25,n_daioe_q1_eloundou_q2,3962.0
estimation_panel_22_25,n_daioe_q1_eloundou_q3,2734.0
estimation_panel_22_25,n_daioe_q1_eloundou_q4,74.0
estimation_panel_22_25,n_daioe_q2_eloundou_q1,3478.0
estimation_panel_22_25,n_daioe_q2_eloundou_q2,6250.0
estimation_panel_22_25,n_daioe_q2_eloundou_q3,5671.0
estimation_panel_22_25,n_daioe_q2_eloundou_q4,917.0
estimation_panel_22_25,n_daioe_q3_eloundou_q1,1640.0
estimation_panel_22_25,n_daioe_q3_eloundou_q2,599.0
estimation_panel_22_25,n_daioe_q3_eloundou_q3,6079.0
estimation_panel_22_25,n_daioe_q3_eloundou_q4,3293.0
estimation_panel_22_25,n_daioe_q4_eloundou_q1,419.0
estimation_panel_22_25,n_daioe_q4_eloundou_q2,234.0
estimation_panel_22_25,n_daioe_q4_eloundou_q3,1699.0
estimation_panel_22_25,n_daioe_q4_eloundou_q4,24094.0
