part,spec,young_band,term,coef,se,t,var_post,var_interim,cov_post_interim,n_obs,n_firms,status
G,gate,22-25,hy_post,-0.0577798336502001,0.0154935051191686,-3.7292938689977104,,,,24884226,104217,ok
G,gate,22-25,hy_interim,-0.0179179369340303,0.0096626258479721,-1.8543548323141112,,,,24884226,104217,ok
G,gate,22-25,hy_tau,-0.0398618967161698,0.010245433478891902,-3.890698895102394,0.0002400487008777,9.3366338277899e-05,0.0001142230659926,24884226,104217,derived
D,daioe_common,22-25,hy_post,-0.0574072272865873,0.0155493020300385,-3.691948820319182,,,,24662178,103064,ok
D,daioe_common,22-25,hy_interim,-0.0183229269836194,0.0097091296758868,-1.8871853188989203,,,,24662178,103064,ok
D,daioe_common,22-25,hy_tau,-0.0390843003029679,0.010278380074938243,-3.8025739482301386,0.0002417807936213,9.42671990631875e-05,0.0001152014478598,24662178,103064,derived
E,eloundou,22-25,hy_post,-0.0437453398399618,0.0277358455676147,-1.5772131314085598,,,,24662178,103064,ok
E,eloundou,22-25,hy_interim,-0.0194730613700275,0.0114370545777802,-1.7026290499530865,,,,24662178,103064,ok
E,eloundou,22-25,hy_tau,-0.0242722784699343,0.01913635121655641,-1.2683859213941675,0.0007692771293505,0.0001308062174151,0.0002669417044411,24662178,103064,derived
E,eloundou_indcl,22-25,hy_post,-0.0437453398399618,0.0352471698771507,-1.2411021932379347,,,,24662178,103064,ok
E,eloundou_indcl,22-25,hy_interim,-0.0194730613700275,0.0163780115693116,-1.188975919794517,,,,24662178,103064,ok
E,eloundou_indcl,22-25,hy_tau,-0.0242722784699343,0.02258056098378869,-1.0749191965319262,0.0012423629843487,0.0002682392629645,0.0005003602564853,24662178,103064,derived
D,daioe_common,26-30,hy_post,-0.0475897553033025,0.0103918250802039,-4.579537755495855,,,,27781434,115628,ok
D,daioe_common,26-30,hy_interim,-0.0081110316433523,0.005731801912312,-1.4150928045733187,,,,27781434,115628,ok
D,daioe_common,26-30,hy_tau,-0.0394787236599502,0.006769812683651955,-5.831582867172259,0.0001079900284975,3.28535531619837e-05,4.75066089438744e-05,27781434,115628,derived
E,eloundou,26-30,hy_post,-0.048217587436849,0.0101585379179645,-4.746508584821084,,,,27781434,115628,ok
E,eloundou,26-30,hy_interim,-0.0088711412047368,0.0055483488907723,-1.5988794827756379,,,,27781434,115628,ok
E,eloundou,26-30,hy_tau,-0.0393464462321122,0.006717625891847091,-5.857195215331265,0.0001031958926307,3.0784175413735e-05,4.44267852108103e-05,27781434,115628,derived
G,sex_gate,22-25,hy_post,-0.0170545156285412,0.017881866326603,-0.9537324190355375,,,,38398914,104217,ok
G,sex_gate,22-25,hy_interim,-0.0112076118254517,0.0108996287957366,-1.028256286107245,,,,38398914,104217,ok
G,sex_gate,22-25,hy_tau,-0.005846903803089502,0.012032506381124427,-0.4859256764876208,0.0003197611433224,0.0001188019078848,0.0001468909206977,38398914,104217,derived
G,sex_gate,22-25,hyf_post,-0.0858248170751674,0.0141980759680564,-6.044820246648963,,,,38398914,104217,ok
G,sex_gate,22-25,hyf_interim,-0.0144440223321822,0.0090818222832219,-1.5904321711807363,,,,38398914,104217,ok
G,sex_gate,22-25,hyf_tau,-0.0713807947429852,0.01087436396960132,-6.564135147814276,0.0002015853611947,8.24794959840266e-05,8.29065327176816e-05,38398914,104217,derived
D,sex_daioe_common,22-25,hy_post,-0.0164202186075301,0.0179598433216199,-0.914274045351141,,,,38104344,103064,ok
D,sex_daioe_common,22-25,hy_interim,-0.011904590820407,0.0109694686816923,-1.085247714893921,,,,38104344,103064,ok
D,sex_daioe_common,22-25,hy_tau,-0.004515627787123099,0.012071973197199371,-0.37405879828913957,0.0003225559721371,0.0001203292431586,0.0001485763392109,38104344,103064,derived
D,sex_daioe_common,22-25,hyf_post,-0.0862353757479576,0.0142333596707503,-6.058680293534082,,,,38104344,103064,ok
D,sex_daioe_common,22-25,hyf_interim,-0.0137883868140791,0.0091104435627031,-1.5134704165806872,,,,38104344,103064,ok
D,sex_daioe_common,22-25,hyf_tau,-0.0724469889338785,0.010896271249223842,-6.648787211408583,0.0002025885275169,8.30001819091983e-05,8.34299911447181e-05,38104344,103064,derived
E,sex_eloundou,22-25,hy_post,-0.0059413221837812,0.0320372165238559,-0.18545063611743884,,,,38104344,103064,ok
E,sex_eloundou,22-25,hy_interim,-0.0151094284837342,0.0129162132028269,-1.1698032733330295,,,,38104344,103064,ok
E,sex_eloundou,22-25,hy_tau,0.009168106299952999,0.022072793419687507,0.41535777215110614,0.0010263832425964,0.0001668285635008,0.0003530017983745,38104344,103064,derived
E,sex_eloundou,22-25,hyf_post,-0.0815777134414548,0.0164645222350056,-4.954757403650046,,,,38104344,103064,ok
E,sex_eloundou,22-25,hyf_interim,-0.0105415424806798,0.0091749574294255,-1.1489472906840366,,,,38104344,103064,ok
E,sex_eloundou,22-25,hyf_tau,-0.071036170960775,0.01209501237934341,-5.873178855285411,0.0002710804924269,8.41798438317703e-05,0.0001044855059011,38104344,103064,derived
E,sex_eloundou_indcl,22-25,hy_post,-0.0059413221837812,0.0392737620711872,-0.15127968064307218,,,,38104344,103064,ok
E,sex_eloundou_indcl,22-25,hy_interim,-0.0151094284837342,0.0173392182369172,-0.8714019442678493,,,,38104344,103064,ok
E,sex_eloundou_indcl,22-25,hy_tau,0.009168106299952999,0.02628564720688079,0.3487875427907693,0.0015424283872242,0.0003006484890674,0.0005760708136035,38104344,103064,derived
E,sex_eloundou_indcl,22-25,hyf_post,-0.0815777134414548,0.0177503662074519,-4.595832699339303,,,,38104344,103064,ok
E,sex_eloundou_indcl,22-25,hyf_interim,-0.0105415424806798,0.0089308176142456,-1.1803558124247129,,,,38104344,103064,ok
E,sex_eloundou_indcl,22-25,hyf_tau,-0.071036170960775,0.013762657885761753,-5.161515424594397,0.0003150755004986,7.97595032589202e-05,0.0001027121258385,38104344,103064,derived
