"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",7.61365902770866e-05,-5.3543944854968e-07,-4.13987810439578e-05,1.95981672718688e-05,-1.31496457569633e-06,-4.67257408111396e-06,3.22020466742328e-05,2.39265888699879e-07,-1.39292924313331e-07,4.46390247443216e-06,9.44838534953024e-07,-3.88086705498888e-06,-1.87190212068951e-05,4.13880263569431e-07,4.41302676806654e-06,-1.62770890086751e-05,9.16351691330517e-07,2.47548044078618e-06
"rb_x_high_x_female",-5.3543944854968e-07,4.43021286100743e-06,-1.02466774915515e-06,7.97711575923739e-07,3.05713678935049e-07,-3.35871391937868e-07,1.95286324403242e-06,1.39930320494166e-06,-2.04046382204493e-06,-3.05892936512235e-06,-8.42113498512544e-08,6.98243789586176e-07,-2.36251633781524e-06,-5.65373086806634e-07,8.98939762034073e-07,2.59485629811338e-07,-3.57384462526997e-07,4.78940090195478e-07
"rb_x_high_x_young_x_female",-4.13987810439578e-05,-1.02466774915515e-06,8.86628106825115e-05,4.65419781901199e-07,-2.40987543328475e-07,-3.24588748555436e-06,-1.44084647949158e-07,-2.21892574640976e-06,-7.47505205706857e-06,-4.28992157577277e-06,-2.48360780958232e-07,5.57388997405744e-06,3.69070264865804e-06,-8.09797026281596e-10,-9.8433989994949e-06,-2.0145359246774e-08,-2.33707504373377e-07,-7.53421849047719e-06
"interim_x_high_x_young",1.95981672718688e-05,7.97711575923739e-07,4.65419781901199e-07,0.000120329243158628,-5.55997027011717e-06,-4.60847063268623e-05,0.000148576339210948,-1.53132894253973e-06,-4.86514304866951e-05,4.9595797232067e-06,-3.98779807418717e-07,9.35970683393364e-06,-1.10983789415876e-05,-8.05584110411644e-07,7.30764069536975e-06,-2.32167866054503e-05,-7.74234451688663e-07,-2.93320227818166e-06
"interim_x_high_x_female",-1.31496457569633e-06,3.05713678935049e-07,-2.40987543328475e-07,-5.55997027011717e-06,5.14394489736094e-06,-2.51140438591566e-06,-5.74828777875344e-07,6.96666056782711e-06,-4.43898760532213e-06,-2.25025227799078e-06,-4.36139960159549e-07,1.9769114049381e-06,-2.24922741861451e-06,-1.12351071863183e-07,-5.27947250419606e-08,8.57809472454857e-07,8.59831675973139e-08,-2.36360522523505e-06
"interim_x_high_x_young_x_female",-4.67257408111396e-06,-3.35871391937868e-07,-3.24588748555436e-06,-4.60847063268623e-05,-2.51140438591566e-06,8.30001819091983e-05,-5.84110350597216e-05,-5.50764842531783e-06,8.34299911447181e-05,-2.24293914076304e-08,5.23855270957404e-07,-1.12483390071911e-05,7.0134973570538e-06,-2.31696323215154e-07,3.75750137834354e-07,7.29053444530032e-06,4.82513836109987e-09,9.54582602844793e-06
"post_x_high_x_young",3.22020466742328e-05,1.95286324403242e-06,-1.44084647949158e-07,0.000148576339210948,-5.74828777875344e-07,-5.84110350597216e-05,0.000322555972137136,1.67029801460116e-05,-0.000129803340726249,2.5210548497229e-05,-4.56057932443531e-07,1.049249322544e-05,-1.40308503309022e-06,-1.47737441622679e-07,4.03318229438494e-06,-3.7093617262131e-05,5.69270520732108e-07,-4.78850860304457e-06
"post_x_high_x_female",2.39265888699879e-07,1.39930320494166e-06,-2.21892574640976e-06,-1.53132894253973e-06,6.96666056782711e-06,-5.50764842531783e-06,1.67029801460116e-05,1.54251995852155e-05,-1.70212583264069e-05,-5.65790440474871e-06,-1.37963169292845e-06,3.16144462972068e-06,-5.80558918087036e-06,-4.7255049736033e-07,-8.51046196177277e-07,-7.72469969090924e-07,-2.79699658661288e-07,-4.53461420973946e-06
"post_x_high_x_young_x_female",-1.39292924313331e-07,-2.04046382204493e-06,-7.47505205706857e-06,-4.86514304866951e-05,-4.43898760532213e-06,8.34299911447181e-05,-0.000129803340726249,-1.70212583264069e-05,0.00020258852751694,-6.67380974563547e-06,3.89853216476173e-06,-8.27251081459737e-06,-5.00680515984421e-06,1.70606068975307e-06,-1.24753205937807e-06,5.74896883317458e-07,2.46882789873225e-06,2.21052917561504e-06
"q1_x_high_x_young",4.46390247443216e-06,-3.05892936512235e-06,-4.28992157577277e-06,4.9595797232067e-06,-2.25025227799078e-06,-2.24293914076304e-08,2.5210548497229e-05,-5.65790440474871e-06,-6.67380974563547e-06,0.000110253550983091,-7.92958887131218e-07,7.23047776729472e-06,5.94761116314018e-05,1.56310830477589e-07,7.73344688621107e-07,-2.71314921049676e-05,-1.74757466896579e-06,-1.83288515846832e-06
