"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",7.91383148796413e-05,-1.37076212898651e-07,-4.06885118149818e-05,4.53607221724281e-05,4.84711889307245e-07,-1.24129012251705e-05,0.000123428741163387,7.36975684566767e-06,-3.12755808091973e-05,5.4741008950196e-05,1.88818705473666e-06,-3.51997664721308e-05,3.02215859783639e-05,6.09702712190411e-07,-2.2324106140736e-05,3.85469282511854e-06,2.32696887358607e-06,-5.87500086306652e-06
"rb_x_high_x_female",-1.37076212898651e-07,4.4071328869623e-06,-1.49590808558285e-06,1.38522955154961e-06,3.05097761656539e-07,-6.40871342693284e-07,4.47651987595122e-06,1.49300945576092e-06,-2.75143252854499e-06,-5.62283033698989e-07,-1.77465902479777e-08,-7.98685667288361e-07,-1.66128483273382e-07,-4.81307564699487e-07,-3.29517588359602e-07,1.03957271694183e-06,-3.02474201127314e-07,3.34382962559587e-07
"rb_x_high_x_young_x_female",-4.06885118149818e-05,-1.49590808558285e-06,8.57404732123105e-05,-1.20170132063876e-05,-1.11822088917972e-06,3.50760517655695e-07,-4.23864285069104e-05,-5.45244139869986e-06,5.30759102501908e-06,-2.89219671706381e-05,-7.14770247871394e-07,1.96088326971558e-05,-2.00907721836802e-05,-1.52268380636235e-08,2.17526348973491e-06,-9.80490570439679e-06,-7.17871150525837e-07,-4.08980284276823e-06
"interim_x_high_x_young",4.53607221724281e-05,1.38522955154961e-06,-1.20170132063876e-05,0.00016682856350088,-5.19868215201189e-07,-5.94749446143984e-05,0.000353001798374567,1.61110563635817e-05,-0.000118159090617209,0.00011702867506072,2.10981659714329e-06,-6.56334195082881e-05,9.03640378628233e-05,-1.98492261264957e-07,-5.22596480085946e-05,1.68551779300465e-05,2.9226759270533e-06,-1.98909101109437e-05
"interim_x_high_x_female",4.84711889307245e-07,3.05097761656539e-07,-1.11822088917972e-06,-5.19868215201189e-07,5.46920788736966e-06,-4.82040185622363e-06,1.35980686246951e-05,8.02931696599121e-06,-9.24234523253737e-06,5.6017240082958e-06,-2.36552699369982e-07,-3.08195245055788e-06,4.83003593106567e-06,3.74646378766897e-09,-3.92546618424745e-06,3.13602233301502e-06,3.45710238019263e-07,-2.74177789935459e-06
"interim_x_high_x_young_x_female",-1.24129012251705e-05,-6.40871342693284e-07,3.50760517655695e-07,-5.94749446143984e-05,-4.82040185622363e-06,8.41798438317703e-05,-0.000128822462670458,-1.20590118651192e-05,0.000104485505901182,-4.25528865711245e-05,-5.24912917333871e-07,1.73278816785284e-05,-3.21285298181889e-05,-5.22373547249615e-07,2.20389351731482e-05,-8.06941642418741e-06,-1.3227434076015e-06,1.36648065591327e-05
"post_x_high_x_young",0.000123428741163387,4.47651987595122e-06,-4.23864285069104e-05,0.000353001798374567,1.35980686246951e-05,-0.000128822462670458,0.00102638324259642,7.1553783016909e-05,-0.000365397916072264,0.000397327615514843,7.83810840542839e-06,-0.000231103050571157,0.000328186092895348,1.67270451654506e-06,-0.000186428034083,8.60521875923909e-05,1.20359832663211e-05,-5.75405056772103e-05
"post_x_high_x_female",7.36975684566767e-06,1.49300945576092e-06,-5.45244139869986e-06,1.61110563635817e-05,8.02931696599121e-06,-1.20590118651192e-05,7.1553783016909e-05,1.93425024891803e-05,-3.41682115067944e-05,2.56796598170913e-05,-6.78922263432559e-07,-1.62330645787872e-05,2.18630706942513e-05,-2.08686183892726e-07,-1.61245537931226e-05,8.62242312164701e-06,6.21954954836536e-07,-7.67798222531526e-06
"post_x_high_x_young_x_female",-3.12755808091973e-05,-2.75143252854499e-06,5.30759102501908e-06,-0.000118159090617209,-9.24234523253737e-06,0.000104485505901182,-0.000365397916072264,-3.41682115067944e-05,0.000271080492426992,-0.000136477362195861,8.32260380195501e-07,7.63692514898233e-05,-0.000119053926957082,9.29389543121672e-07,6.45053835602319e-05,-3.98560550003144e-05,-1.54482125466977e-06,1.89423980033409e-05
"q1_x_high_x_young",5.4741008950196e-05,-5.62283033698989e-07,-2.89219671706381e-05,0.00011702867506072,5.6017240082958e-06,-4.25528865711245e-05,0.000397327615514843,2.56796598170913e-05,-0.000136477362195861,0.000270617644757313,3.61742429847924e-06,-0.000107493698210557,0.0002099248471656,9.00739199653568e-07,-8.95930800773103e-05,4.20952144493543e-05,4.61684926165252e-06,-2.79109046139984e-05
