"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.000152080519527707,-6.83725298747563e-07,-5.58647170252523e-05,7.02170935557101e-05,-8.24771243587997e-06,-1.24250838524624e-05,8.91593065492535e-05,-9.62252620810454e-06,1.50097597793289e-05,-4.99947984715332e-05,-1.34544089522599e-07,2.00898498531072e-05,-0.000104052320264857,-3.04933825252504e-06,1.42774048547014e-05,-0.000100866282714439,6.49984781058005e-06,-3.91891149053182e-05
"rb_x_high_x_female",-6.83725298747563e-07,1.5342382463018e-05,3.67133065464131e-06,-2.79979898512916e-05,9.39812405316589e-06,2.55382756139507e-06,-3.36440096099791e-05,2.24446404257832e-05,-1.04614791212226e-05,-6.77134256708905e-05,-5.16311613164192e-07,-4.53013917152342e-06,-4.11733087650157e-05,-9.59152242091194e-07,3.57273833378335e-06,-6.24227837831027e-06,-3.53112619972453e-06,2.72011657901567e-05
"rb_x_high_x_young_x_female",-5.58647170252523e-05,3.67133065464131e-06,0.000105279627810623,1.17867485112898e-05,8.95778595786729e-06,9.0554570876923e-06,6.85786808968604e-05,1.7044702969482e-05,-3.2792704860593e-05,6.28473494859966e-05,2.37688982515952e-06,2.18395707871725e-05,3.04222376909932e-05,3.28878568415397e-06,1.68731758232021e-06,-3.83911528532289e-05,-7.81042970012597e-06,6.39488417207042e-06
"interim_x_high_x_young",7.02170935557101e-05,-2.79979898512916e-05,1.17867485112898e-05,0.000300648489067444,-2.60969687649188e-05,-4.75523693939714e-05,0.000576070813603599,-3.93769527444505e-05,-0.000110734573430871,0.000349630853620893,6.73527214365008e-06,3.99696787935808e-05,0.000138923087547168,3.96656008486991e-06,-1.85118751377161e-05,-0.000110470005716875,1.21940121488495e-05,-0.000122360436490819
"interim_x_high_x_female",-8.24771243587997e-06,9.39812405316589e-06,8.95778595786729e-06,-2.60969687649188e-05,1.31349668251989e-05,1.25971980557044e-06,-2.83046136160932e-05,2.57317895035834e-05,-9.61152173197621e-06,-3.78188033652522e-05,-2.02080075607508e-06,2.1682144032306e-05,-3.79680746742831e-05,7.87512124961071e-08,1.11453943575901e-05,-3.10763637962355e-05,-2.81481234396904e-06,2.84759464932919e-06
"interim_x_high_x_young_x_female",-1.24250838524624e-05,2.55382756139507e-06,9.0554570876923e-06,-4.75523693939714e-05,1.25971980557044e-06,7.97595032589202e-05,-8.77862304140185e-05,-3.19173027175755e-06,0.000102712125838559,-4.32131507373873e-05,-1.26451461008624e-06,1.3851647920717e-05,-3.78228136285546e-05,3.26582616152798e-07,1.70196770059298e-05,-5.02645230555298e-06,-6.36995305392962e-06,3.16102627908637e-05
"post_x_high_x_young",8.91593065492535e-05,-3.36440096099791e-05,6.85786808968604e-05,0.000576070813603599,-2.83046136160932e-05,-8.77862304140185e-05,0.00154242838722422,-7.45979929989262e-06,-0.000382360300344328,0.000912623983333785,2.96240282902992e-05,-7.95490775996676e-05,0.000503263516264997,2.13792519118514e-05,-0.000161145085404383,-0.000136834759138717,3.03799728628126e-05,-0.000210733690743037
"post_x_high_x_female",-9.62252620810454e-06,2.24446404257832e-05,1.7044702969482e-05,-3.93769527444505e-05,2.57317895035834e-05,-3.19173027175755e-06,-7.45979929989262e-06,5.98706098257734e-05,-4.5567924946732e-05,-7.2155117300667e-05,-3.1799432374797e-06,2.74188734875296e-05,-7.1196562454753e-05,8.64453528754232e-07,1.01179439043492e-05,-6.45405281291854e-05,-5.4805735233079e-06,7.62484834855247e-06
"post_x_high_x_young_x_female",1.50097597793289e-05,-1.04614791212226e-05,-3.2792704860593e-05,-0.000110734573430871,-9.61152173197621e-06,0.000102712125838559,-0.000382360300344328,-4.5567924946732e-05,0.00031507550049865,-0.000136810772509047,-6.16806234347625e-06,8.17005306060915e-05,-0.000114207318011897,-3.95733897928514e-06,6.82022405931346e-05,-4.5343139230656e-06,-3.27135198429322e-06,2.51908180646181e-05
"q1_x_high_x_young",-4.99947984715332e-05,-6.77134256708905e-05,6.28473494859966e-05,0.000349630853620893,-3.78188033652522e-05,-4.32131507373873e-05,0.000912623983333785,-7.2155117300667e-05,-0.000136810772509047,0.0010766169232062,1.17909327572524e-05,7.42767149073866e-05,0.000645368135786958,1.62506656917988e-05,-7.58107787537034e-05,-3.5728001133463e-05,2.77169866844316e-05,-0.000269758306533049
"q1_x_high_x_female",-1.34544089522599e-07,-5.16311613164192e-07,2.37688982515952e-06,6.73527214365008e-06,-2.02080075607508e-06,-1.26451461008624e-06,2.96240282902992e-05,-3.1799432374797e-06,-6.16806234347625e-06,1.17909327572524e-05,5.10641911839149e-06,-4.27462864134457e-05,2.76778247020886e-05,2.32956284984444e-06,-2.32421273267601e-05,3.18584612998243e-05,2.20186976605618e-06,1.04862411659229e-05
"q1_x_high_x_young_x_female",2.00898498531072e-05,-4.53013917152342e-06,2.18395707871725e-05,3.99696787935808e-05,2.1682144032306e-05,1.3851647920717e-05,-7.95490775996676e-05,2.74188734875296e-05,8.17005306060915e-05,7.42767149073866e-05,-4.27462864134457e-05,0.000644226963760148,-0.000267593086775685,-1.22216406270306e-05,0.000319451742802086,-0.000488282583820894,-2.07480727968661e-05,-0.000209906739400398
"q2_x_high_x_young",-0.000104052320264857,-4.11733087650157e-05,3.04222376909932e-05,0.000138923087547168,-3.79680746742831e-05,-3.78228136285546e-05,0.000503263516264997,-7.1196562454753e-05,-0.000114207318011897,0.000645368135786958,2.76778247020886e-05,-0.000267593086775685,0.000654256652030136,1.38921197199723e-05,-0.000195990903681495,0.000405668420177088,2.63716512498526e-05,-1.58948021016053e-05
