period,band,group,n_employers,n_emp,n_pay,n_nopay_pension,n_nopay_benefit,share_pay,share_nopay_pension,share_nopay_benefit
reference,22-25,all,109524,5243190,5061347,288,5878,0.9653182509121355,0.001583783813509456,0.0323245876937798
tightening,22-25,all,94146,3089479,3006565,97,4123,0.973162465257087,0.001169886870733531,0.04972622235086958
interim,22-25,all,108497,4867895,4712868,396,6860,0.9681531750376703,0.0025543937507659957,0.04425035638953215
later,22-25,all,110952,6469381,6202543,438,8977,0.958753704566171,0.0016414453713489083,0.03364213492830856
reference,22-25,rest,60498,4040727,3921527,218,2036,0.9705003579801358,0.0018288590604026845,0.017080536912751677
tightening,22-25,rest,50806,2321785,2267679,62,1303,0.9766963780022698,0.0011458987912615977,0.024082356855062284
interim,22-25,rest,54397,3601585,3504344,184,2422,0.9730004983916803,0.0018922059625055274,0.024907189354284716
later,22-25,rest,52837,4742512,4573975,198,3019,0.9644625042593461,0.001174816212463732,0.017912980532464682
reference,22-25,top,19212,855876,811052,60,3005,0.9476279274100454,0.0013385686239514546,0.06703997858290202
tightening,22-25,top,16435,507338,490158,24,2135,0.9661369737729087,0.0013969732246798604,0.12427240977881257
interim,22-25,top,18302,802992,766821,196,3408,0.9549547193496324,0.005418705592878273,0.09421912581902629
later,22-25,top,17226,1012493,950158,240,4536,0.9384341422607366,0.00385016443410604,0.07276810780460416
reference,22-25,unscored,29814,346587,328768,10,837,0.9485872234099951,0.0005611987204669173,0.046972332903080984
tightening,22-25,unscored,26905,260356,248728,11,685,0.955338075558082,0.0009459924320605435,0.05890952872377021
interim,22-25,unscored,35798,463318,441703,16,1030,0.9533473769635542,0.0007402266944251677,0.04765209345362017
later,22-25,unscored,40889,714376,678410,0,1422,0.9496539637389834,0.0,0.03953734082188734
reference,26-30,all,143524,8804850,8554278,765,20020,0.9715415935535529,0.003053014702360998,0.07989719521734272
tightening,26-30,all,122583,4803160,4690270,340,13116,0.9764967229906978,0.0030117813801045267,0.11618389582779697
interim,26-30,all,138635,7421035,7228301,577,19084,0.9740286900681644,0.0029937634252389304,0.09901729845278985
later,26-30,all,136354,9544798,9245704,853,24554,0.968664187550119,0.0028519462108902217,0.08209459233551994
reference,26-30,rest,70596,6060124,5908246,432,6890,0.9749381365793836,0.0028443882589973533,0.04536535903817538
tightening,26-30,rest,59299,3210674,3145523,200,4123,0.9797079990058162,0.003069791714632162,0.06328375619714202
interim,26-30,rest,61563,4861350,4752084,314,6483,0.9775235274152242,0.002873721011110501,0.05933227170391522
later,26-30,rest,57068,6208157,6034230,458,8111,0.971984117025391,0.0026332886785835436,0.04663450758076664
