year,band,group,n_employers,n_emp,n_pay,share_pay,n_nopay_pension,n_nopay_benefit,share_nopay_pension,share_nopay_benefit
2021,22-25,all,99217,4204557,4071137,0.9682677628106837,222,5091,0.0016639184530055464,0.038157697496627195
2021,22-25,rest,55937,3245128,3157120,0.9728799603590367,168,1759,0.0019089173711480775,0.019986819380056357
2021,22-25,top,17781,691575,659600,0.9537649568015039,48,2673,0.0015011727912431587,0.08359655981235341
2021,22-25,unscored,25499,267854,254417,0.9498346113927737,6,659,0.00044652824291136416,0.0490436853464315
2021,26-30,all,132265,7091385,6900543,0.973088190811809,633,17414,0.0033168799320904205,0.09124825772104674
2021,26-30,rest,66695,4900183,4784478,0.9763876165441169,358,6019,0.003094075450499114,0.05202022384512337
2021,26-30,top,25189,1756936,1703853,0.9697866057727772,245,9607,0.004615413597573611,0.18098072829342726
2021,26-30,unscored,40381,434266,412212,0.9492154578069663,30,1788,0.0013602974517094404,0.08107372812188265
2021,31-69,all,383655,50012460,46727802,0.934323206656901,2191970,233068,0.6673358383125427,0.07095655011876427
2021,31-69,rest,151710,35697081,33099130,0.9272223126591219,2035596,67958,0.7835390274874314,0.026158307065837653
2021,31-69,top,89803,12238937,11706521,0.9564981828078697,155002,136148,0.2911294927274913,0.25571733381416034
2021,31-69,unscored,142142,2076442,1922151,0.9256945293921044,1372,28962,0.008892287949394326,0.18771023585303095
2021,all,all,400704,61308402,57699482,0.9411349850547401,2192825,255573,0.6076125267393016,0.07081703113396806
2021,all,rest,152261,43842392,41040728,0.9360969173397291,2036122,75736,0.7267545287372076,0.027032506396198832
2021,all,top,90038,14687448,14069974,0.9579590681784882,155295,148428,0.2515004680359011,0.24037935200510466
2021,all,unscored,158405,2778562,2588780,0.9316977630875252,1408,31409,0.0074190386864929235,0.1655004162670854
2022,22-25,all,101572,4500764,4358454,0.9683809237720529,173,5583,0.001215655962335746,0.03923125570936688
2022,22-25,rest,53793,3388035,3296135,0.9728751326358789,120,1819,0.0013057671381936887,0.019793253536452667
2022,22-25,top,17570,739422,706776,0.9558492985061304,36,2797,0.0011027384671935306,0.08567665257611959
2022,22-25,unscored,30209,373307,355543,0.9524145006656719,17,967,0.000956991668543121,0.054435937851835176
2022,26-30,all,132338,7116418,6928626,0.9736114432850909,512,17617,0.002726420720797478,0.09381123796540854
2022,26-30,rest,62421,4761879,4652178,0.9769626653680197,297,5661,0.002707359094265321,0.05160390516039052
2022,26-30,top,24103,1782445,1730423,0.9708142467229003,176,9787,0.0033831840375225866,0.18813194417746337
2022,26-30,unscored,45814,572094,546025,0.9544323135708468,39,2169,0.0014960297671563927,0.08320227089646706
2022,31-69,all,397644,51739531,48520279,0.9377796447362463,2080799,234259,0.6463610180253052,0.07276814614078053
2022,31-69,rest,144370,36210406,33717610,0.9311580212605183,1926547,66121,0.7728458325510792,0.026524833961543585
2022,31-69,top,84895,12525307,11990551,0.9573059566523998,152914,133420,0.28595097577212786,0.24949696684095177
2022,31-69,unscored,168379,3003818,2812118,0.9361812200339701,1338,34718,0.006979655712050078,0.1811058946270214
2022,all,all,414656,63356713,59807359,0.9439782489978608,2081484,257459,0.5864402367304022,0.0725368616373571
2022,all,rest,145012,44360320,41665923,0.9392611009118058,1926964,73601,0.7151744898765846,0.027316316043997972
2022,all,top,85189,15047174,14427750,0.9588345293275667,153126,146004,0.2472070827090975,0.23570930412770574
2022,all,unscored,184455,3949219,3713686,0.9403596002146247,1394,37854,0.005918491251756654,0.16071633274318248
2023,22-25,all,99100,4495243,4351189,0.9679541239483606,386,6187,0.002679550724034043,0.0429491718383384
2023,22-25,rest,50540,3330934,3240295,0.9727887133158447,176,2183,0.0019417689956861836,0.024084555213539426
2023,22-25,top,16353,735209,701655,0.9543612768614095,196,3078,0.0058413303927996665,0.09173272933182333
2023,22-25,unscored,32207,429100,409239,0.9537147518061058,14,926,0.0007048990483862847,0.04662403705754997
2023,26-30,all,126663,6821242,6643680,0.9739692566251131,537,17189,0.0030242957389531545,0.09680562282470348
2023,26-30,rest,56955,4470086,4369197,0.9774301881440313,291,5816,0.0028843580568743868,0.05764751360405991
2023,26-30,top,22404,1714023,1666116,0.9720499666573903,215,8912,0.004487861899096166,0.1860270941616048
2023,26-30,unscored,47304,637133,608367,0.9548508710112331,31,2461,0.0010776611277202252,0.08555238823611208
2023,31-69,all,403683,52991753,49361721,0.9314981710455965,2478936,232811,0.6828964593149592,0.06413469633325547
2023,31-69,rest,137165,36401756,33783670,0.9280780300818455,2057134,67009,0.7857396586666748,0.02559465197094366
2023,31-69,top,80604,12880179,12098280,0.9392943995576459,416956,123188,0.5332606896798692,0.1575497602631542
2023,31-69,unscored,185914,3709818,3479771,0.937989680356287,4846,42614,0.0210652605771864,0.18524040739501058
2023,all,all,420213,64308238,60356590,0.9385514496603063,2479859,256187,0.6275505814283053,0.06483042011839112
2023,all,rest,137858,44202776,41393162,0.9364380644328764,2057601,75008,0.7323429481772229,0.026696905695942574
2023,all,top,80901,15329411,14466051,0.9436795060162455,417367,135178,0.483421747590808,0.15657199777613046
2023,all,unscored,201454,4776051,4497377,0.94165179559431,4891,46001,0.017550973538973856,0.16507101487759893
2024,22-25,all,96909,4370538,4231381,0.9681602127701441,265,6510,0.0019043238931566505,0.04678169262056526
2024,22-25,rest,47688,3209649,3123932,0.9732939645425404,135,2231,0.001574950126579325,0.026027509128877586
2024,22-25,top,15410,690194,657488,0.9526133232105756,130,3229,0.0039748058460221366,0.09872806212927292
2024,22-25,unscored,33811,470695,449961,0.9559502437884405,0,1050,0.0,0.05064145847400405
2024,26-30,all,121355,6447089,6280719,0.974194555093004,581,17888,0.003492216144737633,0.10751938450441786
2024,26-30,rest,52435,4185886,4093500,0.9779291648171976,334,5984,0.0036152663823523046,0.06477171865867122
2024,26-30,top,20741,1585974,1542007,0.9722776035420505,197,9019,0.004480633202174358,0.2051311210680738
2024,26-30,unscored,48179,675229,645212,0.9555454519873998,50,2885,0.0016657227571043075,0.09611220308491855
2024,31-69,all,404759,53027086,49530616,0.9340625656857705,2350874,242407,0.6723564051743616,0.06932906617245393
2024,31-69,rest,129925,35976868,33497650,0.9310885539008009,1933632,67821,0.7799362540930245,0.027355803321853906
2024,31-69,top,76249,12799361,12034711,0.940258736354104,412142,124112,0.5389943111227359,0.1623121689661937
2024,31-69,unscored,198585,4250857,3998255,0.9405762179249972,5100,50474,0.020189863896564558,0.1998163118265097
2024,all,all,420837,63844713,60042716,0.9404493054890857,2351720,266805,0.6185486206327885,0.07017496331533139
2024,all,rest,130646,43372403,40715082,0.938732446989391,1934101,76036,0.7278386766220566,0.028613780570732703
2024,all,top,76552,15075529,14234206,0.9441928041132089,412469,136360,0.49026236059159206,0.1620780603882219
2024,all,unscored,213639,5396781,5093428,0.9437900111195915,5150,54409,0.01697692127653262,0.17935870091939093
2025,22-25,all,79975,2098843,1971162,0.9391660071763348,173,2467,0.0013549392626937445,0.019321590526389987
2025,22-25,rest,41089,1532863,1450043,0.9459703835241636,63,788,0.000760685824680029,0.009514609997585124
2025,22-25,top,12358,322299,292670,0.9080698357736139,110,1307,0.0037125788923014613,0.04411218738398191
2025,22-25,unscored,26528,243681,228449,0.9374920490313156,0,372,0.0,0.024422268907563025
2025,26-30,all,100572,3097709,2964985,0.9571541419804119,272,6666,0.002049365600795636,0.050224526084204815
2025,26-30,rest,45222,2022271,1940730,0.9596785000625534,124,2127,0.001520707374204388,0.026085036975263976
2025,26-30,top,17814,734888,702475,0.9558939593516291,125,3352,0.003856477339339154,0.10341529633171875
2025,26-30,unscored,37536,340550,321780,0.944883277051828,23,1187,0.0012253596164091636,0.06323921150772509
2025,31-69,all,363722,26705601,24805233,0.9288400961281493,1067280,109949,0.5616175393397489,0.05785668880974632
2025,31-69,rest,121174,17922799,16626218,0.9276574490401862,869277,29673,0.670437866974759,0.022885573674147622
2025,31-69,top,70392,6470548,6019407,0.9302777755454407,195483,54989,0.43330799018488675,0.12188872215116782
2025,31-69,unscored,172156,2312254,2159608,0.9339838962328533,2520,25287,0.016508785032034904,0.16565779647026455
2025,all,all,376805,31902153,29741380,0.9322687406081965,1067725,119082,0.49414029146050975,0.05511083302133079
2025,all,rest,121920,21477933,20016991,0.9319793948514505,869464,32588,0.5951393005334914,0.022306155891198966
2025,all,top,70710,7527735,7014552,0.9318277011611062,195718,59648,0.3813805211786049,0.11623144180535988
2025,all,unscored,184175,2896485,2709837,0.9355605155904484,2543,26846,0.013624576743388624,0.14383224036689382
