part,spec,young_band,term,coef,se,t,var_post,var_interim,cov_post_interim,n_obs,n_firms,status
G,gate,22-25,hy_post,-0.0577798336502001,0.0154935051191686,-3.7292938689977104,,,,24884226,104217,ok
G,gate,22-25,hy_interim,-0.0179179369340303,0.0096626258479721,-1.8543548323141112,,,,24884226,104217,ok
G,gate,22-25,hy_tau,-0.0398618967161698,0.010245433478891902,-3.890698895102394,0.0002400487008777,9.3366338277899e-05,0.0001142230659926,24884226,104217,derived
D,drift_from_2019,22-25,q1_x_high_x_young,-0.150827964866729,0.0106044551849877,-14.22307532406286,,,,23269653,113299,ok
D,drift_from_2019,22-25,q2_x_high_x_young,-0.141742632100247,0.0082782433327101,-17.12230800708341,,,,23269653,113299,ok
D,drift_from_2019,22-25,q3_x_high_x_young,-0.107718410777496,0.0107846062521873,-9.988163522951883,,,,23269653,113299,ok
D,drift_from_2019,22-25,rbw_x_high_x_young,0.0486114722112066,0.0088179727792888,5.512771861281168,,,,23269653,113299,ok
D,drift_from_2019,22-25,trend_x_high_x_young,-0.0032087222389431,0.0004298191213856,-7.465284998487738,,,,23269653,113299,ok
D,drift_from_2019,22-25,trend_carried_15_5_months,-0.04973519470361805,0.0066621963814768,-7.465284998487738,,,,-1,113299,derived
B,placebo_shift_24,22-25,hy_post,-0.0150011577238219,0.0108647816761932,-1.3807141432664296,,,,23269653,113299,ok
B,placebo_shift_24,22-25,hy_interim,-0.0192676149490603,0.0072943463353078,-2.6414450402219987,,,,23269653,113299,ok
B,placebo_shift_24,22-25,hy_tau,0.004266457225238402,0.007444683884035305,0.5730877619112309,0.0001180434808713,5.32074884594188e-05,5.79138255987519e-05,23269653,113299,derived
B,placebo_shift_24,22-25,rb_x_high_x_young,-0.0646453712838373,0.0089837048950406,-7.195847597300796,,,,23269653,113299,ok
B,placebo_shift_36,22-25,hy_post,-0.0836145926139417,0.0116913211760898,-7.151851476370687,,,,23269653,113299,ok
B,placebo_shift_36,22-25,hy_interim,-0.0454131289788388,0.0077771382434791,-5.839311010951408,,,,23269653,113299,ok
B,placebo_shift_36,22-25,hy_tau,-0.038201463635102906,0.008145314917241365,-4.689992225376215,0.0001366869908424,6.04838792581861e-05,6.54123574997757e-05,23269653,113299,derived
B,placebo_shift_36,22-25,rb_x_high_x_young,0.0095244613923275,0.0061917504379023,1.538250206924407,,,,23269653,113299,ok
D,drift_from_2020,22-25,q1_x_high_x_young,-0.140140383872848,0.0111670501207165,-12.549454185117986,,,,16216515,110177,ok
D,drift_from_2020,22-25,q2_x_high_x_young,-0.136280672153263,0.0086629080515299,-15.731515484479297,,,,16216515,110177,ok
D,drift_from_2020,22-25,q3_x_high_x_young,-0.1111265969154,0.0111403916964932,-9.975106795426296,,,,16216515,110177,ok
D,drift_from_2020,22-25,rbw_x_high_x_young,0.0439436606227034,0.0080329177899512,5.470448194761166,,,,16216515,110177,ok
D,drift_from_2020,22-25,trend_x_high_x_young,-0.0026989269705382,0.0004893670867117,-5.515137907360359,,,,16216515,110177,ok
D,drift_from_2020,22-25,trend_carried_15_5_months,-0.0418333680433421,0.00758518984403135,-5.515137907360359,,,,-1,110177,derived
D,drift_from_2019,26-30,q1_x_high_x_young,-0.0463411506283088,0.0035785684431289,-12.949633733368165,,,,26664557,129913,ok
D,drift_from_2019,26-30,q2_x_high_x_young,-0.0467104132056263,0.0027968945970718,-16.70081284240372,,,,26664557,129913,ok
D,drift_from_2019,26-30,q3_x_high_x_young,-0.0439366799287658,0.0026174823526303,-16.78585526454991,,,,26664557,129913,ok
D,drift_from_2019,26-30,rbw_x_high_x_young,0.0246262092753596,0.0052111190111306,4.725704637096115,,,,26664557,129913,ok
D,drift_from_2019,26-30,trend_x_high_x_young,-0.000347045598983,0.0003323573357213,-1.044194190056984,,,,26664557,129913,ok
D,drift_from_2019,26-30,trend_carried_15_5_months,-0.0053792067842365005,0.00515153870368015,-1.0441941900569842,,,,-1,129913,derived
B,placebo_shift_24,26-30,hy_post,0.022502069787623,0.0073617251883544,3.05662996266409,,,,26664557,129913,ok
B,placebo_shift_24,26-30,hy_interim,0.0020551329694737,0.0046465822955287,0.44228915765708215,,,,26664557,129913,ok
B,placebo_shift_24,26-30,hy_tau,0.0204469368181493,0.004597357802900901,4.44754089082373,5.41949977488524e-05,2.15907270291208e-05,2.73250130050397e-05,26664557,129913,derived
B,placebo_shift_24,26-30,rb_x_high_x_young,-0.0181134816508293,0.0050009889866748,-3.62197991219195,,,,26664557,129913,ok
