"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_female","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_female","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_female","q3_x_high_x_young_x_female","rb_x_highwfh_x_young","rb_x_highwfh_x_female","rb_x_highwfh_x_young_x_female","interim_x_highwfh_x_young","interim_x_highwfh_x_female","interim_x_highwfh_x_young_x_female","post_x_highwfh_x_young","post_x_highwfh_x_female","post_x_highwfh_x_young_x_female","q1_x_highwfh_x_young","q1_x_highwfh_x_female","q1_x_highwfh_x_young_x_female","q2_x_highwfh_x_young","q2_x_highwfh_x_female","q2_x_highwfh_x_young_x_female","q3_x_highwfh_x_young","q3_x_highwfh_x_female","q3_x_highwfh_x_young_x_female"
"rb_x_high_x_young",0.000154330568073238,6.23576994054816e-07,-0.000105201603163445,4.0781908715383e-05,1.44046513942537e-06,-2.46957322634206e-05,0.000112989276298862,1.1626028656705e-05,-3.95943226402475e-05,3.0223827911775e-05,4.42946088155017e-06,-2.40459481303142e-05,-7.63331324849607e-06,2.27777224831133e-06,-3.48034571189377e-06,-1.58545735521263e-05,3.7285068067984e-06,4.67554833909451e-06,-3.98853406267264e-05,-5.33339875282202e-07,3.21640206127386e-05,-9.95029335415503e-06,-1.09328795454079e-06,8.96288059928826e-06,-3.53011002154745e-05,-4.9822559885731e-06,1.73168692598044e-05,-1.2172155287893e-05,-1.67122665137587e-06,1.02236443915018e-05,-4.38553670773753e-06,-1.01774589690358e-06,3.7442367303111e-06,6.90729745249373e-07,-1.59449911135512e-06,-1.44880942813466e-07
"rb_x_high_x_female",6.23576994054816e-07,8.26726138560751e-06,1.13131622887484e-06,3.39394909569621e-06,3.0195096166676e-07,-7.61330602704962e-07,1.6568896702315e-05,2.44900297201851e-06,-9.73080387521424e-06,9.1405019724657e-10,-6.69993891236125e-07,3.6739337551685e-06,-3.2819399606601e-06,-1.31728690847369e-06,1.67534066250569e-06,7.76885866900204e-07,-8.45507424470537e-07,-2.92403457592059e-07,-4.26473641083729e-07,-2.80160825150393e-06,-5.84276676563447e-07,-1.05142810545858e-06,-2.02075255749674e-07,1.79708265919378e-09,-6.71691812268455e-06,-7.99425089611199e-07,3.6203463444271e-06,-1.0754491589866e-06,3.33067813673463e-07,-1.66467506504672e-06,2.50976300413054e-07,4.52420715848117e-07,-4.25127832021234e-07,-5.4635303709842e-07,3.56226146316454e-07,-1.87724372838348e-08
"rb_x_high_x_young_x_female",-0.000105201603163445,1.13131622887484e-06,0.000181662477447677,-1.14854905139313e-05,-1.47153380779642e-06,1.27920303970745e-05,-4.80558629734864e-05,-6.71218240861172e-06,2.06338696197057e-05,-2.50080588468075e-05,-5.06514267418691e-06,3.73697595838307e-05,-9.17553377826692e-06,-2.5134162637629e-06,-2.49698478906219e-06,6.45922249422487e-06,-4.39182113700863e-06,-6.10761581440926e-06,3.09320601570181e-05,-7.39253956101678e-07,-5.26218058843841e-05,3.68695092982635e-06,2.61997052824684e-07,-5.91751479077561e-06,1.71780127219326e-05,1.44816421072184e-06,-1.04499440240279e-05,9.71892734489533e-06,2.3013607504109e-06,-1.52125105389108e-05,4.64356409799317e-06,1.21936649143154e-06,-1.86646148215236e-06,-4.54668119809435e-06,2.08777591384279e-06,-6.45132183746522e-07
"interim_x_high_x_young",4.0781908715383e-05,3.39394909569621e-06,-1.14854905139313e-05,0.000203875230155116,1.58821950827208e-06,-9.59934075709637e-05,0.00033216494504097,2.04462740000205e-05,-0.00017988013058926,2.76279248111448e-05,-1.28997891310878e-06,-2.2472231067617e-06,1.00141425505156e-05,-2.73819723349907e-06,2.19108208526834e-06,-1.12234927640393e-05,-2.66989743699071e-06,7.64554044806962e-06,-9.76576313580795e-06,-9.57126612487058e-07,3.96071804736095e-06,-4.47610072858627e-05,-2.61945727905969e-06,2.67855723837285e-05,-8.82033300970693e-05,-8.72561145520908e-06,6.20687292240571e-05,-1.09265843080532e-05,4.28453183695164e-07,3.6787594287561e-06,-9.0239559128286e-06,8.88744702966715e-07,1.53025621390706e-06,-5.21550990810968e-06,1.00396875017108e-06,-4.44276693430665e-06
"interim_x_high_x_female",1.44046513942537e-06,3.0195096166676e-07,-1.47153380779642e-06,1.58821950827208e-06,1.11437841208768e-05,-1.00265290499883e-05,2.22499886656433e-05,1.69921917945195e-05,-1.65930698887133e-05,-3.09811591817222e-06,7.36730343823521e-07,-1.8005469430351e-06,-3.01026355366004e-06,5.5526640081682e-07,-3.85965236247597e-06,4.7520784176536e-06,1.46156316333008e-06,-5.54270392282065e-06,-7.75795180859312e-07,-2.09890912781786e-07,6.55774619017466e-08,-2.66984024305793e-06,-4.07014276174451e-06,4.12287794870172e-06,-9.72221577350481e-06,-6.311391209292e-06,6.7031441668847e-06,1.81051470872507e-07,-4.39564740846595e-07,1.4940357226273e-06,-2.05891837855922e-08,-3.02879024809136e-07,1.7310317762189e-06,-1.21144305222497e-06,-6.44469620655899e-07,1.07904803251747e-06
"interim_x_high_x_young_x_female",-2.46957322634206e-05,-7.61330602704962e-07,1.27920303970745e-05,-9.59934075709637e-05,-1.00265290499883e-05,0.000153614691026895,-0.000171542269811415,-2.49561417860171e-05,0.000185217448752319,-4.78348722024057e-06,-2.53900963626791e-06,4.17085878464878e-06,8.75664245689587e-06,-2.60561620358855e-06,1.31401483409727e-05,1.43255530203785e-05,-2.21780969815157e-06,1.23749606418468e-05,8.23091549666746e-06,-1.52102232731268e-07,-5.65612232001097e-06,2.61340135744497e-05,3.74513438010525e-06,-4.18450005374009e-05,5.19861457584573e-05,8.91091970969076e-06,-5.40067657634095e-05,3.06410135454915e-06,1.49799924350609e-06,-5.47843210023525e-06,-2.66450576218361e-07,1.28846746508251e-06,-5.46110509071951e-06,-4.12615357820533e-06,1.38868178961357e-06,-3.09520142924076e-06
"post_x_high_x_young",0.000112989276298862,1.6568896702315e-05,-4.80558629734864e-05,0.00033216494504097,2.22499886656433e-05,-0.000171542269811415,0.00103616629101153,0.000106107673611667,-0.000568707943780451,0.000127303208193281,6.9688363247126e-06,-5.970264470563e-05,8.57322484707785e-05,2.31952490877422e-06,-6.41280656410043e-05,-1.90805652650654e-05,6.96916291332158e-06,2.18393312289657e-06,-3.50742728567122e-05,-6.4740342432893e-06,1.85880498177215e-05,-8.82155923672823e-05,-9.81461053560079e-06,5.41284028017382e-05,-0.000325106106672429,-3.82787339363211e-05,0.000200027053692775,-4.77270445131923e-05,-3.35352369689603e-06,2.89506499854958e-05,-3.8432863221066e-05,-1.16994265649062e-06,2.8769820168711e-05,-6.94042953433125e-06,-2.75068578858426e-06,-2.47718681855781e-06
"post_x_high_x_female",1.1626028656705e-05,2.44900297201851e-06,-6.71218240861172e-06,2.04462740000205e-05,1.69921917945195e-05,-2.49561417860171e-05,0.000106107673611667,4.09882505739976e-05,-7.06098841685673e-05,1.45721482271394e-06,1.26111546496261e-07,-1.01978787116943e-05,-5.38774348916618e-07,3.77382163104844e-07,-1.44407147092277e-05,1.7267013174856e-06,1.86585726523618e-06,-8.86062801028643e-06,-4.17747532962914e-06,-8.44293899600931e-07,1.0111368719694e-06,-8.81232022323687e-06,-6.33810333558757e-06,9.16032651001383e-06,-3.83411980000487e-05,-1.48412347029945e-05,2.49000881915674e-05,-3.10145007690649e-06,-3.47251260205267e-07,5.15823625767917e-06,-2.61719687199467e-06,-3.09112894819876e-07,5.77545266173051e-06,-7.06995632846252e-07,-8.91189290597644e-07,1.56233793764388e-06
"post_x_high_x_young_x_female",-3.95943226402475e-05,-9.73080387521424e-06,2.06338696197057e-05,-0.00017988013058926,-1.65930698887133e-05,0.000185217448752319,-0.000568707943780451,-7.06098841685673e-05,0.000579630246904758,-7.09066112209423e-05,5.89500180979968e-06,4.16076222131872e-05,-6.63174390137343e-05,4.00135101451398e-06,3.97747886329447e-05,-1.3153704667364e-06,2.44830435136619e-06,1.10939258560755e-05,1.64489253799676e-05,3.60235207271593e-06,-1.12605487956136e-05,6.00311636382401e-05,5.92043812535733e-06,-5.40439330367602e-05,0.000195975832437062,2.38657961385715e-05,-0.000185593468894025,2.83258709785443e-05,-1.29064776950523e-06,-1.93975206171366e-05,2.58290591269887e-05,-1.1571556939248e-06,-1.61735457860184e-05,-1.25992469927573e-06,-1.2392691203672e-07,-4.50427980371731e-06
"q1_x_high_x_young",3.0223827911775e-05,9.1405019724657e-10,-2.50080588468075e-05,2.76279248111448e-05,-3.09811591817222e-06,-4.78348722024057e-06,0.000127303208193281,1.45721482271394e-06,-7.09066112209423e-05,0.000193437514774412,9.30622814797087e-07,-2.97482541099719e-05,0.000126025727145406,7.19877544603352e-07,-3.59371373865553e-05,-1.70380182340401e-05,-3.21024542073599e-06,1.93597519116806e-06,-1.23451831090661e-05,-1.31690977529084e-06,1.00333092608203e-05,-1.0890841552636e-05,4.39361615801191e-07,1.36163982833867e-06,-4.7538366669665e-05,-2.86091471732158e-06,2.72716518788995e-05,-3.82708504189931e-05,-4.29418125573192e-07,1.54443612073983e-05,-2.91009031224767e-05,-8.72378009429391e-08,1.46393880844398e-05,-5.10653651140353e-06,6.40503739009598e-07,-1.83545462946451e-06
