part,spec,young_band,term,coef,se,t,var_post,var_interim,cov_post_interim,n_obs,n_firms,status
G,gate,22-25,hy_post,-0.0577798336502001,0.0154935051191686,-3.7292938689977104,,,,24884226,104217,ok
G,gate,22-25,hy_interim,-0.0179179369340303,0.0096626258479721,-1.8543548323141112,,,,24884226,104217,ok
G,gate,22-25,hy_tau,-0.0398618967161698,0.010245433478891902,-3.890698895102394,0.0002400487008777,9.3366338277899e-05,0.0001142230659926,24884226,104217,derived
J,ai_only,22-25,hy_post,-0.0577798336502001,0.0154935051191686,-3.7292938689977104,,,,24884226,104217,ok
J,ai_only,22-25,hy_interim,-0.0179179369340303,0.0096626258479721,-1.8543548323141112,,,,24884226,104217,ok
J,ai_only,22-25,hy_tau,-0.0398618967161698,0.010245433478891902,-3.890698895102394,0.0002400487008777,9.3366338277899e-05,0.0001142230659926,24884226,104217,derived
J,joint,22-25,hy_post,-0.0826451817484196,0.023729692282632,-3.48277511415133,,,,24884226,104217,ok
J,joint,22-25,hy_interim,-0.0299875748741343,0.0120064892221196,-2.4976139418747056,,,,24884226,104217,ok
J,joint,22-25,hy_tau,-0.052657606874285307,0.017785915517841637,-2.96063516221376,0.0005630982958284,0.0001441557834408,0.0001954576442307,24884226,104217,derived
J,joint,22-25,wfh_post,0.0148608406579348,0.00826471540388,1.7981067625097105,,,,24884226,104217,ok
J,joint,22-25,wfh_interim,0.007148801873428,0.0039061457645918,1.8301421155938518,,,,24884226,104217,ok
J,joint,22-25,wfh_tau,0.007712038784506801,0.006405776368164478,1.2039194535160804,6.83055207071313e-05,1.5257974734239e-05,2.12647622812179e-05,24884226,104217,derived
J,wfh_only,22-25,wfh_post,-0.0080030764692264,0.0050179004152738,-1.5949054000486207,,,,24884226,104217,ok
J,wfh_only,22-25,wfh_interim,-0.0010715273182969,0.003268101795858,-0.3278745232645312,,,,24884226,104217,ok
J,wfh_only,22-25,wfh_tau,-0.0069315491509295,0.003298887828801216,-2.101177581854415,2.51793245776053e-05,1.06804893480905e-05,1.24885765093415e-05,24884226,104217,derived
O,ai_in_low_wfh,22-25,hy_post,0.0042988597456566,0.0822435707446304,0.05226985777410775,,,,14177754,59325,ok
O,ai_in_low_wfh,22-25,hy_interim,-0.015687622032616,0.0324776739926425,-0.4830278805116978,,,,14177754,59325,ok
O,ai_in_low_wfh,22-25,hy_tau,0.0199864817782726,0.0629268126244187,0.3176147169182515,0.006764004928827,0.0010547993079723,0.0019295102448653,14177754,59325,derived
O,ai_in_high_wfh,22-25,hy_post,-0.0677403678647772,0.0201667280906861,-3.3590162747353522,,,,10706472,44892,ok
O,ai_in_high_wfh,22-25,hy_interim,-0.0239451315142607,0.0110806877596692,-2.160978815901185,,,,10706472,44892,ok
O,ai_in_high_wfh,22-25,hy_tau,-0.043795236350516506,0.014094977790723903,-3.10715185229584,0.0004066969218836,0.0001227816412272,0.0001654050820949,10706472,44892,derived
O,wfh_in_low_ai,22-25,hy_post,-0.0846882777370816,0.0616677682095914,-1.373298891720063,,,,15087330,62860,ok
O,wfh_in_low_ai,22-25,hy_interim,-0.0593612727608855,0.0423121369030136,-1.4029372446244284,,,,15087330,62860,ok
O,wfh_in_low_ai,22-25,hy_tau,-0.025327004976196096,0.05254645866324676,-0.48199261416470845,0.0038029136359518,0.0017903169292993,0.0014160501236014,15087330,62860,derived
O,wfh_in_high_ai,22-25,hy_post,-0.0552604796864848,0.0205932117575138,-2.683431819046975,,,,9796896,41357,ok
O,wfh_in_high_ai,22-25,hy_interim,-0.0288056518518358,0.0108324689718189,-2.6591954176628483,,,,9796896,41357,ok
O,wfh_in_high_ai,22-25,hy_tau,-0.026454827834649,0.014548636309812681,-1.8183716515620023,0.0004240803704898,0.0001173423840254,0.00016487996802,9796896,41357,derived
G,sex_gate,22-25,hy_post,-0.0170545156285412,0.017881866326603,-0.9537324190355375,,,,38398914,104217,ok
G,sex_gate,22-25,hy_interim,-0.0112076118254517,0.0108996287957366,-1.028256286107245,,,,38398914,104217,ok
G,sex_gate,22-25,hy_tau,-0.005846903803089502,0.012032506381124427,-0.4859256764876208,0.0003197611433224,0.0001188019078848,0.0001468909206977,38398914,104217,derived
G,sex_gate,22-25,hyf_post,-0.0858248170751674,0.0141980759680564,-6.044820246648963,,,,38398914,104217,ok
G,sex_gate,22-25,hyf_interim,-0.0144440223321822,0.0090818222832219,-1.5904321711807363,,,,38398914,104217,ok
G,sex_gate,22-25,hyf_tau,-0.0713807947429852,0.01087436396960132,-6.564135147814276,0.0002015853611947,8.24794959840266e-05,8.29065327176816e-05,38398914,104217,derived
S,sex_ai_only,22-25,hy_post,-0.0170545156285412,0.017881866326603,-0.9537324190355375,,,,38398914,104217,ok
S,sex_ai_only,22-25,hy_interim,-0.0112076118254517,0.0108996287957366,-1.028256286107245,,,,38398914,104217,ok
S,sex_ai_only,22-25,hy_tau,-0.005846903803089502,0.012032506381124427,-0.4859256764876208,0.0003197611433224,0.0001188019078848,0.0001468909206977,38398914,104217,derived
S,sex_ai_only,22-25,hyf_post,-0.0858248170751674,0.0141980759680564,-6.044820246648963,,,,38398914,104217,ok
S,sex_ai_only,22-25,hyf_interim,-0.0144440223321822,0.0090818222832219,-1.5904321711807363,,,,38398914,104217,ok
S,sex_ai_only,22-25,hyf_tau,-0.0713807947429852,0.01087436396960132,-6.564135147814276,0.0002015853611947,8.24794959840266e-05,8.29065327176816e-05,38398914,104217,derived
S,sex_joint,22-25,hy_post,-0.0492942595498805,0.0321895369803844,-1.5313752285383708,,,,38398914,104217,ok
S,sex_joint,22-25,hy_interim,-0.0324963649406439,0.0142784883708016,-2.2758967263717107,,,,38398914,104217,ok
S,sex_joint,22-25,hy_tau,-0.0167978946092366,0.023993991562155727,-0.7000875434052791,0.0010361662910115,0.0002038752301551,0.0003321649450409,38398914,104217,derived
S,sex_joint,22-25,hyf_post,-0.0558402348879683,0.0240755113529237,-2.319378976811935,,,,38398914,104217,ok
S,sex_joint,22-25,hyf_interim,0.0032925336752967,0.0123941393822603,0.2656524647454986,,,,38398914,104217,ok
S,sex_joint,22-25,hyf_tau,-0.059132768563265,0.019047573084960193,-3.104477840799348,0.0005796302469047,0.0001536146910268,0.0001852174487523,38398914,104217,derived
S,sex_joint,22-25,wfh_post,0.018074056444996,0.0117206031359358,1.542075628307922,,,,38398914,104217,ok
S,sex_joint,22-25,wfh_interim,0.011865621554623,0.0047983746525827,2.4728418295216676,,,,38398914,104217,ok
S,sex_joint,22-25,wfh_tau,0.006208434890373,0.008986726953044021,0.6908449453079303,0.0001373725378701,2.30243993065489e-05,3.98178379240405e-05,38398914,104217,derived
S,sex_joint,22-25,wfhf_post,-0.0161349013532841,0.0095088906623861,-1.6968226816518375,,,,38398914,104217,ok
S,sex_joint,22-25,wfhf_interim,-0.0094255381153931,0.004977972005979,-1.8934494014976713,,,,38398914,104217,ok
S,sex_joint,22-25,wfhf_tau,-0.006709363237891,0.007533973077366092,-0.8905478117578595,9.04190016292152e-05,2.47802052923109e-05,2.92192282955245e-05,38398914,104217,derived
