id,kind,document,where,statistic,printed,source,locator,transform,status,note
M001,derived,main_v3.tex,Abstract,"22-25 tau, per cent",3.9,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_headline.csv,a=csv:young_band=='22-25' and arm=='backward' and floor==5 and level=='uniform3' and term=='post_x_high_x_young'|coef;b=csv:young_band=='22-25' and arm=='backward' and floor==5 and level=='uniform3' and term=='interim_x_high_x_young'|coef,100*(1-exp(a-b)),,
M002,number,main_v3.tex,Introduction,"advertisements, millions, 2020 to June 2026",4.9,output/results/postings_accounting_extended.csv,csv:year=='TOTAL 2020-2026H1'|n_kept,x/1e6,,
M009,derived,main_v3.tex,Section 2,"share of occupation-month cells with no postings, per cent",2.4,output/results/postings_sumstats_v3.csv,a=csv:`Unnamed: 0`=='cells'|All;n=csv:`Unnamed: 0`=='occupations'|All,100*(1-a/(n*78)),,"The balanced panel has 369 x 78 = 28,782 cells, of which 28,084 are positive."
M010,number,main_v3.tex,Section 2,employers scored at a floor of five,"262,089",3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_size.csv,csv:young_band=='22-25' and spec=='floor_5' and term=='post_x_high_x_young'|n_scored,,,
M011,number,main_v3.tex,Section 2,"share of 2019 payslips at scored employers, per cent",98,3_register_mona/exports/2026-09-24_1037_s93/93_summary.txt,regex:2019: ([0-9.]+)% of person-months,,,
M012,number,main_v3.tex,Section 2,employers in the 22-25 panel,"104,217",3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_headline.csv,csv:young_band=='22-25' and arm=='backward' and floor==5 and level=='uniform3' and term=='post_x_high_x_young'|n_firms,,,
M016,number,main_v3.tex,Section 2,"first stage, firm survey 2023, percentage points",20.9,3_register_mona/exports/2026-09-22_2333_s83-partA/occ_rest_firststage.csv,csv:source=='ITFtg_Stora_2023' and route=='occupation' and outcome=='ai_any'|coef_points,,,
M017,number,main_v3.tex,Section 3,"OMXS30 index, June 2026 (Feb 2020 = 100)",171,data/processed/omxs30_monthly.csv,csv:Date=='2026-06-01'|omxs30_idx,,,
M018,number,main_v3.tex,Section 3,"rate-hike posting decline, per cent",12,output/results/postings_extended_did.csv,csv:window=='extended_to_2026-06' and estimator=='OLS_ln' and term=='rb_x_high'|coef,100*(1-exp(x)),,
M019,number,main_v3.tex,Section 3,"beta_1, rate hike x high",-0.127,output/results/postings_extended_did.csv,csv:window=='extended_to_2026-06' and estimator=='OLS_ln' and term=='rb_x_high'|coef,,,
M020,number,main_v3.tex,Section 3,"post-launch posting decline, per cent",6,output/results/postings_extended_did.csv,csv:window=='extended_to_2026-06' and estimator=='OLS_ln' and term=='gpt_x_high'|coef,100*(1-exp(x)),,
M021,derived,main_v3.tex,Section 3,"beta_2, 95% interval lower bound, per cent",-12.6,output/results/postings_extended_did.csv,b=csv:window=='extended_to_2026-06' and estimator=='OLS_ln' and term=='gpt_x_high'|coef;s=csv:window=='extended_to_2026-06' and estimator=='OLS_ln' and term=='gpt_x_high'|se,100*(exp(b-1.96*s)-1),,
M022,derived,main_v3.tex,Section 3,"beta_2, 95% interval upper bound, per cent",1.6,output/results/postings_extended_did.csv,b=csv:window=='extended_to_2026-06' and estimator=='OLS_ln' and term=='gpt_x_high'|coef;s=csv:window=='extended_to_2026-06' and estimator=='OLS_ln' and term=='gpt_x_high'|se,100*(exp(b+1.96*s)-1),,
M023,number,main_v3.tex,Section 3,"beta_2, launch x high",-0.059,output/results/postings_extended_did.csv,csv:window=='extended_to_2026-06' and estimator=='OLS_ln' and term=='gpt_x_high'|coef,,,
M024,number,main_v3.tex,Section 3,"within-employer post-launch decline, per cent",15,output/results/firm_within_did.csv,csv:variant=='a_all_firms' and term=='gpt_x_high'|coef,100*(1-exp(x)),,
M025,derived,main_v3.tex,Section 3,"22-25 tau, per cent",3.9,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_headline.csv,a=csv:young_band=='22-25' and arm=='backward' and floor==5 and level=='uniform3' and term=='post_x_high_x_young'|coef;b=csv:young_band=='22-25' and arm=='backward' and floor==5 and level=='uniform3' and term=='interim_x_high_x_young'|coef,100*(1-exp(a-b)),,
M026,derived,main_v3.tex,Section 3,22-25 tau,-0.040,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_headline.csv,a=csv:young_band=='22-25' and arm=='backward' and floor==5 and level=='uniform3' and term=='post_x_high_x_young'|coef;b=csv:young_band=='22-25' and arm=='backward' and floor==5 and level=='uniform3' and term=='interim_x_high_x_young'|coef,a-b,,
M027,number,main_v3.tex,Section 3,"22-25 step from the 2023 level, SE",0.010,output/tables/table1_headline_v3.tex,regex:Ages 22--25 relative to older colleagues & \$-?[0-9.]+\$ & \(([0-9.]+)\),,,
M030,derived,main_v3.tex,Section 3,"26-30 tau, per cent",3.9,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_headline.csv,a=csv:young_band=='26-30' and arm=='backward' and floor==5 and level=='uniform3' and term=='post_x_high_x_young'|coef;b=csv:young_band=='26-30' and arm=='backward' and floor==5 and level=='uniform3' and term=='interim_x_high_x_young'|coef,100*(1-exp(a-b)),,
M031,derived,main_v3.tex,Section 3,26-30 tau,-0.040,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_headline.csv,a=csv:young_band=='26-30' and arm=='backward' and floor==5 and level=='uniform3' and term=='post_x_high_x_young'|coef;b=csv:young_band=='26-30' and arm=='backward' and floor==5 and level=='uniform3' and term=='interim_x_high_x_young'|coef,a-b,,
M032,number,main_v3.tex,Section 3,"26-30 step from the 2023 level, SE",0.007,output/tables/table1_headline_v3.tex,regex:Ages 26--30 relative to older colleagues & \$-?[0-9.]+\$ & \(([0-9.]+)\),,,
M039,number,main_v3.tex,Section 3,"young women, tau, per cent",7.4,output/tables/table1_headline_v3.tex,"regex:Young women, 22--25, relative to older colleagues & \$(-?[0-9.]+)\$",100*(1-exp(x)),,
M040,number,main_v3.tex,Section 3,"female differential, tau, per cent",6.9,output/tables/table1_headline_v3.tex,regex:Young women minus young men \(\$\\hat\\tau_F - \\hat\\tau_M\$\) & \$(-?[0-9.]+)\$,100*(1-exp(x)),,
M041,number,main_v3.tex,Section 3,"female differential, tau",-0.071,output/tables/table1_headline_v3.tex,regex:Young women minus young men \(\$\\hat\\tau_F - \\hat\\tau_M\$\) & \$(-?[0-9.]+)\$,,,
M042,number,main_v3.tex,Section 3,"female differential, tau, SE",0.011,output/tables/table1_headline_v3.tex,regex:Young women minus young men \(\$\\hat\\tau_F - \\hat\\tau_M\$\) & \$-?[0-9.]+\$ & \(([0-9.]+)\),,,
M049,derived,main_v3.tex,Section 3,spread of the step across boundaries July 2023 to July 2024,0.002,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_dating.csv,a=csv:young_band=='22-25'|max:step_coef;b=csv:young_band=='22-25'|min:step_coef,a-b,,
M055,number,main_v3.tex,Section 3,"22-25 tau under industry clustering, SE",0.019,output/tables/table1_headline_v3.tex,regex:Ages 22--25 relative to older colleagues & \$-?[0-9.]+\$ & \([0-9.]+\) & \(([0-9.]+)\),,,
M056,number,main_v3.tex,Section 3,"separations of 22-25, later minus interim, per cent",3.0,output/tables/tableA_headline_components.tex,"regex:Separations, later minus interim \(\$\\tau\$\) & \$\+([0-9.]+)\$",100*(exp(x)-1),,
M057,number,main_v3.tex,Section 3,"separations of 22-25, later minus interim",+0.030,output/tables/tableA_headline_components.tex,"regex:Separations, later minus interim \(\$\\tau\$\) & \$(\+[0-9.]+)\$",,,
M058,number,main_v3.tex,Section 3,"separations of 22-25, later minus interim, SE",0.014,output/tables/tableA_headline_components.tex,"regex:Separations, later minus interim \(\$\\tau\$\) & \$\+[0-9.]+\$ \(([0-9.]+)\)",,,
M059,number,main_v3.tex,Section 3,"hires of 22-25, later minus interim",+0.008,output/tables/tableA_headline_components.tex,"regex:Hires, later minus interim \(\$\\tau\$\) & \$(\+[0-9.]+)\$",,,
M060,number,main_v3.tex,Section 3,"hires of 22-25, later minus interim, SE",0.034,output/tables/tableA_headline_components.tex,"regex:Hires, later minus interim \(\$\\tau\$\) & \$\+[0-9.]+\$ \(([0-9.]+)\)",,,
M061,number,main_v3.tex,Section 3,22-25 against 41-49 on tau,-0.024,3_register_mona/exports/2026-09-25_1832_s95-s96-s98/pension_reference.csv,csv:part=='P' and spec=='p8_tau' and young_band=='22-25' and term=='tau'|coef,,,
M062,number,main_v3.tex,Section 3,"22-25 against 41-49 on tau, SE",0.011,3_register_mona/exports/2026-09-25_1832_s95-s96-s98/pension_reference.csv,csv:part=='P' and spec=='p8_tau' and young_band=='22-25' and term=='tau'|se,,,
M063,number,main_v3.tex,Section 3,"22-25 against 41-49 on tau, per cent",2.4,3_register_mona/exports/2026-09-25_1832_s95-s96-s98/pension_reference.csv,csv:part=='P' and spec=='p8_tau' and young_band=='22-25' and term=='tau'|coef,100*(1-exp(x)),,
M064,number,main_v3.tex,Section 3,"50-59 against 41-49 on tau, per cent",2.6,3_register_mona/exports/2026-09-25_1832_s95-s96-s98/pension_reference.csv,csv:part=='P' and spec=='p8_tau' and young_band=='50-59' and term=='tau'|coef,100*(exp(x)-1),,
M065,number,main_v3.tex,Section 3,"60-64 against 41-49 on tau, per cent",5.2,3_register_mona/exports/2026-09-25_1832_s95-s96-s98/pension_reference.csv,csv:part=='P' and spec=='p8_tau' and young_band=='60-64' and term=='tau'|coef,100*(exp(x)-1),,
M066,number,main_v3.tex,Section 3,"65-69 against 41-49 on tau, per cent",8.9,3_register_mona/exports/2026-09-25_1832_s95-s96-s98/pension_reference.csv,csv:part=='P' and spec=='p8_tau' and young_band=='65-69' and term=='tau'|coef,100*(exp(x)-1),,
M067,number,main_v3.tex,Section 3,"50-59 against 41-49, SE",0.003,3_register_mona/exports/2026-09-25_1832_s95-s96-s98/pension_reference.csv,csv:part=='P' and spec=='p8_tau' and young_band=='50-59' and term=='tau'|se,,,
M068,number,main_v3.tex,Section 3,"60-64 against 41-49, SE",0.006,3_register_mona/exports/2026-09-25_1832_s95-s96-s98/pension_reference.csv,csv:part=='P' and spec=='p8_tau' and young_band=='60-64' and term=='tau'|se,,,
M069,number,main_v3.tex,Section 3,"65-69 against 41-49, SE",0.018,3_register_mona/exports/2026-09-25_1832_s95-s96-s98/pension_reference.csv,csv:part=='P' and spec=='p8_tau' and young_band=='65-69' and term=='tau'|se,,,
M070,number,main_v3.tex,Figure 2,employers in the eight-band panel,"104,333",3_register_mona/exports/2026-09-25_1832_s95-s96-s98/pension_reference.csv,csv:part=='P' and spec=='p8_tau' and young_band=='22-25' and term=='tau'|n_firms,,,
M071,number,main_v3.tex,Section 3,"young men, tau",-0.006,3_register_mona/exports/2026-09-25_2250_s97/headline_checks.csv,csv:part=='G' and spec=='sex_gate' and young_band=='22-25' and term=='hy_tau'|coef,,,
M072,number,main_v3.tex,Section 3,"young men, tau, SE",0.012,3_register_mona/exports/2026-09-25_2250_s97/headline_checks.csv,csv:part=='G' and spec=='sex_gate' and young_band=='22-25' and term=='hy_tau'|se,,,
M073,derived,main_v3.tex,Section 3,"young women, tau",-0.077,3_register_mona/exports/2026-09-25_2250_s97/headline_checks.csv,a=csv:part=='G' and spec=='sex_gate' and young_band=='22-25' and term=='hy_tau'|coef;b=csv:part=='G' and spec=='sex_gate' and young_band=='22-25' and term=='hyf_tau'|coef,a+b,,
M074,number,main_v3.tex,Section 3,"young women, tau, SE",0.011,output/tables/table1_headline_v3.tex,"regex:Young women, 22--25, relative to older colleagues & \$-?[0-9.]+\$ & \(([0-9.]+)\)",,,
M075,derived,main_v3.tex,Section 3,"female differential retained under industry x age x sex x month, per cent",65,3_register_mona/exports/2026-09-25_2250_s97/headline_checks.csv,a=csv:part=='I' and spec=='industry_age_sex_month' and young_band=='22-25' and term=='hyf_tau'|coef;b=csv:part=='I' and spec=='base_industry_sample' and young_band=='22-25' and term=='hyf_tau'|coef,100*a/b,,
M076,number,main_v3.tex,Section 3,"within-track differential retained, young women's weights, per cent",85,3_register_mona/exports/2026-09-23_1352_s87/occ_route_gender_split.csv,csv:|ratio_within,100*x,,
M077,derived,main_v3.tex,Section 3,"within-track differential retained, young men's weights, per cent",60,3_register_mona/exports/2026-09-23_1352_s87/occ_route_gender_by_track.csv,d0=csv:track=='ict'|diff;d1=csv:track=='engineering'|diff;d2=csv:track=='business_law_social'|diff;d3=csv:track=='health_education_care'|diff;d4=csv:track=='other'|diff;w0=@3_register_mona/exports/2026-09-23_1352_s87/occ_route_education_mix_by_sex.csv@csv:dimension=='track' and exposed==1 and gender=='men' and cell=='ict'|share;w1=@3_register_mona/exports/2026-09-23_1352_s87/occ_route_education_mix_by_sex.csv@csv:dimension=='track' and exposed==1 and gender=='men' and cell=='engineering'|share;w2=@3_register_mona/exports/2026-09-23_1352_s87/occ_route_education_mix_by_sex.csv@csv:dimension=='track' and exposed==1 and gender=='men' and cell=='business_law_social'|share;w3=@3_register_mona/exports/2026-09-23_1352_s87/occ_route_education_mix_by_sex.csv@csv:dimension=='track' and exposed==1 and gender=='men' and cell=='health_education_care'|share;w4=@3_register_mona/exports/2026-09-23_1352_s87/occ_route_education_mix_by_sex.csv@csv:dimension=='track' and exposed==1 and gender=='men' and cell=='other'|share;p=csv:track=='all'|diff,100*((w0*d0+w1*d1+w2*d2+w3*d3+w4*d4)/(w0+w1+w2+w3+w4))/p,,three fifths of the pooled differential survives within tracks on young men's weights (59.6 per cent)
M078,derived,main_v3.tex,Section 3,"tau retained under industry x age x month, 22-25, per cent",72,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_industry.csv,a=csv:young_band=='22-25' and spec=='industry_age_month' and term=='post_x_high_x_young'|coef;b=csv:young_band=='22-25' and spec=='industry_age_month' and term=='interim_x_high_x_young'|coef;c=csv:young_band=='22-25' and spec=='baseline_same_sample' and term=='post_x_high_x_young'|coef;d=csv:young_band=='22-25' and spec=='baseline_same_sample' and term=='interim_x_high_x_young'|coef,100*(a-b)/(c-d),,
