label,exhibit,document,section,pack,scripts,exports_or_inputs,mona_scripts,output,status,note
fig:scary,Figure 1,main,3,2,2_postings/18_figures.py,data/processed/omxs30_monthly.csv; data/processed/postings_daioe_merged_extended.csv,,output/figures/fig1_two_panel.pdf,OK,
fig:age_profile,Figure 2,main,3,4,4_exhibits/02_figure2_age_profile.py,3_register_mona/exports/2026-09-25_1832_s95-s96-s98/pension_reference.csv,95,output/figures/fig2_age_profile_v4.pdf,OK,tau on the eight-band panel; the six-band step profile stays in OA Table A16
tab:headline,Table 1,main,3,4,4_exhibits/01_table1_headline.py,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_window.csv; 3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_cluster.csv; 3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_gender.csv; 3_register_mona/exports/2026-09-25_2250_s97/headline_checks.csv,"83, 80, 82; 97 as the second record",output/tables/table1_headline_v3.tex,OK,five rows of tau; the components of the former table are OA Table A15
fig:age_gradient,Figure 3,main,3,4,4_exhibits/03_figure3_quarterly_path.py,3_register_mona/exports/2026-09-23_0917_s84/occ_route_path.csv; 3_register_mona/exports/2026-09-21_2152_s68/seasonal_path.csv,"84, 68",output/figures/fig2_spreading_v3.pdf,OK,
tab:topbottom,Table A1,OA,I.1,2,2_postings/13_top_bottom_occupations.py,data/processed/daioe_quartiles.csv,,output/tables/top_bottom_occupations.tex,OK,
tab:sumstats_employment_new,Table A2,OA,I.2,4,4_exhibits/04_tab_estimation_sample.py,3_register_mona/exports/2026-09-21_0812_s68/68_log.txt; 3_register_mona/exports/2026-09-22_2232_s82-partA/occ_route_coverage.csv; 3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_headline.csv,"68, 82, 83, 85, 88",output/tables/tableI2_sumstats_employment.tex,OK,
tab:sumstats_postings_v3,Table A3,OA,I.2,2,2_postings/10_summary_statistics.py,data/processed/postings_daioe_merged_extended.csv,,output/tables/tableI2b_sumstats_postings_v3.tex,OK,
fig:posting_design,Figure A1,OA,II.2,2,2_postings/07_event_study.py; 2_postings/08_honestdid.R; 2_postings/09_honestdid_figure.py,output/results/posting_es_monthly_v3.csv; output/results/posting_rr_honestdid_v3.csv,,output/figures/figA3_event_study_v3.png; output/figures/figA6_rambachan_roth_v3.png,OK,
fig:posting_rivals,Figure A2,OA,II.3,2,2_postings/11_rate_sensitivity.py; 2_postings/19_telework_split_extended.py,data/raw/dingel_neiman_telework.csv; data/raw/isco_soc_crosswalk2.xls; data/raw/ssyk2012_isco08.xlsx; data/processed/postings_daioe_merged_extended.csv,,output/figures/figA_rate_sensitivity_scatter.png; output/figures/figA_telework_robustness.png,OK,panel (a) on the submitted window (11); panel (b) on the current window (19)
tab:remote_measures,Table A4,OA,II.3,2,2_postings/22_tab_remote_measures.py,2_postings/extensions/results/l50_remote_*.csv; 2_postings/extensions/results/l52_hansen_*.csv; output/results/telework_did_results_v3.csv,,output/tables/tableA_remote_measures.tex,OK,the two estimation scripts and their inputs are described in 2_postings/extensions/README.md
tab:accounting,Table A5,OA,II.4,2,2_postings/17_accounting_to_june_2026.py,Platsbanken archives 2020 to 2026-Q2,,output/tables/postings_accounting.tex,OK,
tab:coverage_source,Table A6,OA,II.5,2,2_postings/17_accounting_to_june_2026.py,Platsbanken archives 2020 to 2026-Q2,,output/tables/coverage_by_source.tex,OK,
fig:posting_coverage_monthly,Figure A3,OA,II.5,2,2_postings/23_fig_posting_coverage_monthly.py,output/results/postings_coverage_monthly_extended.csv; output/results/postings_ssyk4_monthly_extended.csv; data/processed/daioe_quartiles.csv,,output/figures/fig_posting_coverage_monthly.pdf,OK,
tab:posting_robustness,Table A8,OA,II.6,2,2_postings/21_posting_robustness.py,data/processed/postings_daioe_merged_extended.csv; data/raw/postings_ssyk4_monthly_2026-02-24.csv; Platsbanken archives 2026-Q1 and 2026-Q2; output/results/postings_extended_did.csv; output/results/postings_seasonality.csv,,output/tables/tableA_posting_robustness.tex,OK,
tab:extended,Table A7,OA,II.6,2,2_postings/03_extend_2026_and_did.py; 2_postings/16_appendix_tables.py,data/processed/postings_daioe_merged_extended.csv,,output/tables/postings_extended.tex,OK,
tab:seasonality,Table A10,OA,II.7,2,2_postings/06_seasonality.py; 2_postings/16_appendix_tables.py,data/processed/postings_daioe_merged_extended.csv,,output/tables/postings_seasonality.tex,OK,
tab:eloundou_postings,Table A9,OA,II.8,2,2_postings/20_eloundou_postings.py,data/processed/postings_daioe_merged_extended.csv; 3_register_mona/inputs/eloundou_ssyk4.dta,,output/tables/tableA_eloundou_postings.tex,OK,
fig:deciles,Figure A4,OA,II.8,2,2_postings/04_decile_gradient.py,data/processed/postings_daioe_merged_extended.csv,,output/figures/postings_decile_gradient.pdf,OK,
tab:deciles,Table A11,OA,II.8,2,2_postings/04_decile_gradient.py; 2_postings/16_appendix_tables.py,output/results/postings_decile_gradient.csv,,output/tables/postings_deciles.tex,OK,
tab:descriptive_bands,Table A12,OA,III.1,4,4_exhibits/05_tab_descriptive_bands.py,3_register_mona/exports/2026-09-23_1125_s85/occ_route_descriptive_full.csv,85,output/tables/tableA_descriptive_bands.tex,OK,
fig:first_stage,Figure A5,OA,III.2,4,4_exhibits/12_fig_first_stage.py,3_register_mona/exports/2026-09-22_2333_s83-partA/occ_rest_firststage.csv,83 (with 71),output/figures/figA2_first_stage_v3.pdf,OK,
tab:periods,Table A13,OA,III.2,,typed in appendix_v3.tex,,,,OK,definitions of the four periods; no computed number
tab:window,Table A14,OA,III.2,4,4_exhibits/14_tab_window.py,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_window.csv,83,output/tables/tableA_window.tex,OK,
tab:headline_components,Table A15,OA,III.2,4,4_exhibits/22_tab_headline_components.py,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_headline.csv; occ_route_profile.csv; occ_route_gender.csv; occ_route_flows.csv; occ_rest_drift.csv; occ_rest_cluster.csv; 3_register_mona/exports/2026-09-23_1352_s87/occ_route_gender_split.csv,"82, 83, 80, 87",output/tables/tableA_headline_components.tex,OK,the rows of the former Table 1 other than tau
tab:fixed_contrasts,Table A18,OA,III.2,4,4_exhibits/13_tab_fixed_contrasts.py,3_register_mona/exports/2026-09-23_0917_s84/occ_route_path.csv,84,output/tables/tableA_fixed_contrasts.tex,OK,
tab:profile_bands,Table A16,OA,III.2,4,4_exhibits/08_tab_profile_bands.py,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_profile.csv; 3_register_mona/exports/2026-09-23_1125_s85/occ_route_split65.csv,"82, 85",output/tables/tableA_profile_split65.tex,OK,
tab:age_profile_rebuilt,Table A17,OA,III.2,4,4_exhibits/11_tab_continuous_profile.py,3_register_mona/exports/2026-09-20_2148_s61-s63/output_63__robustness_gradient.csv,63,output/tables/tableA_age_profile.tex,OK,
fig:prepath_female,Figure A6,OA,III.2,4,4_exhibits/27_fig_prepath_female.py,3_register_mona/exports/2026-09-25_2250_s97/headline_checks.csv,97,output/figures/fig_prepath_female.pdf,OK,
