grp,n_workers,score,quartile
43Z,14892,35.23851547166264,1
23E,29877,40.79128207146635,1
33H,29523,42.10288412803577,1
13Z,14915,47.12049390725444,1
83X,14977,48.50938375983174,1
73O,29695,49.40901918605826,1
53E,14993,67.58706641952911,2
75O,15055,71.3113613523082,2
34P,14932,75.04945011672916,2
55C,29867,76.38375684856196,2
25K,29795,76.47749096684008,2
55I,14838,76.96163055587006,2
45X,14952,77.02049817241172,3
25M,14789,77.57614961825006,3
25T,14831,78.06949712129997,3
74P,14826,78.11554340428977,3
55E,29853,78.95974987805245,3
35E,44782,79.01805078448038,3
25H,14934,79.32490210057587,4
45B,29814,79.79562082595426,4
44P,14979,79.93881265151211,4
65J,14783,80.10638199472366,4
35F,14815,80.21586065578131,4
35M,14667,81.64850775673281,4
55K,14874,82.30648670824256,4
55Q,14763,82.87456363394973,4
55F,14931,83.55937713964236,4
