grp,n_workers,score,quartile
01Z,89,0.110631261411758,1
75V,165,0.19812649251967804,1
02Z,146,0.21782365025008665,1
15B,181,0.2544395315702689,1
15F,180,0.25838909542512445,1
45X,72,0.26328000348110786,1
75L,170,0.26762200082891574,1
75D,167,0.27885359403408,1
64P,174,0.29233976441149734,1
65V,181,0.2979559619218194,1
55T,157,0.30587664536436165,1
53R,684,0.31179567193875396,1
75F,154,0.3155105082888337,1
53E,684,0.3202275012671678,1
13Z,607,0.32092514521690024,1
53F,731,0.3210768391415683,1
63Z,639,0.3217465022937547,1
53B,679,0.3272536374476694,1
53I,722,0.3281042863060394,1
75T,699,0.32822597966364553,1
83R,687,0.3290179329732326,2
83T,687,0.33040088733402084,2
73B,611,0.3306140324412983,2
75R,160,0.33337112848439887,2
14P,147,0.33393304993720463,2
23X,673,0.3345841222918063,2
23E,679,0.33530009282652323,2
83X,669,0.3394054179145783,2
93Z,659,0.34096850344188023,2
85P,182,0.34507483158318364,2
15G,186,0.3453320574470869,2
15P,157,0.34688837977108966,2
75SB,185,0.3473367350098924,2
03N,712,0.3480314467219611,2
73T,635,0.34843594623486335,2
75SX,184,0.3485129708781779,2
73O,602,0.34963155890855324,3
75N,149,0.350629163463104,3
33E,741,0.3512668264013854,3
75SP,174,0.352123972874049,3
75SA,185,0.3523975277356233,3
74P,119,0.35270110610746747,3
03A,728,0.3535739711495133,3
75SD,177,0.3537637649711989,3
43Z,580,0.35642228637774503,3
75X,142,0.3569840347776949,3
03T,687,0.35799817807781675,3
33H,639,0.3583392800904511,3
85T,175,0.3591658008886745,3
15H,191,0.35932908105134453,3
95Z,156,0.35981349234028165,3
73X,590,0.36002302727702284,3
53A,622,0.36342307633336396,3
25K,151,0.3654752845581711,3
54P,144,0.3702642364085127,3
25T,178,0.3742782215372146,3
15V,159,0.37466734496916865,3
75B,178,0.37827315645140464,3
44P,112,0.38731522837062826,3
55Q,163,0.38869375064316214,4
84P,174,0.3912386249561047,4
75M,151,0.39145487482346203,4
65S,189,0.39429613703302446,4
75HS,12,0.3985755552625638,4
75O,124,0.4037247596627591,4
15S,168,0.4097764867191162,4
75P,169,0.41250544199481476,4
24P,145,0.41516966007758066,4
75Y,14,0.416001971784893,4
55L,130,0.4248115275940871,4
35V,727,0.4288345129764757,4
45B,174,0.4289461454552746,4
75J,186,0.43323731702178514,4
55K,175,0.4357564956695375,4
65J,182,0.4494923281615567,4
55H,155,0.4531065791899863,4
25M,148,0.4556156568708129,4
75A,176,0.45594866104302395,4
55J,122,0.45652415439876115,4
25H,169,0.458123425103104,4
45K,163,0.4590977599527661,4
35P,166,0.4615749521595977,4
55G,119,0.46285686418151933,4
83H,165,0.46409443262028494,4
45G,165,0.4665634317254574,4
55I,141,0.466962700583069,4
45DL,65,0.4684164264482887,4
45Q,130,0.4690943130490961,4
75H,50,0.47080669324290925,4
35F,175,0.4725537224450652,4
34P,137,0.4725624763350797,4
55C,169,0.4727894412276609,4
35S,178,0.4779227049249888,4
55F,153,0.4787100691277987,4
35J,174,0.4874337552476473,4
55D,165,0.4877638310819261,4
55A,156,0.4878289927981848,4
45DH,84,0.4964316763789881,4
35B,184,0.5038170418913932,4
55B,161,0.5088294397883061,4
55E,114,0.5238156459162218,4
45FM,140,0.525577117133394,4
35M,153,0.5451555828490338,4
35Y,179,0.5496261736635426,4
35E,167,0.5519396510356454,4
