grp,n_workers,score,quartile
24P,408,42.77088155980392,1
15H,389,44.66928066532134,1
55C,362,45.80013847790055,1
75SB,401,46.83064781845387,1
15P,392,47.105892300765305,1
35S,380,49.30418348539474,1
74P,390,49.910846853589746,1
75HS,402,50.04646768109453,1
55F,388,50.95649471907217,1
75SX,391,51.736266340153456,1
33H,694,51.86247830399136,1
75D,365,53.751589147945204,1
45B,371,53.960646870080865,1
53A,681,54.87395002651982,1
35P,368,55.438613182065225,1
75O,418,55.479975583253584,1
84P,420,55.80476156666666,1
15S,362,56.117707127071824,1
73B,727,56.953039943576336,1
45G,361,57.25609484542936,1
75SP,364,57.57436805494506,1
75P,377,57.584191756498676,2
63Z,674,58.16902058427299,2
45X,416,58.304711395913465,2
15F,372,58.531155944086024,2
02Z,408,58.661249877941174,2
83H,404,59.050519962871284,2
03A,682,59.52354827214076,2
03N,727,59.57055005342504,2
55K,367,59.84305077765668,2
55Q,390,61.37792312974359,2
23E,713,61.7868444082188,2
75SA,371,62.07504082210242,2
75F,376,62.259813138829784,2
25H,376,62.29992127393617,2
35Y,378,62.526587386243385,2
53R,686,62.65317737051021,2
55B,374,62.753983946524066,2
73O,714,62.99119049084034,2
55T,425,63.04771782117648,3
55G,383,63.15793707937337,3
75R,358,63.42991631564246,3
83T,702,63.61669488803419,3
35J,349,63.96704828031519,3
35V,663,63.98781192740573,3
93Z,679,64.39204674288659,3
85P,345,64.58892764057971,3
13Z,659,64.76874090176025,3
34P,396,64.97926826767677,3
75Y,404,65.4898024740099,3
75A,359,66.89303631197771,3
25M,353,67.54696885779038,3
75B,387,67.75731212661499,3
55L,393,67.95379072676845,3
45DH,387,68.03542640335917,3
75X,384,68.07885375260416,3
65J,364,68.11206021648351,3
75SD,352,69.58167690340909,3
01Z,406,69.84288087413793,3
53I,688,69.87438962953487,3
35E,379,70.44416777572559,4
15B,413,70.63808723728813,4
44P,397,71.19813495692695,4
54P,408,72.38642130392157,4
83X,700,72.41960007038571,4
75V,364,72.73917514807692,4
75N,380,72.75986789684211,4
35B,351,73.20319189173789,4
33E,694,73.43275291533142,4
75T,673,73.53949486514117,4
83R,655,73.66987743732824,4
55H,361,73.97595565927978,4
43Z,629,76.21214607515104,4
64P,386,79.81080403626943,4
65S,381,80.11860931023622,4
55I,376,80.87960307167553,4
95Z,389,81.70277590848329,4
45DL,402,82.70089676701492,4
15V,409,84.47814073838632,4
35F,362,85.31381207734806,4
