grp,n_workers,score,quartile
53E,14800,40.347064539391894,1
73O,29825,43.1240568596446,1
23E,45032,45.31337986234233,1
33H,29687,46.42840238267188,1
13Z,14979,46.74488586915014,1
83X,29880,50.16735565740294,2
43Z,14964,52.29038455332799,2
75O,14858,75.03423853721901,2
55I,15096,75.29150889504506,2
65J,14790,75.47389208938472,2
25M,15004,75.59143619246201,2
74P,14946,75.92972498869263,2
55Q,29793,76.48161480654517,2
55K,15016,76.78390719358684,2
45X,29806,77.32289997183453,3
35M,14902,77.34876285010736,3
25K,29708,78.20157269374579,3
34P,14830,78.21147847498314,3
25T,15136,78.33797263966702,3
55C,30013,78.61485692277013,3
35E,45037,78.78882544555188,4
55E,29843,78.82090168427438,4
44P,14967,78.94615385528162,4
35F,14844,79.03674365191324,4
35S,15081,79.34276179450966,4
25H,14979,79.51631910494692,4
55F,15031,80.19188866460648,4
45B,45195,80.27919266466402,4
