grp,n_workers,score,quartile
01Z,171,0.005847953216374269,1
75SP,166,0.006024096385542169,1
75HS,131,0.007633587786259542,1
75M,155,0.01935483870967742,1
75SB,189,0.021164021164021163,1
75N,164,0.024390243902439025,1
75SD,199,0.02512562814070352,1
75J,193,0.025906735751295335,1
75SA,185,0.02702702702702703,1
75B,179,0.027932960893854747,1
75D,176,0.028409090909090908,1
75Y,162,0.037037037037037035,1
75R,176,0.03977272727272727,1
75V,167,0.04790419161676647,1
75SX,192,0.057291666666666664,1
75L,183,0.060109289617486336,1
15B,195,0.07692307692307693,1
02Z,184,0.08152173913043478,1
75P,192,0.08333333333333333,1
45X,117,0.09401709401709402,1
75F,180,0.09444444444444444,1
85P,169,0.10059171597633136,1
65V,188,0.10106382978723404,1
74P,170,0.12352941176470589,1
85T,184,0.125,1
25T,194,0.13402061855670103,1
15F,189,0.15873015873015872,1
75O,167,0.17365269461077845,1
15V,193,0.20207253886010362,1
64P,186,0.20430107526881722,1
73O,854,0.20960187353629978,1
75T,808,0.21905940594059406,1
73T,759,0.22002635046113306,1
53F,838,0.22553699284009546,1
95Z,190,0.22631578947368422,1
83R,850,0.23058823529411765,2
73B,830,0.23373493975903614,2
63Z,782,0.2340153452685422,2
13Z,791,0.23514538558786346,2
53I,864,0.23958333333333334,2
53R,786,0.24045801526717558,2
83T,786,0.24173027989821882,2
53B,833,0.2424969987995198,2
93Z,839,0.24553039332538737,2
75H,178,0.24719101123595505,2
15S,157,0.2484076433121019,2
55T,197,0.24873096446700507,2
73X,751,0.25432756324900135,2
23X,819,0.2576312576312576,3
83X,787,0.2604828462515883,3
53E,802,0.26059850374064836,3
03A,858,0.26107226107226106,3
23E,789,0.2661596958174905,3
03N,808,0.2685643564356436,3
33H,769,0.270481144343303,3
75A,172,0.27325581395348836,3
84P,186,0.27419354838709675,3
33E,841,0.291319857312723,3
53A,739,0.2922868741542625,3
03T,827,0.29866989117291415,3
25K,179,0.3016759776536313,3
14P,179,0.3016759776536313,3
75X,182,0.3076923076923077,3
55Q,191,0.3089005235602094,4
83H,182,0.33516483516483514,4
43Z,775,0.33806451612903227,4
24P,173,0.3583815028901734,4
55H,178,0.3651685393258427,4
54P,168,0.39880952380952384,4
35V,862,0.4361948955916473,4
34P,178,0.43820224719101125,4
65J,189,0.4444444444444444,4
65S,192,0.46875,4
15H,203,0.4827586206896552,4
55I,151,0.4966887417218543,4
55K,176,0.5,4
44P,178,0.5280898876404494,4
25H,183,0.5300546448087432,4
35F,172,0.5348837209302325,4
55L,172,0.5465116279069767,4
15P,160,0.5625,4
55J,200,0.57,4
35Y,197,0.5786802030456852,4
35S,201,0.582089552238806,4
45B,189,0.5925925925925926,4
25M,160,0.6375,4
55C,170,0.6411764705882353,4
55F,167,0.6526946107784432,4
55D,197,0.6548223350253807,4
15G,195,0.676923076923077,4
55G,190,0.7105263157894737,4
35E,173,0.7167630057803468,4
45G,184,0.717391304347826,4
45K,164,0.7195121951219512,4
45DL,179,0.7206703910614525,4
45Q,183,0.7431693989071039,4
35M,176,0.7556818181818182,4
35J,167,0.7964071856287425,4
55B,183,0.7978142076502732,4
45DH,183,0.825136612021858,4
45FM,164,0.8292682926829268,4
55E,156,0.8333333333333334,4
55A,167,0.844311377245509,4
35P,176,0.8863636363636364,4
35B,192,0.9375,4
