grp,n_workers,score,quartile
01Z,467,25.60349041092077,1
75Y,510,29.75370539862745,1
02Z,498,32.53377527927711,1
85T,497,37.7065195416499,1
75V,508,38.46360070531496,1
45X,363,38.72027529669421,1
75SB,485,39.12680410103093,1
75SD,530,39.67064084339623,1
75N,441,39.75308371609977,1
75SP,499,41.34166335470942,1
75SA,537,41.458062785847304,1
75R,461,41.76132490889371,1
64P,524,42.827729336450375,1
75SX,519,43.59367959922929,1
65V,520,45.27925001384616,1
74P,511,46.415303442465756,1
75M,430,46.65983814418605,1
53F,2334,46.68481593480292,1
83T,2194,46.88157723652689,1
73O,2339,46.954253965117566,1
85P,505,47.068633232871285,1
75T,2211,47.07857990289462,1
75L,511,47.21181926477496,1
53R,2204,47.85770878398821,1
53B,2285,48.071658674052514,1
63Z,2155,48.26910919506729,1
73T,2103,48.52296277951022,1
95Z,526,48.65433482129278,1
83R,2221,48.83674484268798,1
53I,2341,49.06424197427595,1
75F,512,49.154980584765624,1
53E,2206,49.559823263893925,1
93Z,2274,49.70060259102463,1
73X,2083,49.96672117871339,1
23X,2267,50.36147794631672,1
73B,2183,50.69029337151626,1
83X,2202,50.74899652682107,1
23E,2197,51.02543937666818,1
03T,2218,51.06119963595131,1
55T,525,51.18339052304762,1
03A,2361,51.19279986542143,1
75O,449,51.364899676614705,2
33E,2276,51.408009876010546,2
75J,550,51.518581554545456,2
03N,2311,51.56681106793163,2
13Z,2156,52.22191576236085,2
75X,503,52.710755690854874,2
53A,2027,53.24773082665022,2
33H,2127,53.4206302022426,3
43Z,2076,53.51887303201349,3
75HS,355,53.88884587323943,3
75D,493,53.924341726166325,3
84P,551,55.92128897205082,3
14P,506,56.35092871343874,3
75P,539,57.05291320816327,3
55Q,490,57.38061224979592,3
25K,513,57.42826528479532,3
65S,518,58.05764500984556,4
24P,483,58.34735034782609,4
15V,484,59.16853173987603,4
75B,500,59.438980068000006,4
35V,2328,60.139184033573876,4
83H,509,61.38614957210216,4
25T,535,61.63110349158879,4
54P,474,61.70179371700422,4
15B,513,62.15871495925926,4
75A,495,62.69495006262626,4
15F,515,64.20634911417476,4
55K,502,66.8554782059761,4
44P,507,67.2821501096647,4
75H,474,67.52959924050633,4
34P,462,67.56883118872294,4
25H,510,67.79839285411765,4
15S,459,67.83339763180828,4
55H,488,68.14213054836065,4
65J,555,69.63481148828828,4
15G,535,69.7916434164486,4
55L,482,69.95892169771784,4
55I,435,70.58687384896552,4
35F,504,70.9944643952381,4
35Y,538,71.37273247211895,4
45B,478,71.63937237112971,4
15P,454,72.78308198017622,4
25M,453,73.51304697571744,4
35S,528,73.92231083276515,4
15H,540,74.25227692407407,4
35J,505,75.30481229584159,4
55J,535,75.85979480261683,4
45K,481,76.65367978794178,4
35E,503,76.69393655467198,4
35P,497,77.34639807444668,4
45G,476,77.7279828144958,4
35M,477,77.8521386870021,4
55C,478,78.23642212343096,4
55D,532,79.28391025845865,4
55G,496,79.82760119758065,4
45Q,522,80.10810383754789,4
55F,426,80.13600959107981,4
35B,554,80.64635698194945,4
45DL,534,81.05215402996255,4
45FM,447,85.33950846778522,4
55B,552,85.56048942952899,4
55A,453,86.24072640838851,4
55E,489,88.29713751124746,4
45DH,501,88.58698662954093,4
