grp,n_workers,score,quartile
01Z,171,25.64754391111111,1
75Y,162,31.74555520123457,1
02Z,184,32.117608956413044,1
75V,167,37.48933967125748,1
45X,117,37.606324517948714,1
85P,169,37.72615298224852,1
75SB,189,38.86666662433863,1
85T,184,39.27679419608695,1
75N,164,40.43109732317073,1
75SD,199,40.59296422110553,1
75SP,166,40.871024162650606,1
75SA,185,40.87340501621622,1
75R,176,42.08613807386364,1
74P,170,43.01564712764706,1
75SX,192,44.33572860416667,1
65V,188,44.873670203191494,1
75L,183,46.31633806065574,1
75M,155,46.70612998064516,1
73O,854,46.786135810772834,1
64P,186,46.93225836774194,1
53F,838,47.52745845605012,1
75T,808,47.672203069554456,1
75F,180,47.71183345666666,1
83T,786,47.91358803017812,1
53R,786,47.958587851666664,1
95Z,190,48.01510549684211,1
63Z,782,48.27493623421995,1
53I,864,48.62048635934028,2
73T,759,48.67351808426877,2
83R,850,48.89875306056471,2
93Z,839,48.9263052188677,2
53B,833,49.524489909063625,2
73X,751,50.58300952045273,2
73B,830,50.784012302144575,2
03T,827,51.378138189915354,2
83X,787,51.37936480205845,2
55T,197,51.39832486944162,2
53E,802,51.43233177812968,2
23X,819,51.436630299755805,3
33E,841,51.83469699667063,3
23E,789,51.848048309607094,3
75O,167,52.154850255089826,3
03N,808,52.467958128056935,3
33H,769,52.479805102691806,3
75J,193,52.544352067357515,3
13Z,791,52.64222519579014,3
03A,858,52.89847346212121,3
75HS,131,53.239313740458016,3
75D,176,53.416762340909095,3
53A,739,53.5971991312314,3
84P,186,54.05623703225806,3
75X,182,55.411373756593406,3
43Z,775,55.49254212565162,3
25K,179,55.63592188156425,3
75P,192,56.96473997395833,3
55Q,191,57.28235584502618,3
83H,182,57.58637366153847,3
14P,179,57.88620104189944,3
15V,193,58.379066130569946,3
75B,179,58.6562011452514,4
24P,173,58.80358407225433,4
35V,862,59.85320200893271,4
65S,192,60.8392188859375,4
15B,195,62.651437251282054,4
25T,194,62.76165022164948,4
15F,189,63.08238065820106,4
54P,168,63.34934537976191,4
34P,178,63.67657327303371,4
75A,172,64.12203550581395,4
75H,178,66.12140449438202,4
15S,157,66.55318347770701,4
65J,189,67.71751383121693,4
44P,178,68.2423034247191,4
25H,183,68.85650324153005,4
55H,178,69.04702180898877,4
35F,172,70.35488379186047,4
55I,151,70.54788103973509,4
15G,195,71.01779338666667,4
55K,176,71.17590913068182,4
25M,160,71.755500641875,4
15P,160,71.96706099375,4
45B,189,72.35015866984128,4
35Y,197,72.37883239238579,4
15H,203,73.08492524630542,4
55L,172,73.54703548488372,4
35S,201,75.11905508258707,4
55J,200,76.0865003805,4
35J,167,76.70646749341319,4
35M,176,78.47017081363636,4
35P,176,78.48681785795453,4
45G,184,78.92141277717391,4
55F,167,78.92149736526946,4
35E,173,79.37867074855492,4
45Q,183,79.59442664371585,4
55D,197,79.86000055837565,4
45K,164,80.26506098780487,4
55C,170,80.28299927647059,4
55G,190,80.76900064736843,4
35B,192,81.35562825520833,4
45DL,179,81.83653663687151,4
55A,167,85.94933923952095,4
45FM,164,86.14695189634146,4
55B,183,86.18847030601093,4
45DH,183,86.65240483606559,4
55E,156,88.48621839102564,4
