grp,n_workers,score,quartile
15H,389,0.12082262210796915,1
25H,376,0.1622340425531915,1
75SB,401,0.16708229426433915,1
55F,388,0.19072164948453607,1
75D,365,0.2054794520547945,1
35S,380,0.21842105263157896,1
55C,362,0.24033149171270718,1
15P,392,0.26785714285714285,1
75SX,391,0.27877237851662406,1
24P,408,0.29411764705882354,1
33H,694,0.2968299711815562,1
75O,418,0.29904306220095694,1
63Z,674,0.30415430267062316,1
84P,420,0.31666666666666665,1
83H,404,0.3193069306930693,1
45B,371,0.32345013477088946,1
35Y,378,0.3306878306878307,1
35J,349,0.335243553008596,1
15S,362,0.34806629834254144,1
02Z,408,0.3553921568627451,1
74P,390,0.3564102564102564,1
75HS,402,0.3656716417910448,2
75SP,364,0.36813186813186816,2
15F,372,0.3870967741935484,2
03A,682,0.39002932551319647,2
73B,727,0.3920220082530949,2
35P,368,0.4157608695652174,2
75A,359,0.4178272980501393,2
03N,727,0.4195323246217332,2
45G,361,0.4265927977839335,2
23E,713,0.4277699859747546,2
55T,425,0.43529411764705883,2
53A,681,0.44640234948604995,2
75P,377,0.4535809018567639,2
53R,686,0.45626822157434405,2
75SA,371,0.46630727762803237,2
15B,413,0.46731234866828086,2
55B,374,0.47593582887700536,2
55Q,390,0.4897435897435897,2
73O,714,0.4943977591036415,3
35V,663,0.4962292609351433,3
83T,702,0.5156695156695157,3
75R,358,0.5167597765363129,3
35E,379,0.5171503957783641,3
54P,408,0.5220588235294118,3
75F,376,0.526595744680851,3
45X,416,0.53125,3
55K,367,0.5340599455040872,3
85P,345,0.5391304347826087,3
93Z,679,0.5493372606774669,3
13Z,659,0.5553869499241275,3
75SD,352,0.5568181818181818,3
75B,387,0.5633074935400517,3
75X,384,0.5703125,3
34P,396,0.5757575757575758,3
75T,673,0.5854383358098069,3
55G,383,0.5953002610966057,3
75Y,404,0.6188118811881188,3
55H,361,0.6260387811634349,3
65J,364,0.6263736263736264,3
53I,688,0.6337209302325582,4
45DH,387,0.6511627906976745,4
83X,700,0.6542857142857142,4
75N,380,0.6578947368421053,4
83R,655,0.6580152671755726,4
55L,393,0.6692111959287532,4
35B,351,0.6723646723646723,4
33E,694,0.6930835734870316,4
44P,397,0.7002518891687658,4
25M,353,0.7082152974504249,4
75V,364,0.7554945054945055,4
43Z,629,0.7567567567567568,4
64P,386,0.7590673575129534,4
01Z,406,0.7635467980295566,4
65S,381,0.7900262467191601,4
45DL,402,0.8059701492537313,4
95Z,389,0.8251928020565553,4
55I,376,0.9202127659574468,4
15V,409,0.9339853300733496,4
35F,362,0.9447513812154696,4
