ssyk4,year_month,n_ads
2131,2026-03,46
2221,2026-03,2765
1310,2026-03,52
2330,2026-03,595
5330,2026-03,232
3114,2026-03,594
2413,2026-03,53
2622,2026-03,162
2423,2026-03,391
4119,2026-03,538
3322,2026-03,1673
5242,2026-03,429
4323,2026-03,148
8332,2026-03,841
7131,2026-03,59
4222,2026-03,616
2412,2026-03,273
7233,2026-03,325
2228,2026-03,125
2516,2026-03,149
2224,2026-03,216
2235,2026-03,76
2239,2026-03,37
2232,2026-03,78
2223,2026-03,105
2231,2026-03,172
5321,2026-03,1151
2512,2026-03,1415
5223,2026-03,1162
3113,2026-03,426
4225,2026-03,236
5413,2026-03,117
2313,2026-03,161
5323,2026-03,406
3324,2026-03,91
5224,2026-03,14
9412,2026-03,785
2663,2026-03,90
7223,2026-03,521
3121,2026-03,121
5222,2026-03,773
3511,2026-03,260
1120,2026-03,102
5221,2026-03,95
2422,2026-03,611
2351,2026-03,437
1590,2026-03,91
5343,2026-03,2234
3359,2026-03,178
3431,2026-03,28
2341,2026-03,2133
2320,2026-03,267
4117,2026-03,146
2273,2026-03,311
4111,2026-03,226
3449,2026-03,104
5342,2026-03,617
2359,2026-03,140
2141,2026-03,143
3411,2026-03,529
2342,2026-03,433
0310,2026-03,63
3333,2026-03,335
7212,2026-02,217
1410,2026-03,232
5242,2026-02,594
5226,2026-03,33
8344,2026-03,302
7212,2026-03,254
2421,2026-03,436
3354,2026-03,192
2432,2026-03,199
7231,2026-03,718
5144,2026-03,21
7612,2026-03,55
2614,2026-03,54
5131,2026-03,414
2211,2026-03,651
5120,2026-03,678
2226,2026-03,132
8211,2026-03,69
3512,2026-03,201
1320,2026-03,73
1230,2026-03,262
4114,2026-03,89
4113,2026-03,71
5312,2026-03,215
5419,2026-03,50
2661,2026-03,670
5152,2026-03,378
1510,2026-03,230
2343,2026-03,276
7111,2026-03,261
7413,2026-03,52
2662,2026-03,175
8214,2026-03,46
7112,2026-03,49
9119,2026-03,337
2222,2026-03,153
4322,2026-03,948
8131,2026-03,32
2134,2026-03,24
2182,2026-03,51
2511,2026-03,356
2352,2026-03,68
1250,2026-03,173
3323,2026-01,296
3514,2026-03,90
3451,2026-03,85
2143,2026-03,300
2233,2026-03,80
2519,2026-03,121
8321,2026-01,190
2219,2026-03,261
7411,2026-03,221
2514,2026-03,208
2415,2026-03,9
5141,2026-03,82
3313,2026-03,309
5330,2026-02,254
3513,2026-03,156
3335,2026-03,100
7420,2026-03,152
1730,2026-03,164
3433,2026-03,26
2314,2026-03,199
1730,2026-02,138
7231,2026-02,657
2241,2026-03,254
2282,2026-03,40
7223,2026-01,420
2145,2026-03,41
1290,2026-03,116
7132,2026-03,82
1360,2026-03,122
3112,2026-03,485
4112,2026-03,244
3339,2026-03,261
7113,2026-03,164
8344,2026-02,342
2272,2026-03,270
1530,2026-03,98
5343,2026-02,2171
1740,2026-03,20
3323,2026-03,342
9111,2026-03,878
2142,2026-03,154
2225,2026-03,124
7114,2026-03,228
2312,2026-03,94
3439,2026-03,14
2615,2026-03,67
8212,2026-03,207
3441,2026-03,40
2319,2026-03,59
3314,2026-03,42
3115,2026-03,75
3111,2026-03,95
7121,2026-03,39
7311,2026-03,46
2183,2026-03,98
2260,2026-03,123
8191,2026-03,91
1370,2026-03,149
3321,2026-02,35
2122,2026-03,36
2113,2026-03,55
4224,2026-03,198
2146,2026-03,26
3423,2026-03,123
2135,2026-03,25
3411,2026-01,419
2144,2026-03,321
5321,2026-01,1165
5412,2026-03,56
3355,2026-03,64
8163,2026-03,20
8350,2026-03,8
4410,2026-03,28
3213,2026-01,105
3331,2026-03,48
2284,2026-03,53
9332,2026-03,69
9310,2026-03,90
3250,2026-03,106
6112,2026-03,72
2281,2026-03,96
2227,2026-03,110
5241,2026-03,292
2419,2026-03,35
3352,2026-03,19
3422,2026-03,128
1520,2026-03,131
5132,2026-03,99
9412,2026-01,663
2212,2026-02,116
7125,2026-03,158
2221,2026-02,3291
8329,2026-03,170
2431,2026-03,209
8162,2026-03,31
8151,2026-03,22
6113,2026-03,196
5349,2026-03,11
7412,2026-03,148
1340,2026-03,12
2211,2026-01,436
1330,2026-03,34
3521,2026-03,22
4420,2026-03,127
7322,2026-03,16
6210,2026-03,53
0110,2026-03,44
8193,2026-03,22
1210,2026-03,104
5414,2026-03,16
5342,2026-01,460
5330,2026-01,226
9622,2026-03,58
5311,2026-02,249
8114,2026-03,25
5151,2026-03,44
9411,2026-03,127
7134,2026-03,70
5223,2026-02,1068
8213,2026-03,441
1720,2026-03,127
7215,2026-03,12
5311,2026-03,200
5350,2026-03,179
1710,2026-03,10
5225,2026-03,72
2411,2026-03,36
9610,2026-03,114
2149,2026-03,104
3212,2026-03,63
1250,2026-02,216
2311,2026-03,4
2652,2026-03,18
2234,2026-03,10
1420,2026-03,16
5113,2026-03,28
3343,2026-03,21
5411,2026-03,30
7116,2026-03,16
2515,2026-03,192
7611,2026-03,13
8181,2026-03,11
3312,2026-03,43
9621,2026-03,34
3422,2026-02,137
5342,2026-02,630
2111,2026-03,34
2272,2026-02,286
9120,2026-03,120
8342,2026-03,141
4211,2026-03,44
8129,2026-03,53
5152,2026-02,473
6121,2026-03,43
7222,2026-03,20
3449,2026-01,126
8192,2026-03,27
2623,2026-03,23
8341,2026-03,20
2314,2026-02,185
1350,2026-03,35
2228,2026-02,133
8331,2026-03,68
1290,2026-02,171
