ssyk4,year_month,n_ads,n_vacancies
2131,2026-03,46,46
2221,2026-03,2765,4528
1310,2026-03,52,52
2330,2026-03,595,728
5330,2026-03,232,3562
3114,2026-03,594,713
2413,2026-03,53,57
2622,2026-03,162,186
2423,2026-03,391,442
4119,2026-03,538,790
3322,2026-03,1673,2269
5242,2026-03,429,1044
4323,2026-03,148,216
8332,2026-03,841,1972
7131,2026-03,59,125
4222,2026-03,616,1261
2412,2026-03,273,285
7233,2026-03,325,413
2228,2026-03,125,160
2516,2026-03,149,160
2224,2026-03,216,235
2235,2026-03,76,78
2239,2026-03,37,39
2232,2026-03,78,97
2223,2026-03,105,133
2231,2026-03,172,218
5321,2026-03,1151,7508
2512,2026-03,1415,1569
5223,2026-03,1162,1614
3113,2026-03,426,517
4225,2026-03,236,272
5413,2026-03,117,648
2313,2026-03,161,218
5323,2026-03,406,2351
3324,2026-03,91,92
5224,2026-03,14,14
9412,2026-03,785,2187
2663,2026-03,90,115
7223,2026-03,521,798
3121,2026-03,121,210
5222,2026-03,773,1194
3511,2026-03,260,315
1120,2026-03,102,106
5221,2026-03,95,97
2422,2026-03,611,805
2351,2026-03,437,496
1590,2026-03,91,99
5343,2026-03,2234,3763
3359,2026-03,178,286
3431,2026-03,28,31
2341,2026-03,2133,2770
2320,2026-03,267,296
4117,2026-03,146,256
2273,2026-03,311,382
4111,2026-03,226,247
3449,2026-03,104,168
5342,2026-03,617,1913
2359,2026-03,140,171
2141,2026-03,143,161
3411,2026-03,529,1581
2342,2026-03,433,650
0310,2026-03,63,210
3333,2026-03,335,420
7212,2026-02,217,351
1410,2026-03,232,235
5242,2026-02,594,1717
5226,2026-03,33,38
8344,2026-03,302,742
7212,2026-03,254,465
2421,2026-03,436,467
3354,2026-03,192,214
2432,2026-03,199,217
7231,2026-03,718,843
5144,2026-03,21,23
7612,2026-03,55,63
2614,2026-03,54,55
5131,2026-03,414,835
2211,2026-03,651,1018
5120,2026-03,678,1145
2226,2026-03,132,219
8211,2026-03,69,173
3512,2026-03,201,258
1320,2026-03,73,75
1230,2026-03,262,265
4114,2026-03,89,90
4113,2026-03,71,112
5312,2026-03,215,565
5419,2026-03,50,212
2661,2026-03,670,923
5152,2026-03,378,529
1510,2026-03,230,262
2343,2026-03,276,500
7111,2026-03,261,560
7413,2026-03,52,62
2662,2026-03,175,187
8214,2026-03,46,151
7112,2026-03,49,99
9119,2026-03,337,385
2222,2026-03,153,174
4322,2026-03,948,2651
8131,2026-03,32,84
2134,2026-03,24,27
2182,2026-03,51,57
2511,2026-03,356,412
2352,2026-03,68,68
1250,2026-03,173,184
3323,2026-01,296,342
3514,2026-03,90,96
3451,2026-03,85,113
2143,2026-03,300,342
2233,2026-03,80,92
2519,2026-03,121,130
8321,2026-01,190,522
2219,2026-03,261,341
7411,2026-03,221,371
2514,2026-03,208,231
2415,2026-03,9,9
5141,2026-03,82,110
3313,2026-03,309,336
5330,2026-02,254,4172
3513,2026-03,156,194
3335,2026-03,100,102
7420,2026-03,152,208
1730,2026-03,164,165
3433,2026-03,26,29
2314,2026-03,199,223
1730,2026-02,138,139
7231,2026-02,657,755
2241,2026-03,254,464
2282,2026-03,40,42
7223,2026-01,420,627
2145,2026-03,41,42
1290,2026-03,116,118
7132,2026-03,82,130
1360,2026-03,122,133
3112,2026-03,485,530
4112,2026-03,244,271
3339,2026-03,261,273
7113,2026-03,164,409
8344,2026-02,342,843
2272,2026-03,270,322
1530,2026-03,98,118
5343,2026-02,2171,3844
1740,2026-03,20,22
3323,2026-03,342,361
9111,2026-03,878,1860
2142,2026-03,154,176
2225,2026-03,124,144
7114,2026-03,228,548
2312,2026-03,94,102
3439,2026-03,14,34
2615,2026-03,67,108
8212,2026-03,207,376
3441,2026-03,40,43
2319,2026-03,59,205
3314,2026-03,42,45
3115,2026-03,75,121
3111,2026-03,95,103
7121,2026-03,39,69
7311,2026-03,46,52
2183,2026-03,98,110
2260,2026-03,123,162
8191,2026-03,91,121
1370,2026-03,149,151
3321,2026-02,35,59
2122,2026-03,36,44
2113,2026-03,55,64
4224,2026-03,198,360
2146,2026-03,26,31
3423,2026-03,123,265
2135,2026-03,25,31
3411,2026-01,419,1345
2144,2026-03,321,369
5321,2026-01,1165,10344
5412,2026-03,56,496
3355,2026-03,64,77
8163,2026-03,20,61
8350,2026-03,8,20
4410,2026-03,28,57
3213,2026-01,105,123
3331,2026-03,48,48
2284,2026-03,53,53
9332,2026-03,69,179
9310,2026-03,90,217
3250,2026-03,106,129
6112,2026-03,72,143
2281,2026-03,96,125
2227,2026-03,110,169
5241,2026-03,292,693
2419,2026-03,35,35
3352,2026-03,19,53
3422,2026-03,128,181
1520,2026-03,131,141
5132,2026-03,99,158
9412,2026-01,663,2364
2212,2026-02,116,133
7125,2026-03,158,241
2221,2026-02,3291,5798
8329,2026-03,170,1074
2431,2026-03,209,232
8162,2026-03,31,94
8151,2026-03,22,219
6113,2026-03,196,519
5349,2026-03,11,12
7412,2026-03,148,185
1340,2026-03,12,14
2211,2026-01,436,541
1330,2026-03,34,35
3521,2026-03,22,22
4420,2026-03,127,694
7322,2026-03,16,32
6210,2026-03,53,267
0110,2026-03,44,70
8193,2026-03,22,41
1210,2026-03,104,104
5414,2026-03,16,43
5342,2026-01,460,2278
5330,2026-01,226,5056
9622,2026-03,58,96
5311,2026-02,249,873
8114,2026-03,25,40
5151,2026-03,44,45
9411,2026-03,127,204
7134,2026-03,70,138
5223,2026-02,1068,2066
8213,2026-03,441,885
1720,2026-03,127,154
7215,2026-03,12,29
5311,2026-03,200,764
5350,2026-03,179,218
1710,2026-03,10,10
5225,2026-03,72,80
2411,2026-03,36,39
9610,2026-03,114,277
2149,2026-03,104,106
3212,2026-03,63,75
1250,2026-02,216,271
2311,2026-03,4,4
2652,2026-03,18,18
2234,2026-03,10,12
1420,2026-03,16,19
5113,2026-03,28,165
3343,2026-03,21,21
5411,2026-03,30,109
7116,2026-03,16,42
2515,2026-03,192,208
7611,2026-03,13,57
8181,2026-03,11,74
3312,2026-03,43,43
9621,2026-03,34,258
3422,2026-02,137,236
5342,2026-02,630,1998
2111,2026-03,34,36
2272,2026-02,286,353
9120,2026-03,120,157
8342,2026-03,141,204
4211,2026-03,44,136
8129,2026-03,53,133
5152,2026-02,473,1190
6121,2026-03,43,60
7222,2026-03,20,20
3449,2026-01,126,413
8192,2026-03,27,85
2623,2026-03,23,26
8341,2026-03,20,26
2314,2026-02,185,213
1350,2026-03,35,35
2228,2026-02,133,196
8331,2026-03,68,281
1290,2026-02,171,172
8141,2026-03,7,9
9520,2026-03,30,236
8343,2026-03,7,12
3515,2026-03,17,17
5227,2026-03,35,35
7214,2026-03,60,62
2121,2026-03,9,10
3332,2026-03,9,9
6122,2026-03,15,18
3116,2026-03,52,60
4115,2026-03,46,49
1240,2026-03,18,18
8132,2026-03,7,19
2242,2026-03,11,15
7119,2026-03,29,75
9413,2026-03,44,74
3424,2026-03,20,27
3321,2026-03,30,39
3323,2026-02,351,390
2612,2026-03,18,31
2421,2026-02,425,493
2622,2026-02,151,161
5120,2026-02,660,1151
1113,2026-03,20,20
2642,2026-03,31,36
2172,2026-03,20,54
5230,2026-03,46,83
2212,2026-03,108,141
3432,2026-03,22,22
3322,2026-02,1669,3224
3113,2026-02,456,602
7233,2026-02,349,506
1120,2026-02,81,81
2224,2026-01,130,142
2271,2026-03,14,18
4321,2026-03,36,45
5341,2026-03,26,160
8161,2026-03,17,52
3119,2026-03,76,110
3213,2026-03,115,141
3111,2026-02,99,105
4212,2026-03,8,8
8173,2026-03,24,41
5113,2026-02,54,139
7522,2026-03,17,24
9411,2026-02,111,162
7523,2026-03,22,28
2619,2026-03,42,50
2181,2026-03,38,42
2611,2026-03,7,11
5149,2026-03,43,60
2250,2026-03,44,53
6129,2026-03,18,26
5341,2026-04,29,35
3214,2026-04,10,11
8321,2026-03,156,447
3113,2026-01,279,326
5131,2026-02,422,875
8191,2026-01,72,107
8111,2026-03,10,17
7213,2026-03,16,24
2654,2026-03,20,23
5143,2026-03,37,89
3511,2026-02,189,219
2228,2026-04,116,149
2272,2026-04,200,235
5330,2026-04,159,1699
5321,2026-04,851,4886
2221,2026-04,2111,3157
2241,2026-04,212,226
2342,2026-04,411,510
2351,2026-04,353,381
2224,2026-04,145,154
2311,2026-04,11,11
4117,2026-04,116,120
2273,2026-04,221,261
5120,2026-04,579,895
8191,2026-04,39,48
2260,2026-04,83,86
1510,2026-04,179,188
2212,2026-04,84,114
2211,2026-04,411,572
5149,2026-02,41,54
5312,2026-04,231,393
2314,2026-04,179,188
0210,2026-04,12,14
2421,2026-04,341,368
2512,2026-04,1003,1188
5342,2026-04,389,840
4322,2026-04,702,1912
5230,2026-04,50,84
2352,2026-04,81,86
8329,2026-04,126,255
5152,2026-04,270,323
2511,2026-04,337,429
9120,2026-04,98,170
2219,2026-04,173,216
3423,2026-04,69,190
2661,2026-04,543,746
2341,2026-04,1787,2055
8332,2026-04,823,1754
1590,2026-04,109,120
1530,2026-04,86,104
2516,2026-04,96,105
2235,2026-04,56,61
5223,2026-04,844,1052
5411,2026-04,25,64
1520,2026-04,122,131
2283,2026-04,26,28
5222,2026-04,524,700
2623,2026-04,26,27
2134,2026-04,27,27
2615,2026-04,66,82
2330,2026-04,562,675
3313,2026-04,228,234
4111,2026-04,155,157
2613,2026-04,6,6
2422,2026-04,540,653
1230,2026-04,236,240
9412,2026-04,573,1204
2412,2026-04,217,222
2515,2026-04,169,174
5141,2026-04,55,85
6130,2026-04,3,3
9111,2026-02,853,2696
5141,2026-02,67,98
3342,2026-03,15,28
2281,2026-02,137,165
9412,2026-02,762,2762
8121,2026-03,17,34
1530,2026-02,112,153
3213,2026-02,152,175
9629,2026-03,33,99
3122,2026-03,34,41
2133,2026-03,34,34
