ssyk4,year_month,n_ads
0110,2020-01,42
0110,2020-02,45
0110,2020-03,54
0110,2020-04,44
0110,2020-05,28
0110,2020-06,29
0110,2020-07,4
0110,2020-08,8
0110,2020-09,24
0110,2020-10,28
0110,2020-11,24
0110,2020-12,48
0110,2021-01,24
0110,2021-02,35
0110,2021-03,37
0110,2021-04,29
0110,2021-05,26
0110,2021-06,46
0110,2021-07,52
0110,2021-08,20
0110,2021-09,31
0110,2021-10,47
0110,2021-11,22
0110,2021-12,60
0110,2022-01,33
0110,2022-02,22
0110,2022-03,48
0110,2022-04,44
0110,2022-05,34
0110,2022-06,33
0110,2022-07,12
0110,2022-08,30
0110,2022-09,33
0110,2022-10,42
0110,2022-11,20
0110,2022-12,41
0110,2023-01,26
0110,2023-02,35
0110,2023-03,58
0110,2023-04,39
0110,2023-05,49
0110,2023-06,55
0110,2023-07,22
0110,2023-08,19
0110,2023-09,37
0110,2023-10,47
0110,2023-11,31
0110,2023-12,62
0110,2024-01,20
0110,2024-02,31
0110,2024-03,42
0110,2024-04,37
0110,2024-05,37
0110,2024-06,35
0110,2024-07,23
0110,2024-08,21
0110,2024-09,38
0110,2024-10,53
0110,2024-11,59
0110,2024-12,71
0110,2025-01,42
0110,2025-02,38
0110,2025-03,55
0110,2025-04,42
0110,2025-05,37
0110,2025-06,41
0110,2025-07,20
0110,2025-08,18
0110,2025-09,38
0110,2025-10,35
0110,2025-11,49
0110,2025-12,79
0210,2020-01,16
0210,2020-02,11
0210,2020-03,22
0210,2020-04,11
0210,2020-05,16
0210,2020-06,19
0210,2020-07,11
0210,2020-08,3
0210,2020-09,16
0210,2020-10,15
0210,2020-11,12
0210,2020-12,19
0210,2021-01,7
0210,2021-02,17
0210,2021-03,22
0210,2021-04,8
0210,2021-05,15
0210,2021-06,17
0210,2021-07,23
0210,2021-08,14
0210,2021-09,11
0210,2021-10,14
0210,2021-11,21
0210,2021-12,32
0210,2022-01,14
0210,2022-02,12
0210,2022-03,34
0210,2022-04,26
0210,2022-05,29
0210,2022-06,30
0210,2022-07,23
0210,2022-08,20
0210,2022-09,33
0210,2022-10,41
0210,2022-11,20
0210,2022-12,39
0210,2023-01,22
0210,2023-02,23
0210,2023-03,35
0210,2023-04,22
0210,2023-05,42
0210,2023-06,28
0210,2023-07,13
0210,2023-08,22
0210,2023-09,29
0210,2023-10,34
0210,2023-11,31
0210,2023-12,38
0210,2024-01,11
0210,2024-02,23
0210,2024-03,51
0210,2024-04,27
0210,2024-05,25
0210,2024-06,22
0210,2024-07,3
0210,2024-08,18
0210,2024-09,43
0210,2024-10,38
0210,2024-11,28
0210,2024-12,53
0210,2025-01,47
0210,2025-02,30
0210,2025-03,53
0210,2025-04,31
0210,2025-05,25
0210,2025-06,33
0210,2025-07,12
0210,2025-08,21
0210,2025-09,47
0210,2025-10,39
0210,2025-11,31
0210,2025-12,44
0310,2020-01,20
0310,2020-02,20
0310,2020-03,31
0310,2020-04,14
0310,2020-05,5
0310,2020-06,7
0310,2020-07,4
0310,2020-08,4
0310,2020-09,3
0310,2020-10,14
0310,2020-11,8
0310,2020-12,11
0310,2021-01,3
0310,2021-02,11
0310,2021-03,23
0310,2021-04,26
0310,2021-05,16
0310,2021-06,16
0310,2021-07,5
0310,2021-08,3
0310,2021-09,12
0310,2021-10,12
0310,2021-11,5
0310,2021-12,25
0310,2022-01,8
0310,2022-02,25
0310,2022-03,33
0310,2022-04,22
0310,2022-05,22
0310,2022-06,36
0310,2022-07,7
0310,2022-08,22
0310,2022-09,33
0310,2022-10,19
0310,2022-11,34
0310,2022-12,34
0310,2023-01,22
0310,2023-02,47
0310,2023-03,42
0310,2023-04,23
0310,2023-05,38
0310,2023-06,22
0310,2023-07,13
0310,2023-08,20
0310,2023-09,24
0310,2023-10,30
0310,2023-11,21
0310,2023-12,39
0310,2024-01,16
0310,2024-02,31
0310,2024-03,30
0310,2024-04,32
0310,2024-05,40
0310,2024-06,23
0310,2024-07,9
0310,2024-08,6
0310,2024-09,23
0310,2024-10,21
0310,2024-11,25
0310,2024-12,37
0310,2025-01,19
0310,2025-02,47
0310,2025-03,53
0310,2025-04,65
0310,2025-05,40
0310,2025-06,30
0310,2025-07,9
0310,2025-08,18
0310,2025-09,41
0310,2025-10,32
0310,2025-11,34
0310,2025-12,44
1111,2020-03,1
1111,2021-02,1
1111,2021-05,1
1111,2021-07,1
1111,2021-11,1
1111,2021-12,2
1111,2022-01,1
1111,2022-04,1
1111,2022-05,2
1111,2022-06,2
1111,2022-07,2
1111,2022-08,5
1111,2022-09,11
1111,2022-10,1
1111,2022-11,1
1111,2023-01,2
1111,2023-02,2
1111,2023-04,2
1111,2023-05,1
1111,2023-11,2
1111,2024-01,1
1111,2024-07,1
1111,2024-09,1
1111,2025-01,1
1111,2025-09,1
1111,2025-12,2
1112,2020-01,7
1112,2020-02,20
1112,2020-03,10
1112,2020-04,7
1112,2020-05,6
1112,2020-06,5
1112,2020-07,1
1112,2020-08,9
1112,2020-09,7
1112,2020-10,8
1112,2020-11,8
1112,2020-12,10
1112,2021-01,2
1112,2021-02,5
1112,2021-03,13
1112,2021-04,10
1112,2021-05,11
1112,2021-06,4
1112,2021-07,1
1112,2021-08,7
1112,2021-09,11
1112,2021-10,8
1112,2021-11,5
1112,2021-12,6
1112,2022-01,4
1112,2022-02,9
1112,2022-03,15
1112,2022-04,19
1112,2022-05,41
1112,2022-06,6
1112,2022-07,7
1112,2022-08,11
1112,2022-09,18
1112,2022-10,14
1112,2022-11,12
1112,2022-12,17
1112,2023-01,8
1112,2023-02,13
1112,2023-03,18
1112,2023-04,14
1112,2023-05,20
1112,2023-06,9
1112,2023-07,6
1112,2023-08,8
1112,2023-09,19
1112,2023-10,13
1112,2023-11,15
1112,2023-12,7
1112,2024-01,6
1112,2024-02,21
1112,2024-03,17
1112,2024-04,5
1112,2024-05,25
1112,2024-06,14
1112,2024-07,5
1112,2024-08,10
1112,2024-09,16
1112,2024-10,9
1112,2024-11,15
1112,2024-12,14
1112,2025-01,9
1112,2025-02,20
1112,2025-03,9
1112,2025-04,12
1112,2025-05,10
1112,2025-06,12
1112,2025-07,7
1112,2025-08,4
1112,2025-09,15
1112,2025-10,13
1112,2025-11,7
1112,2025-12,14
1113,2020-01,26
1113,2020-02,39
1113,2020-03,24
1113,2020-04,32
1113,2020-05,18
1113,2020-06,14
1113,2020-07,15
1113,2020-08,21
1113,2020-09,30
1113,2020-10,23
1113,2020-11,18
1113,2020-12,15
1113,2021-01,25
1113,2021-02,29
1113,2021-03,34
1113,2021-04,16
1113,2021-05,20
1113,2021-06,22
1113,2021-07,14
1113,2021-08,18
1113,2021-09,20
1113,2021-10,28
1113,2021-11,19
1113,2021-12,26
1113,2022-01,22
1113,2022-02,32
1113,2022-03,34
1113,2022-04,17
1113,2022-05,23
1113,2022-06,26
1113,2022-07,12
1113,2022-08,19
1113,2022-09,16
1113,2022-10,30
1113,2022-11,27
1113,2022-12,30
1113,2023-01,22
1113,2023-02,19
1113,2023-03,25
1113,2023-04,29
1113,2023-05,19
1113,2023-06,23
1113,2023-07,19
1113,2023-08,16
1113,2023-09,16
1113,2023-10,17
1113,2023-11,17
1113,2023-12,15
1113,2024-01,19
1113,2024-02,26
1113,2024-03,27
1113,2024-04,24
1113,2024-05,22
1113,2024-06,21
1113,2024-07,18
1113,2024-08,17
1113,2024-09,21
1113,2024-10,49
1113,2024-11,38
1113,2024-12,34
1113,2025-01,36
1113,2025-02,27
1113,2025-03,28
1113,2025-04,25
1113,2025-05,23
1113,2025-06,23
1113,2025-07,14
1113,2025-08,30
1113,2025-09,28
1113,2025-10,35
1113,2025-11,23
1113,2025-12,22
1120,2020-01,79
1120,2020-02,65
1120,2020-03,89
1120,2020-04,76
1120,2020-05,67
1120,2020-06,44
1120,2020-07,48
1120,2020-08,50
1120,2020-09,76
1120,2020-10,64
1120,2020-11,67
1120,2020-12,74
1120,2021-01,69
1120,2021-02,87
1120,2021-03,92
1120,2021-04,119
1120,2021-05,87
1120,2021-06,87
1120,2021-07,66
1120,2021-08,83
1120,2021-09,126
1120,2021-10,114
1120,2021-11,105
1120,2021-12,131
1120,2022-01,94
1120,2022-02,117
1120,2022-03,124
1120,2022-04,112
1120,2022-05,100
1120,2022-06,125
1120,2022-07,84
1120,2022-08,101
1120,2022-09,112
1120,2022-10,95
1120,2022-11,97
1120,2022-12,96
1120,2023-01,103
1120,2023-02,82
1120,2023-03,113
1120,2023-04,93
1120,2023-05,91
1120,2023-06,76
1120,2023-07,74
1120,2023-08,69
1120,2023-09,89
1120,2023-10,79
1120,2023-11,103
1120,2023-12,102
1120,2024-01,81
1120,2024-02,98
1120,2024-03,99
1120,2024-04,112
1120,2024-05,147
1120,2024-06,113
1120,2024-07,76
1120,2024-08,67
1120,2024-09,98
1120,2024-10,104
1120,2024-11,104
1120,2024-12,93
1120,2025-01,103
1120,2025-02,104
1120,2025-03,101
1120,2025-04,90
1120,2025-05,82
1120,2025-06,113
1120,2025-07,61
1120,2025-08,61
1120,2025-09,92
1120,2025-10,92
1120,2025-11,76
1120,2025-12,84
1210,2020-01,156
1210,2020-02,172
1210,2020-03,163
1210,2020-04,111
1210,2020-05,96
1210,2020-06,85
1210,2020-07,64
1210,2020-08,84
1210,2020-09,120
1210,2020-10,129
