"period","coef","se","pvalue","n_obs","n_emp_total","converged","elapsed_s","status"
"2019H1",-0.0390945999473224,0.0135090485782942,0.00380420770225896,21340410,69055871,TRUE,85.2630789279938,"ok"
"2019H2",-0.042424461073212,0.0134115433993848,0.00156002447705248,21340410,69055871,TRUE,85.2630789279938,"ok"
"2020H1",-0.0222903860919734,0.00435286063457851,3.04146804707346e-07,21340410,69055871,TRUE,85.2630789279938,"ok"
"2020H2",-0.0189015347115929,0.00415952012048968,5.51541387704536e-06,21340410,69055871,TRUE,85.2630789279938,"ok"
"2021H1",-0.00702349803966728,0.00290581347966365,0.0156468444376672,21340410,69055871,TRUE,85.2630789279938,"ok"
"2021H2",-0.010427425882691,0.00276483303094432,0.000162302541132641,21340410,69055871,TRUE,85.2630789279938,"ok"
"2022H1",0,0,NA,21340410,69055871,TRUE,85.2630789279938,"reference"
"2022H2",-0.00522368915193043,0.00144705540894861,0.000306344591217778,21340410,69055871,TRUE,85.2630789279938,"ok"
"2023H1",0.00535694539800227,0.00296469516501999,0.0707758892691848,21340410,69055871,TRUE,85.2630789279938,"ok"
"2023H2",0.00174845586127339,0.0032845085406362,0.594494626301524,21340410,69055871,TRUE,85.2630789279938,"ok"
"2024H1",-0.00587219280836775,0.00371867586199038,0.114311163362071,21340410,69055871,TRUE,85.2630789279938,"ok"
"2024H2",-0.00537663789309221,0.00396220381275471,0.174787039097584,21340410,69055871,TRUE,85.2630789279938,"ok"
"2025H1",-0.0134917076584834,0.00494139937507617,0.00632687533215196,21340410,69055871,TRUE,85.2630789279938,"ok"
