age_group,term,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status
22-25,post_rb_x_high,-0.431323500236898,0.0120058655888588,1.19711817093272e-282,12568140,21721963,True,21.5582239627838,ok
22-25,post_gpt_x_high,-0.465325179915567,0.0129507491008073,1.02549950454551e-282,12568140,21721963,True,21.5582239627838,ok
26-30,post_rb_x_high,-0.150029952372768,0.0077546217722895,2.1536437226487398e-83,15705144,36326712,True,30.7434079647064,ok
26-30,post_gpt_x_high,-0.221741902360544,0.0073451139871399,3.29940025393928e-200,15705144,36326712,True,30.7434079647064,ok
31-34,post_rb_x_high,-0.0626455116748166,0.0064367867475,2.1931237611170398e-22,13582062,31670000,True,24.2702729701996,ok
31-34,post_gpt_x_high,-0.080860634412163,0.0054474136027135,7.624202522455409e-50,13582062,31670000,True,24.2702729701996,ok
35-40,post_rb_x_high,-0.04524390338819,0.0058226772281707,7.83052827250056e-15,15668640,44922324,True,29.7604370117188,ok
35-40,post_gpt_x_high,-0.0466539499417228,0.0049778269842948,7.09334675794087e-21,15668640,44922324,True,29.7604370117188,ok
41-49,post_rb_x_high,-0.009890010071966,0.0033546740056773,0.0031970413370743,18867654,67708013,True,37.1977219581604,ok
41-49,post_gpt_x_high,-0.0186994998005363,0.0028151099428754,3.08308529868578e-11,18867654,67708013,True,37.1977219581604,ok
50+,post_rb_x_high,0.0284958774244371,0.0022222178251546,1.21624048990946e-37,24076650,115893919,True,47.633898973465,ok
50+,post_gpt_x_high,0.0213579982247574,0.0034924685923381,9.62881245709245e-10,24076650,115893919,True,47.633898973465,ok
