year,exposure_quartile,sum_v1,size_v1,sum_v2,size_v2,demp,dcells,demp_pct
2019,1,9796087,1416286,12016282,2856997,2220195,1440711,22.664100471953752
2019,2,15522460,1580720,17785598,3111183,2263138,1530463,14.579763774556353
2019,3,10131491,1455137,10942645,2129237,811154,674100,8.006264823213089
2019,4,14468210,1961457,15461103,2686849,992893,725392,6.862583553874321
2020,1,9817713,1460384,12161797,2996062,2344084,1535678,23.876069711958376
2020,2,15544184,1634273,17920308,3259139,2376124,1624866,15.286257548160778
2020,3,10279607,1504936,11160411,2242144,880804,737208,8.568459864273022
2020,4,14908449,2051220,16017940,2882732,1109491,831512,7.442028342451988
2021,1,9923407,1481538,12325198,3057600,2401791,1576062,24.203290261096818
2021,2,15800319,1676461,18239578,3353654,2439259,1677193,15.438036409264901
2021,3,10405191,1532547,11314211,2293212,909020,760665,8.736216375076632
2021,4,15333663,2107477,16445321,2957754,1111658,850277,7.249787607827301
2022,1,10174644,1578446,12670142,3218922,2495498,1640476,24.52663700076386
2022,2,15987313,1810036,18491606,3541926,2504293,1731890,15.66425202283836
2022,3,10518966,1610130,11468982,2408065,950016,797935,9.03145803494374
2022,4,15769743,2221980,16883470,3094419,1113727,872439,7.06242961600579
2023,1,9836074,1475864,12273915,3060659,2437841,1584795,24.78469560111077
2023,2,15870954,1688181,18333000,3366010,2462046,1677829,15.512904895320093
2023,3,10471404,1550128,11414227,2320088,942823,769960,9.003787839720442
2023,4,15868339,2132156,17097821,3023564,1229482,891408,7.748019499709453
2024,1,9705231,1466065,12046975,3015583,2341744,1549518,24.128678647628274
2024,2,15817131,1697293,18219428,3355798,2402297,1658505,15.187944008303402
2024,3,10311663,1512481,11238210,2283496,926547,771015,8.985427471786073
2024,4,15671154,2083456,16811208,2958944,1140054,875488,7.2748567208260475
2025,1,4840371,732688,5950364,1478365,1109993,745677,22.931981866679227
2025,2,8009425,863747,9156336,1666401,1146911,802654,14.319517318658955
2025,3,5120457,744140,5566940,1118603,446483,374463,8.719592801970606
2025,4,7769262,1024032,8304211,1443011,534949,418979,6.885454500054188
