year_month,age_group,exposure_quartile,n_emp,share_of_coded
2019-01,22-25,1,93212,0.28476026089480194
2019-01,22-25,2,153669,0.4694548398429743
2019-01,22-25,3,35997,0.10996990850352086
2019-01,22-25,4,44457,0.13581499075870285
2019-01,26-30,1,126934,0.23226332960664875
2019-01,26-30,2,199974,0.3659116318303999
2019-01,26-30,3,84816,0.1551959803040755
2019-01,26-30,4,134785,0.24662905825887588
2019-01,31-34,1,88336,0.20694857678341338
2019-01,31-34,2,138604,0.32471359962516105
2019-01,31-34,3,77383,0.18128850884385617
2019-01,31-34,4,122527,0.2870493147475694
2019-01,35-40,1,117992,0.19180576236580815
2019-01,35-40,2,183440,0.298196903589937
2019-01,35-40,3,123467,0.2007058280393521
2019-01,35-40,4,190265,0.30929150600490274
2019-01,41-49,1,184514,0.18623011046796228
2019-01,41-49,2,277276,0.27985486255847636
2019-01,41-49,3,215232,0.21723380955504978
2019-01,41-49,4,313763,0.3166812174185116
2019-01,50+,1,383193,0.2183117448394992
2019-01,50+,2,521627,0.29718001248820686
2019-01,50+,3,373929,0.21303388223712097
2019-01,50+,4,476507,0.271474360435173
2019-02,22-25,1,90729,0.28381548818178404
2019-02,22-25,2,149814,0.46864325129193307
2019-02,22-25,3,35364,0.11062450731365507
2019-02,22-25,4,43769,0.13691675321262778
2019-02,26-30,1,125584,0.23160352392035216
2019-02,26-30,2,198155,0.36543983534874974
2019-02,26-30,3,84318,0.1555002701770628
2019-02,26-30,4,134180,0.24745637055383532
2019-02,31-34,1,87557,0.20591181893437688
2019-02,31-34,2,138197,0.3250042331426851
2019-02,31-34,3,77007,0.181100899307646
2019-02,31-34,4,122455,0.287983048615292
2019-02,35-40,1,117249,0.19114295495671738
2019-02,35-40,2,183103,0.2985001874765654
2019-02,35-40,3,122952,0.20044016237100798
2019-02,35-40,4,190106,0.30991669519570925
2019-02,41-49,1,183661,0.18614699309275373
2019-02,41-49,2,276532,0.28027507360803533
2019-02,41-49,3,213817,0.2167111777792418
2019-02,41-49,4,312635,0.3168667555199692
2019-02,50+,1,379611,0.218159969380331
2019-02,50+,2,516727,0.2969596415751659
2019-02,50+,3,370642,0.2130055434933778
2019-02,50+,4,473078,0.2718748455511253
2019-03,22-25,1,91069,0.28485857009249327
2019-03,22-25,2,149296,0.4669892617743565
2019-03,22-25,3,35639,0.11147673280179168
2019-03,22-25,4,43695,0.13667543533135856
2019-03,26-30,1,125892,0.23201065953082584
2019-03,26-30,2,197791,0.3645157782802845
2019-03,26-30,3,84605,0.1559214394052483
2019-03,26-30,4,134325,0.2475521227836414
2019-03,31-34,1,88218,0.2070028721067748
2019-03,31-34,2,138230,0.32435565316964204
2019-03,31-34,3,77125,0.18097323121398134
2019-03,31-34,4,122595,0.28766824350960185
2019-03,35-40,1,117927,0.1915503252686207
2019-03,35-40,2,183571,0.2981767089800128
2019-03,35-40,3,123351,0.20036059742221574
2019-03,35-40,4,190796,0.30991236832915076
2019-03,41-49,1,184739,0.1864927780851124
2019-03,41-49,2,277377,0.28001021607194054
2019-03,41-49,3,214810,0.21684925035029418
2019-03,41-49,4,313670,0.3166477554926529
2019-03,50+,1,380117,0.21748822349076732
2019-03,50+,2,518622,0.2967354194714489
