year,age_group,q_true,q_asof,n_emp
2023,22-25,0,0,380019
2023,22-25,0,1,12486
2023,22-25,0,2,15482
2023,22-25,0,3,4757
2023,22-25,0,4,3630
2023,22-25,1,0,95686
2023,22-25,1,1,884600
2023,22-25,1,2,112716
2023,22-25,1,3,17637
2023,22-25,1,4,12212
2023,22-25,2,0,125900
2023,22-25,2,1,136111
2023,22-25,2,2,1604334
2023,22-25,2,3,41566
2023,22-25,2,4,29024
2023,22-25,3,0,37967
2023,22-25,3,1,33758
2023,22-25,3,2,71626
2023,22-25,3,3,259582
2023,22-25,3,4,27068
2023,22-25,4,0,58849
2023,22-25,4,1,35983
2023,22-25,4,2,88236
2023,22-25,4,3,36217
2023,22-25,4,4,357463
2023,26-30,0,0,274215
2023,26-30,0,1,50926
2023,26-30,0,2,63527
2023,26-30,0,3,19085
2023,26-30,0,4,18202
2023,26-30,1,0,65262
2023,26-30,1,1,1196249
2023,26-30,1,2,102111
2023,26-30,1,3,17301
2023,26-30,1,4,12364
2023,26-30,2,0,76737
2023,26-30,2,1,129561
2023,26-30,2,2,1970919
2023,26-30,2,3,49315
2023,26-30,2,4,37191
2023,26-30,3,0,34859
2023,26-30,3,1,44679
2023,26-30,3,2,99059
2023,26-30,3,3,738970
2023,26-30,3,4,68923
2023,26-30,4,0,73952
2023,26-30,4,1,49094
2023,26-30,4,2,122594
2023,26-30,4,3,89573
2023,26-30,4,4,1394543
2023,31-34,0,0,221472
2023,31-34,0,1,46120
2023,31-34,0,2,53019
2023,31-34,0,3,20939
2023,31-34,0,4,25791
2023,31-34,1,0,49058
2023,31-34,1,1,1097145
2023,31-34,1,2,77476
2023,31-34,1,3,14192
2023,31-34,1,4,9176
2023,31-34,2,0,56299
2023,31-34,2,1,95876
2023,31-34,2,2,1713542
2023,31-34,2,3,42950
2023,31-34,2,4,32374
2023,31-34,3,0,22559
2023,31-34,3,1,31415
2023,31-34,3,2,74038
2023,31-34,3,3,895470
2023,31-34,3,4,75032
2023,31-34,4,0,51182
2023,31-34,4,1,26523
2023,31-34,4,2,76412
2023,31-34,4,3,87311
2023,31-34,4,4,1643124
2023,35-40,0,0,286622
2023,35-40,0,1,55743
2023,35-40,0,2,63174
2023,35-40,0,3,33163
2023,35-40,0,4,47952
2023,35-40,1,0,63333
2023,35-40,1,1,1450267
2023,35-40,1,2,89497
2023,35-40,1,3,18110
2023,35-40,1,4,10469
2023,35-40,2,0,65419
2023,35-40,2,1,111937
2023,35-40,2,2,2265255
2023,35-40,2,3,57084
2023,35-40,2,4,41314
2023,35-40,3,0,25101
2023,35-40,3,1,33977
2023,35-40,3,2,86458
2023,35-40,3,3,1401018
2023,35-40,3,4,107822
2023,35-40,4,0,56520
2023,35-40,4,1,26677
2023,35-40,4,2,76367
2023,35-40,4,3,118312
2023,35-40,4,4,2373456
2023,41-49,0,0,372048
2023,41-49,0,1,72288
2023,41-49,0,2,82978
2023,41-49,0,3,62054
2023,41-49,0,4,88368
2023,41-49,1,0,72268
2023,41-49,1,1,2046751
2023,41-49,1,2,106398
2023,41-49,1,3,26081
2023,41-49,1,4,15208
2023,41-49,2,0,65623
2023,41-49,2,1,125015
2023,41-49,2,2,3052289
2023,41-49,2,3,73559
2023,41-49,2,4,53285
2023,41-49,3,0,24807
2023,41-49,3,1,38399
2023,41-49,3,2,97169
2023,41-49,3,3,2282195
2023,41-49,3,4,161779
2023,41-49,4,0,44851
2023,41-49,4,1,24460
2023,41-49,4,2,78853
2023,41-49,4,3,163984
2023,41-49,4,4,3619705
2023,50+,0,0,1740770
2023,50+,0,1,199921
2023,50+,0,2,257877
2023,50+,0,3,249237
2023,50+,0,4,314630
2023,50+,1,0,84460
2023,50+,1,1,4271013
2023,50+,1,2,149083
2023,50+,1,3,50196
2023,50+,1,4,32747
2023,50+,2,0,77651
2023,50+,2,1,183651
2023,50+,2,2,5787375
2023,50+,2,3,120652
2023,50+,2,4,83286
2023,50+,3,0,46153
2023,50+,3,1,50575
2023,50+,3,2,117591
2023,50+,3,3,4202907
2023,50+,3,4,200886
2023,50+,4,0,56697
2023,50+,4,1,29827
2023,50+,4,2,89847
2023,50+,4,3,216606
2023,50+,4,4,5881377
