dm,mcl,beta_artificial,erases_headline
0.0,0.0,0.0,False
0.0,0.005,-0.005012541823544286,False
0.0,0.01,-0.01005033585350145,False
0.0,0.015,-0.015113637810048184,False
0.0,0.02,-0.020202707317519466,False
0.0,0.025,-0.025317807984289897,False
0.0,0.03,-0.030459207484708574,False
0.0,0.035,-0.03562717764315116,False
0.0,0.04,-0.040821994520255166,False
0.0,0.045,-0.046043938501406846,False
0.0,0.05,-0.05129329438755058,False
0.0,0.055,-0.05657035148839435,False
0.0,0.06,-0.06187540371808753,False
0.0,0.065,-0.06720874969344999,False
0.0,0.07,-0.0725706928348355,False
0.0,0.075,-0.0779615414697118,False
0.0,0.08,-0.08338160893905101,False
0.0,0.085,-0.0888312137066157,False
0.0,0.09,-0.09431067947124129,False
0.0,0.095,-0.0998203352822109,False
0.0,0.1,-0.10536051565782628,False
0.0,0.105,-0.11093156070728166,False
0.0,0.11,-0.11653381625595151,False
0.0,0.115,-0.12216763397420753,False
0.0,0.12,-0.12783337150988489,False
0.0,0.125,-0.13353139262452263,False
0.0,0.13,-0.13926206733350766,False
0.0,0.135,-0.14502577205025774,False
0.0,0.14,-0.15082288973458366,False
0.0,0.145,-0.15665381004537685,False
0.0,0.15,-0.16251892949777494,False
0.0,0.155,-0.16841865162496325,False
0.0,0.16,-0.1743533871447778,True
0.0,0.165,-0.18032355413128162,True
0.0,0.17,-0.18632957819149348,True
0.0,0.175,-0.19237189264745613,True
0.0,0.18,-0.19845093872383818,True
0.0,0.185,-0.2045671657412744,True
0.0,0.19,-0.21072103131565253,True
0.0,0.195,-0.21691300156357377,True
0.0,0.2,-0.2231435513142097,True
0.005,0.0,-0.005012541823544286,False
0.005,0.005,-0.01002508364708852,False
0.005,0.01,-0.015062877677045743,False
0.005,0.015,-0.020126179633592423,False
0.005,0.02,-0.025215249141063763,False
0.005,0.025,-0.030330349807834143,False
0.005,0.03,-0.03547174930825288,False
0.005,0.035,-0.04063971946669541,False
0.005,0.04,-0.04583453634379948,False
0.005,0.045,-0.0510564803249511,False
0.005,0.05,-0.056305836211094897,False
0.005,0.055,-0.06158289331193861,False
0.005,0.06,-0.06688794554163185,False
0.005,0.065,-0.07222129151699426,False
0.005,0.07,-0.07758323465837982,False
0.005,0.075,-0.08297408329325608,False
0.005,0.08,-0.08839415076259535,False
0.005,0.085,-0.09384375553015997,False
0.005,0.09,-0.09932322129478563,False
0.005,0.095,-0.10483287710575519,False
0.005,0.1,-0.11037305748137062,False
0.005,0.105,-0.11594410253082595,False
0.005,0.11,-0.12154635807949575,False
0.005,0.115,-0.12718017579775182,False
0.005,0.12,-0.13284591333342913,False
0.005,0.125,-0.13854393444806692,False
0.005,0.13,-0.1442746091570519,False
0.005,0.135,-0.15003831387380204,False
0.005,0.14,-0.1558354315581279,False
0.005,0.145,-0.16166635186892117,False
0.005,0.15,-0.16753147132131918,False
0.005,0.155,-0.17343119344850755,False
0.005,0.16,-0.17936592896832204,True
0.005,0.165,-0.18533609595482595,True
0.005,0.17,-0.19134212001503775,True
0.005,0.175,-0.19738443447100046,True
0.005,0.18,-0.20346348054738245,True
0.005,0.185,-0.20957970756481875,True
0.005,0.19,-0.2157335731391968,True
0.005,0.195,-0.22192554338711812,True
0.005,0.2,-0.22815609313775398,True
0.01,0.0,-0.01005033585350145,False
0.01,0.005,-0.015062877677045743,False
0.01,0.01,-0.02010067170700291,False
0.01,0.015,-0.025163973663549652,False
0.01,0.02,-0.03025304317102094,False
0.01,0.025,-0.035368143837791376,False
0.01,0.03,-0.04050954333821006,False
0.01,0.035,-0.04567751349665265,False
0.01,0.04,-0.050872330373756665,False
0.01,0.045,-0.05609427435490835,False
0.01,0.05,-0.06134363024105197,False
0.01,0.055,-0.06662068734189575,False
0.01,0.06,-0.07192573957158893,False
0.01,0.065,-0.0772590855469514,False
0.01,0.07,-0.08262102868833691,False
0.01,0.075,-0.08801187732321324,False
0.01,0.08,-0.09343194479255244,False
0.01,0.085,-0.09888154956011713,False
0.01,0.09,-0.10436101532474273,False
0.01,0.095,-0.10987067113571235,False
0.01,0.1,-0.11541085151132773,False
0.01,0.105,-0.12098189656078312,False
0.01,0.11,-0.12658415210945298,False
0.01,0.115,-0.132217969827709,False
0.01,0.12,-0.13788370736338637,False
0.01,0.125,-0.1435817284780241,False
0.01,0.13,-0.14931240318700914,False
0.01,0.135,-0.15507610790375922,False
0.01,0.14,-0.16087322558808514,False
0.01,0.145,-0.16670414589887836,False
0.01,0.15,-0.1725692653512763,False
0.01,0.155,-0.17846898747846462,True
0.01,0.16,-0.18440372299827917,True
0.01,0.165,-0.19037388998478302,True
0.01,0.17,-0.1963799140449949,True
0.01,0.175,-0.20242222850095754,True
0.01,0.18,-0.2085012745773396,True
0.01,0.185,-0.21461750159477583,True
0.01,0.19,-0.22077136716915396,True
0.01,0.195,-0.2269633374170752,True
0.01,0.2,-0.23319388716771114,True
0.015,0.0,-0.015113637810048184,False
0.015,0.005,-0.020126179633592423,False
0.015,0.01,-0.025163973663549652,False
0.015,0.015,-0.030227275620096337,False
0.015,0.02,-0.035316345127567685,False
0.015,0.025,-0.04043144579433807,False
0.015,0.03,-0.04557284529475681,False
0.015,0.035,-0.05074081545319935,False
0.015,0.04,-0.055935632330303305,False
0.015,0.045,-0.061157576311455054,False
0.015,0.05,-0.06640693219759873,False
0.015,0.055,-0.07168398929844258,False
0.015,0.06,-0.0769890415281357,False
0.015,0.065,-0.08232238750349824,False
0.015,0.07,-0.08768433064488369,False
0.015,0.075,-0.09307517927975995,False
0.015,0.08,-0.09849524674909922,False
0.015,0.085,-0.10394485151666386,False
0.015,0.09,-0.10942431728128953,False
0.015,0.095,-0.11493397309225907,False
0.015,0.1,-0.12047415346787452,False
0.015,0.105,-0.12604519851732984,False
0.015,0.11,-0.13164745406599965,False
0.015,0.115,-0.13728127178425573,False
0.015,0.12,-0.14294700931993304,False
0.015,0.125,-0.14864503043457086,False
0.015,0.13,-0.15437570514355584,False
0.015,0.135,-0.16013940986030586,False
0.015,0.14,-0.16593652754463184,False
0.015,0.145,-0.171767447855425,False
0.015,0.15,-0.17763256730782315,True
0.015,0.155,-0.1835322894350114,True
0.015,0.16,-0.18946702495482604,True
0.015,0.165,-0.1954371919413298,True
0.015,0.17,-0.2014432160015416,True
0.015,0.175,-0.2074855304575043,True
0.015,0.18,-0.21356457653388633,True
0.015,0.185,-0.21968080355132263,True
0.015,0.19,-0.2258346691257007,True
0.015,0.195,-0.232026639373622,True
0.015,0.2,-0.2382571891242579,True
0.02,0.0,-0.020202707317519466,False
0.02,0.005,-0.025215249141063763,False
0.02,0.01,-0.03025304317102094,False
0.02,0.015,-0.035316345127567685,False
0.02,0.02,-0.04040541463503898,False
0.02,0.025,-0.045520515301809304,False
0.02,0.03,-0.050661914802227995,False
0.02,0.035,-0.05582988496067059,False
0.02,0.04,-0.06102470183777461,False
0.02,0.045,-0.06624664581892631,False
0.02,0.05,-0.07149600170507005,False
0.02,0.055,-0.07677305880591383,False
0.02,0.06,-0.08207811103560703,False
0.02,0.065,-0.0874114570109695,False
0.02,0.07,-0.09277340015235501,False
0.02,0.075,-0.09816424878723133,False
0.02,0.08,-0.10358431625657043,False
0.02,0.085,-0.10903392102413513,False
0.02,0.09,-0.11451338678876073,False
0.02,0.095,-0.12002304259973036,False
0.02,0.1,-0.12556322297534575,False
0.02,0.105,-0.13113426802480113,False
0.02,0.11,-0.13673652357347102,False
0.02,0.115,-0.14237034129172704,False
0.02,0.12,-0.1480360788274044,False
0.02,0.125,-0.15373409994204215,False
0.02,0.13,-0.15946477465102707,False
0.02,0.135,-0.16522847936777718,False
0.02,0.14,-0.1710255970521031,False
0.02,0.145,-0.17685651736289631,True
0.02,0.15,-0.1827216368152944,True
0.02,0.155,-0.18862135894248272,True
0.02,0.16,-0.1945560944622973,True
0.02,0.165,-0.20052626144880112,True
0.02,0.17,-0.206532285509013,True
0.02,0.175,-0.21257459996497552,True
0.02,0.18,-0.2186536460413576,True
0.02,0.185,-0.22476987305879384,True
0.02,0.19,-0.23092373863317198,True
0.02,0.195,-0.2371157088810932,True
0.02,0.2,-0.24334625863172918,True
0.025,0.0,-0.025317807984289897,False
0.025,0.005,-0.030330349807834143,False
0.025,0.01,-0.035368143837791376,False
0.025,0.015,-0.04043144579433807,False
0.025,0.02,-0.045520515301809304,False
0.025,0.025,-0.05063561596857981,False
0.025,0.03,-0.055777015468998443,False
0.025,0.035,-0.0609449856274411,False
0.025,0.04,-0.06613980250454507,False
0.025,0.045,-0.0713617464856967,False
0.025,0.05,-0.0766111023718405,False
0.025,0.055,-0.08188815947268424,False
0.025,0.06,-0.08719321170237737,False
0.025,0.065,-0.0925265576777399,False
0.025,0.07,-0.09788850081912537,False
0.025,0.075,-0.10327934945400176,False
0.025,0.08,-0.10869941692334091,False
0.025,0.085,-0.11414902169090554,False
0.025,0.09,-0.11962848745553122,False
0.025,0.095,-0.12513814326650077,False
0.025,0.1,-0.13067832364211623,False
0.025,0.105,-0.1362493686915716,False
0.025,0.11,-0.1418516242402414,False
0.025,0.115,-0.14748544195849747,False
0.025,0.12,-0.15315117949417478,False
0.025,0.125,-0.15884920060881247,False
0.025,0.13,-0.16457987531779758,False
0.025,0.135,-0.1703435800345476,False
0.025,0.14,-0.17614069771887347,True
0.025,0.145,-0.18197161802966677,True
0.025,0.15,-0.1878367374820648,True
0.025,0.155,-0.19373645960925318,True
0.025,0.16,-0.1996711951290677,True
0.025,0.165,-0.20564136211557146,True
0.025,0.17,-0.21164738617578344,True
0.025,0.175,-0.217689700631746,True
0.025,0.18,-0.22376874670812816,True
