level,exam_age,n,year
2,21,578.0,2019
1,12,1717.0,2019
1,30,33.0,2019
5,48,11174.0,2019
2,19,1364.0,2019
6,68,34.0,2019
4,14,71.0,2019
4,59,507.0,2019
2,36,184.0,2019
2,56,5.0,2019
5,47,13345.0,2019
2,52,19.0,2019
6,28,3745.0,2019
5,78,14.0,2019
4,22,39125.0,2019
4,16,340.0,2019
4,70,47.0,2019
4,85,,2019
4,74,13.0,2019
4,9,,2019
5,36,36209.0,2019
2,17,46352.0,2019
1,25,84.0,2019
4,77,5.0,2019
1,61,,2019
5,49,9835.0,2019
2,8,,2019
3,64,59.0,2019
1,53,,2019
5,19,9472.0,2019
1,10,126.0,2019
3,18,470915.0,2019
5,30,82041.0,2019
2,43,171.0,2019
1,22,177.0,2019
5,1,,2019
3,39,13394.0,2019
5,50,8350.0,2019
6,63,147.0,2019
1,17,650.0,2019
2,31,173.0,2019
3,68,,2019
2,61,,2019
6,34,5289.0,2019
1,48,7.0,2019
1,47,10.0,2019
4,39,5536.0,2019
4,49,2797.0,2019
5,65,144.0,2019
3,30,17480.0,2019
2,6,,2019
5,26,212990.0,2019
3,42,10780.0,2019
3,4,,2019
6,76,8.0,2019
4,72,24.0,2019
1,39,14.0,2019
2,55,8.0,2019
6,82,,2019
4,4,,2019
6,16,9.0,2019
6,46,1388.0,2019
5,6,6.0,2019
4,27,18874.0,2019
4,25,26316.0,2019
2,23,291.0,2019
3,36,14570.0,2019
2,12,168.0,2019
5,10,24.0,2019
6,29,6123.0,2019
4,67,67.0,2019
3,26,23767.0,2019
3,53,2743.0,2019
5,28,132244.0,2019
1,18,624.0,2019
5,3,,2019
4,48,2914.0,2019
2,51,39.0,2019
3,37,14179.0,2019
6,75,8.0,2019
5,40,26341.0,2019
6,74,15.0,2019
1,23,123.0,2019
5,15,467.0,2019
4,62,205.0,2019
5,64,201.0,2019
4,51,2218.0,2019
4,11,6.0,2019
2,26,189.0,2019
4,53,1641.0,2019
6,17,13.0,2019
1,50,6.0,2019
4,86,,2019
6,38,3140.0,2019
2,13,255.0,2019
5,85,,2019
4,31,10213.0,2019
1,36,20.0,2019
5,88,,2019
1,62,,2019
4,68,86.0,2019
4,37,6165.0,2019
4,43,4303.0,2019
2,53,21.0,2019
1,11,287.0,2019
5,77,12.0,2019
1,28,53.0,2019
4,61,247.0,2019
4,76,11.0,2019
5,55,3272.0,2019
4,24,30077.0,2019
3,15,3351.0,2019
3,47,6369.0,2019
5,61,555.0,2019
2,46,113.0,2019
1,42,11.0,2019
4,30,11622.0,2019
1,7,10.0,2019
5,75,19.0,2019
6,71,29.0,2019
6,45,1443.0,2019
6,61,227.0,2019
4,15,155.0,2019
1,8,26.0,2019
5,20,21215.0,2019
5,46,14943.0,2019
6,87,,2019
3,29,18325.0,2019
6,25,710.0,2019
2,39,239.0,2019
2,18,4236.0,2019
5,44,18787.0,2019
3,49,4990.0,2019
2,7,,2019
6,32,7268.0,2019
4,41,4810.0,2019
4,40,5161.0,2019
6,72,14.0,2019
3,19,1204043.0,2019
1,33,27.0,2019
4,58,592.0,2019
6,69,27.0,2019
6,79,,2019
4,32,9066.0,2019
5,5,,2019
1,14,1659.0,2019
6,56,487.0,2019
6,57,423.0,2019
2,27,195.0,2019
6,39,2765.0,2019
2,40,210.0,2019
2,48,83.0,2019
6,62,176.0,2019
5,80,7.0,2019
2,4,,2019
1,2,,2019
1,15,1731.0,2019
6,51,724.0,2019
4,65,104.0,2019
5,2,,2019
4,34,7429.0,2019
4,29,13483.0,2019
3,35,15014.0,2019
5,12,156.0,2019
3,25,26513.0,2019
5,84,5.0,2019
5,38,30831.0,2019
6,43,1802.0,2019
1,31,36.0,2019
5,71,60.0,2019
6,30,7617.0,2019
3,56,1518.0,2019
1,19,458.0,2019
2,34,195.0,2019
5,66,107.0,2019
3,54,2194.0,2019
3,52,3239.0,2019
5,70,51.0,2019
2,29,136.0,2019
3,9,11.0,2019
1,59,,2019
6,31,7725.0,2019
5,13,164.0,2019
2,44,152.0,2019
6,23,304.0,2019
6,60,298.0,2019
6,54,605.0,2019
1,38,21.0,2019
6,44,1588.0,2019
4,57,786.0,2019
6,36,4071.0,2019
1,26,57.0,2019
3,51,3827.0,2019
1,21,279.0,2019
4,56,993.0,2019
4,52,1844.0,2019
6,50,932.0,2019
2,22,384.0,2019
6,18,27.0,2019
3,73,,2019
1,4,,2019
6,35,4722.0,2019
6,27,2107.0,2019
5,8,11.0,2019
5,39,28925.0,2019
4,44,4208.0,2019
4,75,10.0,2019
2,50,52.0,2019
4,83,5.0,2019
5,60,861.0,2019
5,74,30.0,2019
5,9,7.0,2019
4,88,,2019
6,47,1198.0,2019
4,64,140.0,2019
1,44,7.0,2019
1,37,15.0,2019
5,17,2309.0,2019
2,20,1003.0,2019
5,82,5.0,2019
1,54,,2019
5,21,47338.0,2019
2,24,257.0,2019
4,13,55.0,2019
6,83,,2019
4,46,3516.0,2019
3,31,16354.0,2019
5,53,4550.0,2019
6,73,10.0,2019
6,21,57.0,2019
3,7,,2019
3,12,210.0,2019
5,7,5.0,2019
6,53,646.0,2019
6,48,1007.0,2019
5,42,22594.0,2019
3,10,35.0,2019
1,55,,2019
6,86,,2019
3,22,56610.0,2019
3,28,19747.0,2019
3,62,165.0,2019
3,66,,2019
3,40,12563.0,2019
5,67,112.0,2019
3,1,,2019
1,6,,2019
5,45,16962.0,2019
5,62,372.0,2019
4,12,33.0,2019
4,81,,2019
5,35,39503.0,2019
5,72,46.0,2019
6,13,9.0,2019
6,58,394.0,2019
1,32,24.0,2019
3,20,275809.0,2019
5,81,,2019
5,63,286.0,2019
3,41,11514.0,2019
5,11,29.0,2019
2,59,,2019
1,49,,2019
4,38,5873.0,2019
5,52,5713.0,2019
4,26,22567.0,2019
4,42,4425.0,2019
4,84,,2019
4,63,145.0,2019
6,20,30.0,2019
2,15,9030.0,2019
3,27,21249.0,2019
5,34,44086.0,2019
6,24,490.0,2019
4,78,,2019
5,27,170486.0,2019
5,25,234345.0,2019
3,11,49.0,2019
6,26,1107.0,2019
6,66,72.0,2019
4,45,3918.0,2019
6,41,2145.0,2019
6,65,89.0,2019
3,13,288.0,2019
3,67,,2019
2,32,160.0,2019
3,61,282.0,2019
5,59,1127.0,2019
3,63,117.0,2019
2,45,100.0,2019
2,30,141.0,2019
4,23,34321.0,2019
3,38,13908.0,2019
5,22,105421.0,2019
2,41,203.0,2019
2,25,225.0,2019
3,8,8.0,2019
6,85,,2019
3,33,15479.0,2019
5,18,6315.0,2019
4,82,,2019
4,7,,2019
4,66,82.0,2019
2,42,159.0,2019
3,46,7515.0,2019
5,51,6885.0,2019
2,11,18.0,2019
4,36,6646.0,2019
3,60,411.0,2019
1,13,1580.0,2019
3,17,39470.0,2019
3,44,9136.0,2019
2,16,493202.0,2019
2,38,215.0,2019
1,45,8.0,2019
5,69,92.0,2019
3,16,11932.0,2019
5,37,33273.0,2019
3,24,31688.0,2019
6,55,567.0,2019
2,54,21.0,2019
1,29,40.0,2019
3,34,15257.0,2019
6,64,124.0,2019
2,9,10.0,2019
2,57,,2019
4,19,6711.0,2019
2,14,833.0,2019
1,43,13.0,2019
1,41,11.0,2019
4,5,,2019
3,14,958.0,2019
4,33,8136.0,2019
5,68,88.0,2019
6,15,8.0,2019
4,8,,2019
5,31,67139.0,2019
5,16,874.0,2019
1,52,,2019
5,43,20469.0,2019
5,41,24530.0,2019
3,50,4197.0,2019
4,79,,2019
2,47,75.0,2019
3,6,,2019
1,20,370.0,2019
4,60,352.0,2019
5,32,56890.0,2019
1,35,34.0,2019
6,14,11.0,2019
6,80,,2019
4,21,45831.0,2019
5,79,8.0,2019
1,46,8.0,2019
5,54,3927.0,2019
6,49,1045.0,2019
2,28,167.0,2019
5,76,13.0,2019
4,54,1415.0,2019
5,33,49310.0,2019
3,32,16002.0,2019
1,27,56.0,2019
3,59,638.0,2019
4,71,35.0,2019
3,55,1943.0,2019
4,69,53.0,2019
5,73,36.0,2019
3,72,,2019
4,50,2449.0,2019
1,40,15.0,2019
2,58,5.0,2019
4,28,15922.0,2019
6,42,1869.0,2019
1,24,92.0,2019
4,10,5.0,2019
4,80,,2019
1,34,19.0,2019
1,16,1004.0,2019
3,48,5791.0,2019
5,24,215367.0,2019
2,35,206.0,2019
3,57,1179.0,2019
4,18,2333.0,2019
6,77,,2019
6,12,,2019
6,70,32.0,2019
6,52,673.0,2019
3,65,12.0,2019
2,10,13.0,2019
2,33,170.0,2019
4,73,28.0,2019
5,58,1530.0,2019
6,40,2411.0,2019
5,83,5.0,2019
3,45,8260.0,2019
4,17,879.0,2019
6,22,140.0,2019
3,43,10042.0,2019
