age_group,level_t,level_t1,n,year
31-34,2,3,914.0,2019
35-40,5,5,56381.0,2019
31-34,5,4,286.0,2019
22-25,3,2,175.0,2019
31-34,3,6,9.0,2019
26-30,4,1,,2019
31-34,1,5,19.0,2019
31-34,4,4,34200.0,2019
22-25,2,3,2409.0,2019
22-25,1,1,7489.0,2019
31-34,9,4,397.0,2019
35-40,4,3,33.0,2019
22-25,5,4,109.0,2019
35-40,6,5,8.0,2019
31-34,3,1,57.0,2019
35-40,3,2,31.0,2019
22-25,6,5,,2019
35-40,9,9,3889.0,2019
22-25,2,4,193.0,2019
22-25,4,3,140.0,2019
26-30,4,4,47980.0,2019
22-25,4,5,25529.0,2019
35-40,2,3,188.0,2019
26-30,2,1,64.0,2019
35-40,6,6,1886.0,2019
35-40,4,6,,2019
31-34,1,1,14836.0,2019
26-30,2,5,113.0,2019
22-25,3,4,15095.0,2019
22-25,9,4,2568.0,2019
22-25,3,1,30.0,2019
22-25,2,2,42526.0,2019
26-30,9,2,286.0,2019
26-30,6,6,1258.0,2019
31-34,5,3,468.0,2019
26-30,9,5,3236.0,2019
26-30,3,5,2994.0,2019
35-40,5,3,115.0,2019
35-40,9,2,58.0,2019
26-30,4,2,16.0,2019
22-25,9,3,1285.0,2019
35-40,1,1,4173.0,2019
31-34,4,3,136.0,2019
26-30,5,6,487.0,2019
35-40,3,4,466.0,2019
26-30,5,1,8.0,2019
31-34,2,2,36656.0,2019
26-30,9,4,1183.0,2019
26-30,3,1,57.0,2019
35-40,3,6,,2019
26-30,2,2,53384.0,2019
35-40,3,1,10.0,2019
26-30,3,4,6667.0,2019
22-25,3,5,2848.0,2019
31-34,9,6,204.0,2019
35-40,2,5,16.0,2019
26-30,3,2,143.0,2019
26-30,6,5,15.0,2019
31-34,1,4,20.0,2019
31-34,5,1,12.0,2019
35-40,5,2,9.0,2019
22-25,4,1,,2019
22-25,9,5,1330.0,2019
35-40,5,4,59.0,2019
35-40,5,1,,2019
31-34,2,1,66.0,2019
31-34,2,4,71.0,2019
31-34,6,5,18.0,2019
35-40,4,4,7495.0,2019
35-40,9,1,64.0,2019
35-40,9,4,70.0,2019
26-30,5,2,21.0,2019
35-40,4,5,540.0,2019
31-34,2,5,51.0,2019
26-30,9,1,330.0,2019
22-25,9,2,260.0,2019
31-34,4,2,13.0,2019
26-30,3,3,302094.0,2019
26-30,9,9,22956.0,2019
26-30,9,3,1256.0,2019
35-40,9,6,50.0,2019
35-40,1,2,22.0,2019
26-30,4,6,15.0,2019
22-25,6,6,,2019
31-34,9,9,17066.0,2019
22-25,1,3,436.0,2019
31-34,4,6,20.0,2019
31-34,1,2,94.0,2019
22-25,5,6,8.0,2019
26-30,1,1,13247.0,2019
22-25,9,6,6.0,2019
31-34,2,6,,2019
35-40,3,3,45815.0,2019
31-34,9,2,240.0,2019
26-30,5,5,272245.0,2019
31-34,3,3,206383.0,2019
22-25,4,4,35872.0,2019
31-34,5,6,666.0,2019
22-25,2,1,60.0,2019
31-34,9,5,2105.0,2019
31-34,3,5,1244.0,2019
26-30,1,2,94.0,2019
22-25,5,2,9.0,2019
35-40,9,5,427.0,2019
31-34,6,6,5382.0,2019
31-34,9,3,813.0,2019
35-40,3,5,220.0,2019
22-25,5,3,151.0,2019
35-40,1,4,,2019
35-40,2,2,8744.0,2019
26-30,4,5,10837.0,2019
26-30,2,4,134.0,2019
22-25,2,5,64.0,2019
22-25,9,1,295.0,2019
26-30,4,3,236.0,2019
35-40,9,3,165.0,2019
22-25,3,3,231545.0,2019
26-30,1,3,567.0,2019
35-40,2,4,11.0,2019
35-40,2,1,17.0,2019
26-30,5,4,337.0,2019
26-30,1,4,16.0,2019
22-25,1,2,86.0,2019
35-40,5,6,117.0,2019
26-30,1,5,24.0,2019
22-25,3,6,,2019
31-34,5,5,231362.0,2019
22-25,4,2,8.0,2019
31-34,9,1,297.0,2019
26-30,2,3,1731.0,2019
31-34,4,1,,2019
22-25,1,4,12.0,2019
31-34,1,3,517.0,2019
26-30,5,3,445.0,2019
31-34,5,2,25.0,2019
35-40,4,2,,2019
35-40,1,5,,2019
22-25,9,9,14132.0,2019
22-25,5,5,106014.0,2019
31-34,3,4,2563.0,2019
31-34,4,5,3170.0,2019
31-34,3,2,137.0,2019
35-40,1,3,131.0,2019
26-30,9,6,187.0,2019
22-25,3,9,,2019
22-25,1,5,13.0,2019
26-30,3,6,,2019
22-25,2,2,40639.0,2020
26-30,6,6,1247.0,2020
31-34,5,3,396.0,2020
26-30,9,2,228.0,2020
35-40,5,5,58092.0,2020
31-34,2,3,1091.0,2020
31-34,1,5,26.0,2020
31-34,5,4,359.0,2020
22-25,3,2,248.0,2020
26-30,4,1,,2020
31-34,3,6,,2020
31-34,4,4,35636.0,2020
22-25,1,1,7376.0,2020
31-34,9,4,468.0,2020
22-25,2,3,3193.0,2020
35-40,4,3,21.0,2020
35-40,3,2,27.0,2020
35-40,6,5,6.0,2020
22-25,5,4,116.0,2020
31-34,3,1,42.0,2020
35-40,9,9,4100.0,2020
22-25,2,4,188.0,2020
22-25,4,3,138.0,2020
26-30,4,4,46393.0,2020
22-25,4,5,26774.0,2020
35-40,6,6,1910.0,2020
35-40,2,3,235.0,2020
26-30,2,1,55.0,2020
26-30,6,4,,2020
35-40,4,6,,2020
35-40,4,4,8074.0,2020
35-40,9,4,66.0,2020
26-30,5,2,22.0,2020
35-40,9,1,56.0,2020
35-40,4,1,,2020
35-40,3,3,48635.0,2020
31-34,9,2,128.0,2020
26-30,5,5,274397.0,2020
31-34,3,3,213010.0,2020
22-25,4,4,32598.0,2020
