grp,n_workers,score,quartile
01Z,90319,0.16526095412347064,1
13Z,7683,0.2009778320367908,1
53R,30308,0.20302473222064488,1
75V,8895,0.20347400447522712,1
63Z,68707,0.22284893199783884,1
53B,140081,0.2293340388914446,1
53I,219552,0.2341886174259808,1
53F,95175,0.23889599636145395,1
02Z,345861,0.24554828642211257,2
73B,73106,0.25012507054484984,2
83T,52448,0.25171055170856665,2
83R,91791,0.2556677258962591,2
23X,17925,0.26624233179155626,2
93Z,58836,0.26856823614883624,2
45X,2879,0.2698967527234241,2
53E,141222,0.2712777609912982,2
15B,69889,0.2746078231108108,2
83X,68998,0.2765315077017079,2
03T,17430,0.27951761106147077,2
75L,17657,0.2862202959094438,2
95Z,26094,0.29305284345370497,2
75T,3487,0.2938768796418364,2
73X,6506,0.29623128235853946,2
15F,16060,0.29631873683759574,2
73T,10234,0.2964201893140698,2
65V,3702,0.30127262109305186,2
75D,10853,0.30929689001056415,2
14P,49617,0.3154897148524266,2
23E,50009,0.3182789272817522,2
64P,3288,0.3235036001746767,2
55T,18563,0.3254064752708603,2
75R,4005,0.33290273754553446,2
73O,60750,0.3354021892343885,3
15G,98708,0.3389498293051134,3
03A,319542,0.34093898598007155,3
74P,28935,0.342325553500076,3
03N,57439,0.3426036666807148,3
75F,10226,0.3442699272770859,3
75N,58818,0.34994896929055985,3
75X,9162,0.35284189867917387,3
75SD,16202,0.35327711402408024,3
75SB,5679,0.353574663419372,3
43Z,16436,0.3540520108455487,3
15H,65537,0.35914139710656073,3
75SA,17500,0.35932297639133637,3
53A,35484,0.3599639722365844,3
15P,21583,0.3611043047361667,3
75SP,5208,0.36223398025431974,3
75SX,23150,0.3651419403044091,3
85P,21674,0.36730966862682624,3
15V,12005,0.3685752674001916,3
85T,10345,0.3698125031040669,3
84P,8452,0.36992521844663057,3
25K,26039,0.37249905133741495,3
75Y,1873,0.3744431652922435,3
75B,11373,0.38541187751229056,3
54P,69050,0.39114991229601154,3
75M,8452,0.39133232405905183,3
25T,6456,0.3921063807466629,3
44P,27214,0.39673009759306077,3
33H,199222,0.3998606046403054,4
75P,48044,0.4028382084476852,4
75O,15031,0.4034601961367915,4
55L,2699,0.405780087564636,4
65S,2849,0.4058875761240726,4
24P,49001,0.4064737570599944,4
15S,20214,0.4123316034989596,4
75HS,1522,0.4159584532512353,4
45Q,10297,0.418300677708802,4
65J,4280,0.42211713434029147,4
55Q,59333,0.423119013180831,4
83H,17769,0.423610479383348,4
45DL,9237,0.4277919506296636,4
55K,4299,0.4326827573975665,4
75J,5554,0.4327412394341179,4
45B,19071,0.4413326693615779,4
25M,11063,0.44352272147316213,4
33E,108397,0.4483098812864976,4
55J,18731,0.44877889836373985,4
55H,17595,0.44890710701304837,4
45K,6707,0.45170008419815316,4
75H,10696,0.45215289964368877,4
55I,20788,0.45237387489245284,4
25H,28179,0.45263961352389526,4
55G,12031,0.4526519622152729,4
45G,4298,0.45384305703326544,4
75A,5011,0.45558443883624744,4
35P,14966,0.4591895742832639,4
34P,133945,0.4620074235922009,4
55F,15344,0.470802478522015,4
55C,17918,0.4741379163545616,4
35J,45451,0.4753050335024733,4
55A,8265,0.4763371674954702,4
35F,35010,0.4784272483507197,4
35S,41735,0.47897480624789895,4
45DH,14612,0.4841562477754127,4
55D,25151,0.4910001053957238,4
45FM,8081,0.4928418425235668,4
35B,6894,0.49563028657073527,4
55B,10588,0.5006704170998303,4
55E,27877,0.5109696886740999,4
35E,147373,0.5157682014311656,4
35Y,41334,0.5355334146692187,4
35M,18439,0.5406882361509268,4
35V,12477,0.6106168384505308,4
