grp,n_workers,score,quartile
53R,11043,22.61153228777506,1
83T,16631,23.9739954274782,1
53F,19701,24.191095880275114,1
01Z,103475,24.89447201965006,1
53I,18062,28.10101213806334,1
73O,38519,28.880708613921442,1
93Z,634,29.305851909952683,1
73T,4109,29.944950962034554,1
63Z,20795,29.997264019813418,1
53B,44779,30.058621244137207,1
75T,693,30.166854290764793,1
75Y,3551,30.28073474268657,1
02Z,76139,30.51987054303708,2
83R,17882,32.1160527231048,2
85P,2919,32.712739791880786,2
53E,37897,34.1513723970396,2
75V,3426,35.17649549953298,2
85T,4013,36.12606337494144,2
73X,12063,36.216422102522586,2
75N,49697,37.63002335211783,2
75SB,2056,37.70314201021401,2
74P,48276,37.77078898914243,2
23X,2451,38.016858943227255,2
75SA,6262,38.46535232274034,2
75SD,2348,38.60629824659285,2
75R,1806,39.02339062214839,2
75SP,1043,39.97532117833173,2
23E,26237,40.04217944144491,2
03T,32914,40.08788089926171,2
45X,3635,40.245920258910594,2
83X,22029,40.446773747136504,2
33H,28381,40.498331634399776,3
03N,44273,40.93546901644162,3
03A,131229,41.18064823988615,3
73B,28910,41.278119320424075,3
75SX,1479,42.53549642123056,3
75O,4781,43.917272884747966,3
13Z,9108,44.256059652941374,3
65V,960,44.344072988541676,3
75M,3044,44.47367374342969,3
75L,8299,44.476213178693826,3
33E,72791,44.56632364527702,3
75F,2364,44.86736907684433,3
55T,11448,44.8811906275594,3
55Q,2738,46.42356113203433,3
95Z,667,46.62602699617691,3
64P,2919,46.78734518406646,3
84P,7197,48.48016286769348,3
43Z,21059,50.02927879747709,3
24P,28692,51.219470976991495,3
75J,2160,51.45979588064815,3
75D,3866,51.807680717796174,3
53A,39493,52.725665927265084,3
14P,57308,52.76511346563935,3
75HS,23593,53.56301020926969,3
83H,11340,55.15633008338271,3
75P,28023,55.2780642652853,4
75B,5030,57.623322034314114,4
25K,10734,58.038224533502884,4
34P,105524,59.01160917718974,4
75X,3614,60.19261794280022,4
15V,983,60.38228724231943,4
25T,1085,60.48823101336405,4
54P,65857,60.63700397785262,4
75A,2470,61.35961980688259,4
15B,27043,61.39134193414192,4
65S,1255,62.156765330430275,4
44P,25867,62.32977890429235,4
15F,5852,63.26073783550923,4
55K,1257,64.0650438821082,4
75H,22097,66.85492774939132,4
25M,5917,67.08292088525943,4
55H,11080,67.44896508012727,4
25H,10151,68.45137788880406,4
45B,10095,69.108905441579,4
35F,22765,69.62912235339995,4
65J,844,70.24874455829384,4
55I,9840,70.92668436461891,4
15G,28691,72.2934935707424,4
15P,3099,72.6533705477896,4
55L,1560,73.87057091537179,4
15H,17497,74.05284253569184,4
45G,2291,74.7251153975731,4
35Y,17744,74.88700519469849,4
35S,20552,76.27168723397041,4
15S,2637,76.7100228646568,4
55J,5903,77.00977355363035,4
55C,7440,77.08167422385753,4
35M,10476,77.71764555150821,4
45K,1812,77.73300258675496,4
35J,18599,78.41801405141136,4
55F,7177,78.59002970089173,4
35V,5385,79.46893964870938,4
35P,6649,80.53253632854563,4
35B,1985,80.55797299133502,4
45Q,4906,82.46540623375458,4
35E,57721,82.843215056077,4
55D,12317,82.91284457420637,4
55G,7390,82.92680983872665,4
45DL,6608,83.49795903960049,4
55A,4105,83.89128224879416,4
55B,8332,85.38668534221075,4
55E,18028,86.37996021334591,4
45FM,4369,86.45038298825818,4
45DH,15039,87.01287592585079,4
