age_group,stale_years,ssyk_status,n,year
26-30,1,1,47282.0,2019
41-49,1,2,6611.0,2019
50+,0,2,10282.0,2019
26-30,5,1,1932.0,2019
22-25,2,4,1398.0,2019
31-34,0,14,3564.0,2019
26-30,0,3,1571.0,2019
31-34,1,3,250.0,2019
31-34,4,4,245.0,2019
35-40,-1,3,87.0,2019
22-25,-1,4,256.0,2019
22-25,3,3,81.0,2019
31-34,4,2,215.0,2019
31-34,0,1,309195.0,2019
26-30,3,1,8220.0,2019
35-40,2,1,17233.0,2019
50+,4,1,34265.0,2019
31-34,2,5,11248.0,2019
41-49,4,5,12653.0,2019
22-25,1,3,406.0,2019
22-25,4,4,272.0,2019
26-30,4,4,394.0,2019
35-40,1,3,351.0,2019
41-49,3,2,389.0,2019
31-34,3,2,218.0,2019
22-25,0,14,905.0,2019
35-40,4,4,298.0,2019
31-34,3,4,293.0,2019
22-25,5,4,90.0,2019
41-49,3,1,19696.0,2019
22-25,1,2,6064.0,2019
35-40,0,2,5266.0,2019
31-34,4,5,7608.0,2019
41-49,0,15,4557.0,2019
31-34,3,1,7104.0,2019
35-40,5,5,6567.0,2019
26-30,2,4,1317.0,2019
22-25,5,1,527.0,2019
31-34,1,4,4166.0,2019
35-40,3,4,307.0,2019
26-30,4,2,290.0,2019
35-40,5,3,32.0,2019
50+,5,3,144.0,2019
26-30,-1,4,280.0,2019
22-25,2,3,171.0,2019
22-25,-1,3,91.0,2019
22-25,0,1,216831.0,2019
22-25,2,5,21764.0,2019
50+,5,5,54481.0,2019
26-30,4,5,11701.0,2019
41-49,5,1,6041.0,2019
26-30,2,1,14632.0,2019
35-40,0,5,3878.0,2019
26-30,1,4,6645.0,2019
50+,0,3,2351.0,2019
26-30,-1,1,15269.0,2019
50+,0,12,2679.0,2019
41-49,0,12,1548.0,2019
50+,2,2,2172.0,2019
41-49,0,3,1859.0,2019
41-49,2,2,853.0,2019
41-49,-1,2,376.0,2019
35-40,5,4,147.0,2019
31-34,5,3,17.0,2019
35-40,1,1,49143.0,2019
35-40,1,4,5013.0,2019
31-34,0,13,2574.0,2019
26-30,0,14,2799.0,2019
50+,4,2,1190.0,2019
35-40,4,2,267.0,2019
22-25,4,2,198.0,2019
26-30,0,12,722.0,2019
41-49,-1,4,272.0,2019
41-49,4,3,144.0,2019
50+,1,5,21965.0,2019
50+,2,5,57425.0,2019
22-25,3,5,17348.0,2019
50+,5,2,612.0,2019
35-40,0,14,7143.0,2019
26-30,0,4,1873.0,2019
35-40,1,5,9243.0,2019
