age_group,tertiary,registered,n,year
26-30,1,1,5522,2021
22-25,1,1,597,2021
22-25,1,0,165141,2021
26-30,1,0,327343,2021
26-30,0,0,392941,2021
22-25,0,1,285,2021
26-30,0,1,1188,2021
22-25,0,0,307525,2021
26-30,1,1,4623,2022
22-25,1,1,222,2022
22-25,1,0,174436,2022
26-30,1,0,328946,2022
26-30,0,0,368857,2022
26-30,0,1,866,2022
22-25,0,0,300324,2022
22-25,0,1,97,2022
26-30,1,1,3499,2023
22-25,1,1,40,2023
22-25,1,0,179291,2023
26-30,1,0,318588,2023
26-30,0,0,348674,2023
22-25,0,1,29,2023
26-30,0,1,618,2023
22-25,0,0,297278,2023
