grp,expband,fresh,ssyk4,n
01Z,0-2,0,9111,
01Z,0-2,0,9412,
01Z,0-2,1,4322,
01Z,0-2,1,5131,
01Z,0-2,1,5312,
01Z,0-2,1,5330,
01Z,0-2,1,5343,
01Z,0-2,1,7111,
01Z,0-2,1,9412,
01Z,11-20,0,1251,
01Z,11-20,0,1292,
01Z,11-20,0,1322,
01Z,11-20,0,1372,
01Z,11-20,0,1722,5.0
01Z,11-20,0,2111,
01Z,11-20,0,2343,
01Z,11-20,0,2359,
01Z,11-20,0,2422,
01Z,11-20,0,3111,
01Z,11-20,0,3121,
01Z,11-20,0,3213,
01Z,11-20,0,3214,
01Z,11-20,0,3322,
01Z,11-20,0,3333,
01Z,11-20,0,3421,
01Z,11-20,0,3423,
01Z,11-20,0,3449,
01Z,11-20,0,3451,
01Z,11-20,0,3511,
01Z,11-20,0,3522,
01Z,11-20,0,4111,
01Z,11-20,0,4114,
01Z,11-20,0,4119,
01Z,11-20,0,4222,
01Z,11-20,0,4224,
01Z,11-20,0,4322,16.0
01Z,11-20,0,4420,
01Z,11-20,0,5112,
01Z,11-20,0,5120,34.0
01Z,11-20,0,5131,9.0
01Z,11-20,0,5141,9.0
01Z,11-20,0,5143,
01Z,11-20,0,5149,
01Z,11-20,0,5151,
01Z,11-20,0,5152,23.0
01Z,11-20,0,5221,
01Z,11-20,0,5222,8.0
01Z,11-20,0,5223,
01Z,11-20,0,5225,
01Z,11-20,0,5230,
01Z,11-20,0,5311,14.0
01Z,11-20,0,5312,9.0
01Z,11-20,0,5321,
01Z,11-20,0,5330,15.0
01Z,11-20,0,5341,
01Z,11-20,0,5342,6.0
01Z,11-20,0,5343,25.0
01Z,11-20,0,5349,
01Z,11-20,0,6111,
01Z,11-20,0,6112,
01Z,11-20,0,6113,11.0
01Z,11-20,0,6121,
01Z,11-20,0,6129,
01Z,11-20,0,6210,
01Z,11-20,0,7111,8.0
01Z,11-20,0,7112,
01Z,11-20,0,7113,
01Z,11-20,0,7114,
01Z,11-20,0,7116,
01Z,11-20,0,7119,7.0
01Z,11-20,0,7122,
01Z,11-20,0,7131,7.0
