inr,expband,fresh,ssyk4,n
010c,0-2,0,0310,20.0
010c,0-2,0,1252,
010c,0-2,0,1291,
010c,0-2,0,1292,
010c,0-2,0,1592,
010c,0-2,0,2143,
010c,0-2,0,2330,
010c,0-2,0,2341,16.0
010c,0-2,0,2342,7.0
010c,0-2,0,2343,6.0
010c,0-2,0,2359,8.0
010c,0-2,0,2421,
010c,0-2,0,2422,
010c,0-2,0,2431,
010c,0-2,0,2511,
010c,0-2,0,2512,7.0
010c,0-2,0,2514,
010c,0-2,0,2641,
010c,0-2,0,3112,
010c,0-2,0,3113,
010c,0-2,0,3114,
010c,0-2,0,3119,
010c,0-2,0,3121,
010c,0-2,0,3212,
010c,0-2,0,3214,
010c,0-2,0,3215,
010c,0-2,0,3312,7.0
010c,0-2,0,3313,
010c,0-2,0,3322,9.0
010c,0-2,0,3323,
010c,0-2,0,3324,
010c,0-2,0,3331,
010c,0-2,0,3335,
010c,0-2,0,3341,
010c,0-2,0,3352,
010c,0-2,0,3353,
010c,0-2,0,3359,
010c,0-2,0,3421,
010c,0-2,0,3422,5.0
010c,0-2,0,3423,5.0
010c,0-2,0,3511,
010c,0-2,0,3512,5.0
010c,0-2,0,3515,
010c,0-2,0,3522,
010c,0-2,0,4111,8.0
010c,0-2,0,4113,
010c,0-2,0,4114,
010c,0-2,0,4115,
010c,0-2,0,4117,
010c,0-2,0,4119,26.0
010c,0-2,0,4211,
010c,0-2,0,4212,
010c,0-2,0,4221,5.0
010c,0-2,0,4222,41.0
010c,0-2,0,4223,
010c,0-2,0,4224,6.0
010c,0-2,0,4225,9.0
010c,0-2,0,4321,
010c,0-2,0,4322,57.0
010c,0-2,0,4323,
010c,0-2,0,4410,
010c,0-2,0,4420,25.0
010c,0-2,0,5112,
010c,0-2,0,5120,5.0
010c,0-2,0,5131,30.0
010c,0-2,0,5132,8.0
010c,0-2,0,5141,
010c,0-2,0,5152,5.0
010c,0-2,0,5221,9.0
010c,0-2,0,5222,103.0
