age_group,expband,q_t,q_t1,same_code,enters_mgr,n,year
22-25,0-2,0,1,0,0,,2019
22-25,0-2,0,2,0,0,,2019
22-25,0-2,0,3,0,0,,2019
22-25,0-2,1,1,0,0,513.0,2019
22-25,0-2,1,1,1,0,5096.0,2019
22-25,0-2,1,2,0,0,1266.0,2019
22-25,0-2,1,2,0,1,8.0,2019
22-25,0-2,1,3,0,0,401.0,2019
22-25,0-2,1,3,0,1,11.0,2019
22-25,0-2,1,4,0,0,453.0,2019
22-25,0-2,1,4,0,1,,2019
22-25,0-2,2,1,0,0,799.0,2019
22-25,0-2,2,2,0,0,2281.0,2019
22-25,0-2,2,2,0,1,,2019
22-25,0-2,2,2,1,0,16997.0,2019
22-25,0-2,2,3,0,0,1340.0,2019
22-25,0-2,2,3,0,1,38.0,2019
22-25,0-2,2,4,0,0,1548.0,2019
22-25,0-2,2,4,0,1,8.0,2019
22-25,0-2,3,1,0,0,118.0,2019
22-25,0-2,3,2,0,0,615.0,2019
22-25,0-2,3,2,0,1,6.0,2019
22-25,0-2,3,3,0,0,730.0,2019
22-25,0-2,3,3,0,1,23.0,2019
22-25,0-2,3,3,1,0,7592.0,2019
22-25,0-2,3,4,0,0,1134.0,2019
22-25,0-2,3,4,0,1,12.0,2019
22-25,0-2,4,1,0,0,96.0,2019
22-25,0-2,4,2,0,0,505.0,2019
22-25,0-2,4,2,0,1,,2019
22-25,0-2,4,3,0,0,795.0,2019
22-25,0-2,4,3,0,1,37.0,2019
22-25,0-2,4,4,0,0,2189.0,2019
22-25,0-2,4,4,0,1,40.0,2019
22-25,0-2,4,4,1,0,12200.0,2019
22-25,11-20,1,1,0,0,,2019
22-25,11-20,1,1,1,0,12.0,2019
22-25,11-20,2,2,0,0,5.0,2019
22-25,11-20,2,2,1,0,10.0,2019
22-25,11-20,2,3,0,0,,2019
22-25,3-5,0,0,1,0,,2019
22-25,3-5,0,1,0,0,,2019
22-25,3-5,0,2,0,0,,2019
22-25,3-5,0,4,0,0,,2019
22-25,3-5,1,1,0,0,1707.0,2019
22-25,3-5,1,1,1,0,17557.0,2019
