grp,expband,fresh,n,ws,wh
01Z,11-20,0,239.0,5503.3699918,0.0
01Z,11-20,1,623.0,15312.5400647,0.0
01Z,21+,0,1485.0,33457.0101401,12.0
01Z,21+,1,3207.0,69933.98031976,14.0
01Z,6-10,0,18.0,247.29000279999997,0.0
01Z,6-10,1,35.0,800.4300046,0.0
01Z,na,0,25481.0,629425.42266499,538.0
01Z,na,1,59636.0,1418694.81684231,568.0
02Z,0-2,0,2245.0,65677.76057059,108.0
02Z,0-2,1,31346.0,922686.28868706,975.0
02Z,11-20,0,17991.0,607194.92439284,1526.0
02Z,11-20,1,28598.0,1004493.32709418,2328.0
02Z,21+,0,21665.0,833893.87428933,2771.0
02Z,21+,1,41045.0,1576433.45792519,4898.0
02Z,3-5,0,3924.0,114249.43093604001,131.0
02Z,3-5,1,12539.0,382467.92298378,371.0
02Z,6-10,0,8051.0,255956.27213509,461.0
02Z,6-10,1,14199.0,463570.61350884,671.0
02Z,na,0,61806.0,2073678.58925563,5502.0
02Z,na,1,111653.0,3518243.73281079,7292.0
03A,0-2,0,12734.0,490091.8852944,1165.0
03A,0-2,1,35530.0,1406868.8065490401,3080.0
03A,11-20,0,26834.0,1390516.93872436,6932.0
03A,11-20,1,53267.0,2643343.77401954,12355.0
03A,21+,0,38880.0,2170686.77839314,12468.0
03A,21+,1,88672.0,4611100.48338467,24802.0
03A,3-5,0,8533.0,357337.33428885,1024.0
03A,3-5,1,17069.0,707151.55765741,1937.0
03A,6-10,0,11704.0,538570.00545689,2120.0
03A,6-10,1,23696.0,1062433.82850151,3881.0
03A,na,0,13538.0,423651.52136327,1086.0
03A,na,1,29960.0,930328.92176581,1904.0
03N,0-2,0,6738.0,261247.63264398,666.0
03N,0-2,1,13413.0,530630.62551178,1250.0
03N,11-20,0,3196.0,178279.89101976,989.0
03N,11-20,1,6478.0,330088.20163713,1619.0
03N,21+,0,7315.0,454361.74170889,2950.0
03N,21+,1,14650.0,841268.7520581,5194.0
03N,3-5,0,2327.0,98748.931005,301.0
03N,3-5,1,3617.0,148220.75159888002,401.0
03N,6-10,0,1833.0,82708.7308038,317.0
03N,6-10,1,3923.0,177468.20125798,549.0
03N,na,0,229.0,11153.7601115,38.0
03N,na,1,716.0,28060.58005426,90.0
03T,0-2,0,3450.0,130747.26130738,327.0
03T,0-2,1,8564.0,318802.80301639996,767.0
03T,11-20,0,353.0,15058.72015304,42.0
03T,11-20,1,970.0,39148.18032036,147.0
03T,21+,1,15.0,552.6,0.0
03T,3-5,0,2176.0,86885.37081038,271.0
03T,3-5,1,4103.0,160594.7413211,467.0
03T,6-10,0,1789.0,78890.16073123,305.0
03T,6-10,1,3891.0,170504.9211838,666.0
03T,na,0,16.0,349.2300006,0.0
03T,na,1,44.0,1814.0300385,6.0
13Z,11-20,0,54.0,3158.709953,0.0
13Z,11-20,1,119.0,4794.8099865,0.0
13Z,21+,0,226.0,11947.649948200002,24.0
13Z,21+,1,514.0,21972.4998826,60.0
13Z,na,0,69.0,2146.8200299,0.0
13Z,na,1,369.0,12238.6899737,18.0
14P,0-2,0,10144.0,477985.8319428,1554.0
14P,0-2,1,22061.0,1182718.1053435,5350.0
14P,11-20,0,2470.0,148010.5203277,791.0
14P,11-20,1,8833.0,498680.18932768,2483.0
14P,21+,0,833.0,53066.2300248,330.0
14P,21+,1,2744.0,165165.009824,927.0
14P,3-5,0,803.0,43823.0800086,206.0
14P,3-5,1,3225.0,180704.1391612,907.0
14P,6-10,0,1087.0,61433.400127600005,309.0
14P,6-10,1,4110.0,231465.35948938,1101.0
15B,0-2,0,683.0,37751.810749000004,18.0
15B,0-2,1,6820.0,418559.15264100005,104.0
15B,11-20,0,704.0,43914.200879799995,40.0
15B,11-20,1,6357.0,397857.4972523,611.0
15B,21+,0,5866.0,369156.1943594,953.0
15B,21+,1,27128.0,1669846.9862967,2832.0
