inr,expband,fresh,n,ws,wh
010c,0-2,0,1103.0,44257.8305395,118.0
010c,0-2,1,484.0,20003.5103118,52.0
010c,11-20,0,116.0,7947.3600910000005,53.0
010c,11-20,1,247.0,15282.550066,99.0
010c,3-5,0,128.0,5613.7201024,20.0
010c,3-5,1,88.0,4201.07008,16.0
010c,6-10,0,63.0,3802.360086,18.0
010c,6-10,1,64.0,3597.790081,17.0
140z,0-2,1,35.0,3117.599985,35.0
140z,11-20,0,23.0,1730.8599760000002,18.0
140z,11-20,1,105.0,8137.239842000001,77.0
140z,3-5,1,65.0,5677.409901,65.0
140z,6-10,1,102.0,8288.609831,80.0
140z,na,0,251.0,8711.8500692,22.0
140z,na,1,341.0,14587.1199751,54.0
142z,0-2,0,451.0,25226.4301441,143.0
142z,0-2,1,1435.0,96748.9898923,653.0
142z,11-20,0,981.0,73310.909978,559.0
142z,11-20,1,3351.0,241139.1191858,1794.0
142z,21+,0,589.0,43466.000108,345.0
142z,21+,1,684.0,49965.239844,420.0
142z,3-5,0,358.0,25423.580063,197.0
142z,3-5,1,1742.0,126977.5595799,949.0
142z,6-10,0,510.0,35939.50999,258.0
142z,6-10,1,2321.0,167126.3591494,1203.0
142z,na,0,80.0,3286.5799951,18.0
142z,na,1,93.0,3904.4300024000004,14.0
143a,0-2,0,709.0,36826.7906811,14.0
143a,0-2,1,6714.0,412726.562608,85.0
143a,11-20,0,913.0,56906.9111348,65.0
143a,11-20,1,6143.0,385570.08751630003,490.0
143a,21+,0,12125.0,748036.6913772001,1496.0
143a,21+,1,28936.0,1790511.4900187002,2905.0
143a,3-5,0,697.0,41536.920985,18.0
143a,3-5,1,6161.0,379935.1610486,130.0
143a,6-10,0,748.0,45731.4011138,23.0
143a,6-10,1,5589.0,348227.897949,350.0
143a,na,0,4231.0,264314.713722,497.0
143a,na,1,1085.0,60211.920652,118.0
143b,0-2,0,31.0,1840.549982,6.0
143b,0-2,1,1419.0,89991.129422,198.0
143b,11-20,0,107.0,6757.790013,14.0
143b,11-20,1,1927.0,124097.16901900001,385.0
143b,21+,0,2697.0,164671.369716,473.0
143b,21+,1,7789.0,488400.78695190005,1531.0
143b,3-5,0,45.0,2935.349967,11.0
143b,3-5,1,1231.0,78821.36946300001,197.0
143b,6-10,0,25.0,1543.5800160000001,0.0
143b,6-10,1,892.0,57684.929456,185.0
143b,na,0,465.0,28816.029894,75.0
143b,na,1,132.0,7175.449929,19.0
143x,0-2,0,4824.0,212363.13174450002,274.0
143x,0-2,1,6802.0,340227.032119,583.0
143x,11-20,0,84.0,4643.200062,5.0
143x,11-20,1,415.0,23281.020258,36.0
143x,21+,0,111.0,6357.120056,20.0
143x,21+,1,282.0,16534.560091,50.0
143x,3-5,0,313.0,15158.470129,23.0
143x,3-5,1,833.0,42876.9603652,66.0
143x,6-10,0,180.0,9397.770156,13.0
143x,6-10,1,866.0,47737.7207173,59.0
143x,na,0,107.0,3794.4600322,8.0
143x,na,1,165.0,6448.6600422,9.0
144a,0-2,0,64.0,4238.859913,41.0
144a,0-2,1,2856.0,213362.84223900002,2631.0
144a,11-20,0,250.0,17275.679681,142.0
144a,11-20,1,2732.0,196475.7447384,1908.0
144a,21+,0,2651.0,187594.485607,1666.0
144a,21+,1,5108.0,363744.420212,3366.0
144a,3-5,0,46.0,3414.469887,41.0
144a,3-5,1,2182.0,163416.543955,2034.0
144a,6-10,0,58.0,3903.2899420000003,32.0
144a,6-10,1,1578.0,115626.37646999999,1259.0
144a,na,0,6084.0,438160.0077225,4259.0
144a,na,1,1501.0,85733.0981075,650.0
144b,0-2,0,13.0,985.0099610000001,13.0
144b,0-2,1,855.0,64057.487607,797.0
144b,11-20,0,438.0,31571.819432,269.0
144b,11-20,1,6805.0,494593.67590200005,5031.0
144b,21+,0,233.0,17829.249653,172.0
144b,21+,1,2741.0,203735.76373,2151.0
144b,3-5,0,16.0,1127.179982,10.0
144b,3-5,1,874.0,64847.917772,764.0
144b,6-10,0,126.0,8352.750002,48.0
144b,6-10,1,2851.0,202814.345595,1864.0
144c,0-2,1,787.0,59129.017763,747.0
144c,11-20,0,495.0,35315.769455,290.0
144c,11-20,1,7225.0,524489.125034,5254.0
144c,21+,0,867.0,63287.40862,574.0
144c,21+,1,6853.0,502416.6251410001,5037.0
144c,3-5,0,17.0,1288.0899490000002,17.0
144c,3-5,1,835.0,62479.777745,762.0
144c,6-10,0,70.0,4766.359966,32.0
144c,6-10,1,2293.0,167580.575099,1753.0
144d,0-2,1,303.0,22704.809165000002,285.0
144d,11-20,0,92.0,6212.919974,39.0
144d,11-20,1,1255.0,89594.12797700001,803.0
144d,21+,1,30.0,2273.09991,30.0
144d,3-5,1,410.0,30427.159011000003,354.0
144d,6-10,0,66.0,4335.090027,19.0
144d,6-10,1,1242.0,87014.12854,722.0
144x,0-2,0,3063.0,148565.2007063,522.0
144x,0-2,1,4490.0,256023.3471519,1711.0
144x,11-20,0,698.0,44829.630140400004,198.0
144x,11-20,1,5976.0,404427.74567040004,2728.0
144x,21+,0,57.0,3888.859892,36.0
144x,21+,1,259.0,16081.4297188,114.0
144x,3-5,0,220.0,12633.2499776,74.0
144x,3-5,1,1020.0,66364.419163,471.0
144x,6-10,0,745.0,45522.1605817,122.0
144x,6-10,1,7544.0,505463.8070436,3085.0
144x,na,0,190.0,9290.3298163,77.0
144x,na,1,407.0,25301.399297699998,257.0
145a,0-2,0,18.0,1352.239974,11.0
145a,0-2,1,662.0,49446.419042,396.0
145a,11-20,0,498.0,36696.7496788,261.0
145a,11-20,1,5140.0,377928.73353100003,2797.0
145a,21+,0,528.0,39655.839803,262.0
145a,21+,1,2811.0,205289.1374309,1373.0
145a,3-5,0,29.0,2174.0899689999997,15.0
145a,3-5,1,686.0,51195.189143,371.0
145a,6-10,0,84.0,6215.60994,42.0
145a,6-10,1,1552.0,115222.92830700001,790.0
145a,na,0,45.0,2624.959978,13.0
145a,na,1,46.0,2693.169939,18.0
145b,0-2,0,32.0,2245.859981,14.0
145b,0-2,1,916.0,67469.68855199999,554.0
145b,11-20,0,412.0,28780.1298927,151.0
145b,11-20,1,5355.0,387473.8234876,2677.0
145b,21+,0,453.0,33638.379793,191.0
145b,21+,1,2213.0,163056.107617,1125.0
145b,3-5,0,36.0,2696.1799680000004,17.0
145b,3-5,1,1059.0,78979.168542,607.0
145b,6-10,0,92.0,6853.879913,47.0
145b,6-10,1,2076.0,152539.727442,1059.0
145c,0-2,0,60.0,4449.639939000001,26.0
145c,0-2,1,1187.0,88599.778154,735.0
145c,11-20,0,465.0,32338.959711,191.0
145c,11-20,1,5557.0,407722.02325759997,2941.0
145c,21+,0,623.0,46143.4497,284.0
145c,21+,1,3233.0,236915.1769738,1617.0
145c,3-5,0,65.0,4836.529918,33.0
145c,3-5,1,1361.0,100891.958228,741.0
145c,6-10,0,189.0,12891.2999324,57.0
145c,6-10,1,2727.0,201829.106414,1497.0
145c,na,0,33.0,2478.829953,20.0
145c,na,1,44.0,3307.3199320000003,28.0
145d,0-2,1,80.0,5993.539924000001,39.0
145d,11-20,0,16.0,1185.760016,0.0
145d,11-20,1,329.0,24352.259757,124.0
145d,21+,0,14.0,1037.540014,0.0
145d,21+,1,84.0,6190.879956,26.0
145d,3-5,1,71.0,5319.909931,35.0
145d,6-10,1,170.0,12620.159854,71.0
145e,0-2,1,71.0,5334.849894999999,44.0
145e,11-20,0,14.0,1052.479978,9.0
145e,11-20,1,258.0,18975.639804,96.0
145e,21+,1,26.0,1945.119982,11.0
145e,3-5,1,94.0,7069.259846000001,62.0
145e,6-10,0,13.0,976.709981,8.0
145e,6-10,1,184.0,13690.129817000001,85.0
145f,0-2,0,26.0,1951.759966,15.0
145f,0-2,1,906.0,67183.688784,500.0
145f,11-20,0,173.0,12867.389912,67.0
145f,11-20,1,3378.0,247484.616909,1479.0
145f,21+,0,161.0,12145.309948999999,63.0
145f,21+,1,751.0,55832.529617,303.0
145f,3-5,0,47.0,3490.849975,16.0
145f,3-5,1,999.0,74105.858851,504.0
145f,6-10,0,87.0,6590.829942,39.0
145f,6-10,1,1849.0,137094.378268,847.0
145f,na,1,13.0,976.709981,8.0
145g,0-2,1,112.0,8438.09978,83.0
145g,11-20,0,13.0,985.0099610000001,13.0
145g,11-20,1,431.0,31943.869293,259.0
145g,21+,1,205.0,15076.089581,132.0
145g,3-5,1,161.0,12107.669737,106.0
145g,6-10,1,287.0,21424.739493,188.0
145h,0-2,1,296.0,22340.719282,252.0
145h,11-20,0,17.0,1276.469977,10.0
145h,11-20,1,614.0,45282.10908,359.0
145h,21+,1,33.0,2485.4699370000003,24.0
145h,3-5,1,371.0,27630.829246,268.0
145h,6-10,0,19.0,1424.689979,10.0
145h,6-10,1,602.0,44632.3889,396.0
145i,0-2,1,211.0,15907.789559,163.0
145i,11-20,0,44.0,3317.2799080000004,34.0
145i,11-20,1,885.0,65421.538599,526.0
145i,21+,0,50.0,3739.039909,33.0
145i,21+,1,411.0,30398.469249000005,270.0
145i,3-5,0,14.0,1052.479978,9.0
145i,3-5,1,332.0,24998.979328,249.0
145i,6-10,0,19.0,1428.009971,12.0
145i,6-10,1,629.0,46846.448827,422.0
145x,0-2,0,4000.0,190703.0905022,738.0
145x,0-2,1,5092.0,286737.2978898,1630.0
145x,11-20,0,455.0,30710.299957,212.0
145x,11-20,1,2339.0,157276.1185447,963.0
145x,21+,0,3796.0,275875.4890096,1570.0
145x,21+,1,3254.0,217190.7892519,1182.0
145x,3-5,0,256.0,14076.4500548,64.0
145x,3-5,1,863.0,52971.7693806,363.0
145x,6-10,0,229.0,15081.580036,76.0
145x,6-10,1,1354.0,94911.69893500001,621.0
145x,na,0,162.0,9102.2798962,58.0
145x,na,1,151.0,8082.2399468,43.0
146a,11-20,0,46.0,2567.279927,5.0
146a,11-20,1,287.0,16269.079494,47.0
146a,21+,0,1156.0,62756.6386968,210.0
146a,21+,1,1264.0,64878.20866276,200.0
146a,3-5,1,29.0,1539.249937,5.0
146a,6-10,0,26.0,1257.099948,0.0
146a,6-10,1,271.0,14893.009500999999,35.0
146a,na,1,14.0,299.34,0.0
146b,11-20,1,50.0,2895.869917,7.0
146b,21+,0,148.0,9897.169871,47.0
146b,21+,1,117.0,7273.609893,24.0
146b,6-10,1,14.0,805.699987,0.0
146c,11-20,1,77.0,4599.619839,22.0
146c,21+,1,11.0,531.849978,0.0
146c,6-10,1,65.0,3793.8798970000003,16.0
146d,11-20,1,46.0,2676.959923,9.0
146d,21+,0,93.0,4511.609971899999,15.0
146d,21+,1,250.0,9836.2398939,20.0
146d,6-10,1,19.0,1047.449977,0.0
146e,11-20,0,29.0,1556.7099600000001,0.0
146e,11-20,1,209.0,12189.219776,23.0
146e,21+,0,1441.0,82115.699848,317.0
146e,21+,1,918.0,50881.659528,159.0
146e,3-5,1,24.0,1340.719973,0.0
146e,6-10,1,100.0,5632.189842,9.0
146e,na,0,92.0,5132.42997,18.0
146e,na,1,26.0,735.76,0.0
146f,11-20,1,21.0,1569.589989,8.0
146f,3-5,1,12.0,889.3200119999999,0.0
146f,6-10,1,30.0,2272.76001,11.0
146g,0-2,0,12.0,889.139979,7.0
146g,0-2,1,360.0,26729.019437,207.0
146g,11-20,0,72.0,5279.639989,20.0
146g,11-20,1,1074.0,77763.229138,404.0
