design,arm,young_band,term,coef,se,n_obs,status
OL_daioe,true,22-25,post_rb_x_high_x_young,0.0328443963422932,0.0084639069211857,26410806,ok
OL_daioe,true,22-25,s_launch,-0.0269778135089504,0.0100570529580075,26410806,ok
OL_daioe,true,22-25,s_copilot,0.0685621672498138,0.0146709257583642,26410806,ok
OL_daioe,true,22-25,s_adoption,-0.058403115616694,0.0167012094010826,26410806,ok
OL_daioe,asof,22-25,post_rb_x_high_x_young,0.0343446400995617,0.0090893873988002,26441856,ok
OL_daioe,asof,22-25,s_launch,-0.0223873764066883,0.0104863675571786,26441856,ok
OL_daioe,asof,22-25,s_copilot,0.0735352616969671,0.0145215433173936,26441856,ok
OL_daioe,asof,22-25,s_adoption,-0.0487956720917887,0.0179491087791711,26441856,ok
entrant,true,22-25,post_rb_x_high_x_young,0.0253066960495768,0.0086364679040233,26410806,ok
entrant,true,22-25,s_launch,-0.0275813025110225,0.0102307648291812,26410806,ok
entrant,true,22-25,s_copilot,0.061185034551225,0.0157841932012117,26410806,ok
entrant,true,22-25,s_adoption,-0.0598165330747656,0.0167394155330152,26410806,ok
OL_daioe,true,26-30,post_rb_x_high_x_young,0.0240959644324159,0.0041868823179801,30535812,ok
OL_daioe,true,26-30,s_launch,-0.005519516977487,0.0055062246940805,30535812,ok
OL_daioe,true,26-30,s_copilot,0.0263372363420193,0.0072637831761962,30535812,ok
OL_daioe,true,26-30,s_adoption,-0.0441059482005848,0.0104177083318104,30535812,ok
OL_daioe,asof,26-30,post_rb_x_high_x_young,0.0231944153471566,0.0041651290648202,30576096,ok
OL_daioe,asof,26-30,s_launch,-0.0047148311380436,0.0055498525908935,30576096,ok
OL_daioe,asof,26-30,s_copilot,0.0270180087377006,0.0072283247538563,30576096,ok
OL_daioe,asof,26-30,s_adoption,-0.0430396266810941,0.0106762391529987,30576096,ok
entrant,true,26-30,post_rb_x_high_x_young,0.0217829859521952,0.0042113237385127,30535812,ok
entrant,true,26-30,s_launch,-0.0036173726559586,0.0055314056424486,30535812,ok
entrant,true,26-30,s_copilot,0.0270767549106155,0.0072487380170872,30535812,ok
entrant,true,26-30,s_adoption,-0.0404037446899381,0.0107387705957623,30535812,ok
