age_group,coef,se,pvalue,n_obs,status,measure,outcome,dating,post_from
22-25,0.0080816930088061,0.0125571448493434,0.519839262339903,11208600,ok,daioe,stock,launch,2022-12
26-30,0.0130763471994516,0.009247331764902,0.157342215001423,11208600,ok,daioe,stock,launch,2022-12
31-34,0.0090915833507163,0.0088851029039382,0.306194881834598,11208600,ok,daioe,stock,launch,2022-12
35-40,-0.0044245878478739,0.0083428496522422,0.595872814330461,11208600,ok,daioe,stock,launch,2022-12
41-49,-0.0193200345371701,0.0089128411726142,0.0301843493653902,11208600,ok,daioe,stock,launch,2022-12
50+,0.0356706231812655,0.0143715561308941,0.0130636538785489,11208600,ok,daioe,stock,launch,2022-12
22-25,-0.0132258112621147,0.0112067266335092,0.237933719163657,11208600,ok,daioe,stock,adoption,2024-01
26-30,-0.0016098282499827,0.0077279286124699,0.834984555804105,11208600,ok,daioe,stock,adoption,2024-01
31-34,0.0039019709941702,0.0072980727459256,0.592886557164141,11208600,ok,daioe,stock,adoption,2024-01
35-40,-0.0027666770213242,0.0066834571806061,0.678904158830256,11208600,ok,daioe,stock,adoption,2024-01
41-49,-0.0208487363503857,0.0073187053692591,0.0043899376614846,11208600,ok,daioe,stock,adoption,2024-01
50+,0.0315505186695906,0.0110262000973604,0.0042175647202128,11208600,ok,daioe,stock,adoption,2024-01
22-25,0.0016855592226373,0.0087078455844809,0.846514249299479,10232196,ok,eloundou,stock,launch,2022-12
26-30,0.0030983899373654,0.0068451961961175,0.65081006009922,10232196,ok,eloundou,stock,launch,2022-12
31-34,-0.0012132703478208,0.0065425379829339,0.85288128724858,10232196,ok,eloundou,stock,launch,2022-12
35-40,-0.0144797639385875,0.0064836811270527,0.0255316184196026,10232196,ok,eloundou,stock,launch,2022-12
41-49,-0.0320080470518124,0.0068922601466863,3.41633703731825e-06,10232196,ok,eloundou,stock,launch,2022-12
50+,0.0183635918505344,0.0128266057109707,0.15223549000945,10232196,ok,eloundou,stock,launch,2022-12
22-25,-0.0131530473602121,0.0085218482864412,0.122721612414146,10232196,ok,eloundou,stock,adoption,2024-01
26-30,-0.0053602612931164,0.0061294383299632,0.381840027995775,10232196,ok,eloundou,stock,adoption,2024-01
31-34,-0.0028480503749058,0.0057315293023236,0.619252993145834,10232196,ok,eloundou,stock,adoption,2024-01
35-40,-0.0106296199228716,0.0054727823656769,0.0521044467388665,10232196,ok,eloundou,stock,adoption,2024-01
41-49,-0.0310521050391267,0.0059328681275198,1.65960191861832e-07,10232196,ok,eloundou,stock,adoption,2024-01
50+,0.0151504639360937,0.0101449454181158,0.135332449828093,10232196,ok,eloundou,stock,adoption,2024-01
22-25,0.0175928767496201,0.0113698711552457,0.121785089932087,11208600,ok,telework,stock,launch,2022-12
