outcome,spec,term,coef,se,n_obs,n_cells,status
stock,pooled,post_rb_x_expo,0.0199634316219174,0.0083003393595653,11208600,143700,ok
stock,pooled,post_rb_x_tele,-0.0047617483905868,0.0065863320593779,11208600,143700,ok
stock,pooled,post_gpt_x_expo,-0.0047428316857269,0.0104641626229282,11208600,143700,ok
stock,pooled,post_gpt_x_tele,0.014800430564224,0.0093979143168865,11208600,143700,ok
stock,by_age,post_rb_x_expo,0.0198649580805976,0.0082930142585819,11208600,143700,ok
stock,by_age,post_rb_x_tele,-0.0046772171914815,0.006568256343494,11208600,143700,ok
stock,by_age,gpt_x_expo_22_25,-0.0061653788575913,0.0151785433647931,11208600,143700,ok
stock,by_age,gpt_x_expo_26_30,0.0059150349886336,0.0124997075681004,11208600,143700,ok
stock,by_age,gpt_x_expo_31_34,0.0064868885367649,0.0117973938008358,11208600,143700,ok
stock,by_age,gpt_x_expo_35_40,-0.0128449774139303,0.011955157269682,11208600,143700,ok
stock,by_age,gpt_x_expo_41_49,-0.0567529816245288,0.0140519152598309,11208600,143700,ok
stock,by_age,gpt_x_expo_50p,0.0199453086101217,0.0161950042248292,11208600,143700,ok
stock,by_age,t_22_25,0.0206391702723584,0.0129893823895,11208600,143700,ok
stock,by_age,t_26_30,0.0101144696784152,0.0102416862410252,11208600,143700,ok
stock,by_age,t_31_34,0.0043113828121418,0.0100521412978659,11208600,143700,ok
stock,by_age,t_35_40,0.011228740606758,0.0109769561408766,11208600,143700,ok
stock,by_age,t_41_49,0.0456178639040575,0.0133726858124744,11208600,143700,ok
stock,by_age,t_50p,0.0198875067434249,0.0124276768829564,11208600,143700,ok
hires,pooled,post_rb_x_expo,0.0104748946478792,0.0157281355026305,11013772,143036,ok
hires,pooled,post_rb_x_tele,0.0022443558231329,0.0112064349385339,11013772,143036,ok
hires,pooled,post_gpt_x_expo,-0.0394736925665268,0.016935276065255,11013772,143036,ok
hires,pooled,post_gpt_x_tele,0.0290082347245289,0.0163012822081014,11013772,143036,ok
hires,by_age,post_rb_x_expo,0.0103009850278219,0.0157311224162616,11013772,143036,ok
hires,by_age,post_rb_x_tele,0.0021448181675977,0.0112246147718083,11013772,143036,ok
hires,by_age,gpt_x_expo_22_25,-0.060578209095122,0.0331565151719429,11013772,143036,ok
hires,by_age,gpt_x_expo_26_30,-0.0415249623196988,0.0197507603137815,11013772,143036,ok
hires,by_age,gpt_x_expo_31_34,-0.0192125770171574,0.0181404647819732,11013772,143036,ok
hires,by_age,gpt_x_expo_35_40,-0.0339089542906111,0.0187405719916712,11013772,143036,ok
hires,by_age,gpt_x_expo_41_49,-0.0711014515069072,0.0178059567366576,11013772,143036,ok
hires,by_age,gpt_x_expo_50p,0.0436123739012186,0.0376031495228824,11013772,143036,ok
hires,by_age,t_22_25,0.0457062214282854,0.0240541152109483,11013772,143036,ok
hires,by_age,t_26_30,0.0266216931996019,0.0165205629717723,11013772,143036,ok
hires,by_age,t_31_34,0.0094266506280135,0.0160409834446172,11013772,143036,ok
hires,by_age,t_35_40,0.0135446288789213,0.0177817082395095,11013772,143036,ok
hires,by_age,t_41_49,0.0443155250973313,0.0177257561703845,11013772,143036,ok
hires,by_age,t_50p,-0.0279227876739769,0.0293403214835364,11013772,143036,ok
