year_month,age_group,exposure_quartile,n_emp,share_of_coded
2019-01,22-25,1,93212,0.2847602608948019
2019-01,22-25,2,153669,0.4694548398429743
2019-01,22-25,3,35997,0.1099699085035208
2019-01,22-25,4,44457,0.1358149907587028
2019-01,26-30,1,126934,0.2322633296066487
2019-01,26-30,2,199974,0.3659116318303999
2019-01,26-30,3,84816,0.1551959803040755
2019-01,26-30,4,134785,0.2466290582588758
2019-01,31-34,1,88336,0.2069485767834133
2019-01,31-34,2,138604,0.324713599625161
2019-01,31-34,3,77383,0.1812885088438561
2019-01,31-34,4,122527,0.2870493147475694
2019-01,35-40,1,117992,0.1918057623658081
2019-01,35-40,2,183440,0.298196903589937
2019-01,35-40,3,123467,0.2007058280393521
2019-01,35-40,4,190265,0.3092915060049027
2019-01,41-49,1,184514,0.1862301104679622
2019-01,41-49,2,277276,0.2798548625584763
2019-01,41-49,3,215232,0.2172338095550497
2019-01,41-49,4,313763,0.3166812174185116
2019-01,50+,1,383193,0.2183117448394992
2019-01,50+,2,521627,0.2971800124882068
2019-01,50+,3,373929,0.2130338822371209
2019-01,50+,4,476507,0.271474360435173
2019-02,22-25,1,90729,0.283815488181784
2019-02,22-25,2,149814,0.468643251291933
2019-02,22-25,3,35364,0.110624507313655
2019-02,22-25,4,43769,0.1369167532126277
2019-02,26-30,1,125584,0.2316035239203521
2019-02,26-30,2,198155,0.3654398353487497
2019-02,26-30,3,84318,0.1555002701770628
2019-02,26-30,4,134180,0.2474563705538353
2019-02,31-34,1,87557,0.2059118189343768
2019-02,31-34,2,138197,0.3250042331426851
2019-02,31-34,3,77007,0.181100899307646
2019-02,31-34,4,122455,0.287983048615292
2019-02,35-40,1,117249,0.1911429549567173
2019-02,35-40,2,183103,0.2985001874765654
2019-02,35-40,3,122952,0.2004401623710079
2019-02,35-40,4,190106,0.3099166951957092
2019-02,41-49,1,183661,0.1861469930927537
2019-02,41-49,2,276532,0.2802750736080353
2019-02,41-49,3,213817,0.2167111777792418
2019-02,41-49,4,312635,0.3168667555199692
2019-02,50+,1,379611,0.218159969380331
2019-02,50+,2,516727,0.2969596415751659
2019-02,50+,3,370642,0.2130055434933778
2019-02,50+,4,473078,0.2718748455511253
2019-03,22-25,1,91069,0.2848585700924932
2019-03,22-25,2,149296,0.4669892617743565
2019-03,22-25,3,35639,0.1114767328017916
2019-03,22-25,4,43695,0.1366754353313585
2019-03,26-30,1,125892,0.2320106595308258
2019-03,26-30,2,197791,0.3645157782802845
2019-03,26-30,3,84605,0.1559214394052483
2019-03,26-30,4,134325,0.2475521227836414
2019-03,31-34,1,88218,0.2070028721067748
2019-03,31-34,2,138230,0.324355653169642
2019-03,31-34,3,77125,0.1809732312139813
2019-03,31-34,4,122595,0.2876682435096018
2019-03,35-40,1,117927,0.1915503252686207
2019-03,35-40,2,183571,0.2981767089800128
2019-03,35-40,3,123351,0.2003605974222157
2019-03,35-40,4,190796,0.3099123683291507
2019-03,41-49,1,184739,0.1864927780851124
2019-03,41-49,2,277377,0.2800102160719405
2019-03,41-49,3,214810,0.2168492503502941
2019-03,41-49,4,313670,0.3166477554926529
2019-03,50+,1,380117,0.2174882234907673
