year_month,age_group,vintage,n_emp,share
2023-01,22-25,2021,162,0.0004442506560924
2023-01,22-25,2022,1622,0.0044479911369251
2023-01,22-25,2023,362875,0.9951077582069824
2023-01,26-30,2021,321,0.000570083914221
2023-01,26-30,2022,3119,0.0055392265683967
2023-01,26-30,2023,559635,0.9938906895173822
2023-01,31-34,2021,292,0.0005379325336806
2023-01,31-34,2022,2637,0.0048579729154653
2023-01,31-34,2023,539890,0.994604094550854
2023-01,35-40,2021,433,0.00058081902189
2023-01,35-40,2022,3120,0.0041851162778219
2023-01,35-40,2023,741946,0.995234064700288
2023-01,41-49,2021,477,0.0004459014922275
2023-01,41-49,2022,3162,0.0029558501434456
2023-01,41-49,2023,1066104,0.9965982483643268
2023-01,50+,2021,1109,0.0005408856380475
2023-01,50+,2022,6622,0.0032297066683054
2023-01,50+,2023,2042610,0.9962294076936472
2023-02,22-25,2021,100,0.0002878559338622
2023-02,22-25,2022,1396,0.0040184688367166
2023-02,22-25,2023,345900,0.9956936752294212
2023-02,26-30,2021,194,0.0003511375771507
2023-02,26-30,2022,2809,0.005084254918641
2023-02,26-30,2023,549487,0.9945646075042084
2023-02,31-34,2021,226,0.000420206347347
2023-02,31-34,2022,2433,0.004523725854404
2023-02,31-34,2023,535172,0.9950560677982488
2023-02,35-40,2021,363,0.0004903682489935
2023-02,35-40,2022,2951,0.0039864371977413
2023-02,35-40,2023,736946,0.9955231945532652
2023-02,41-49,2021,384,0.0003613029487589
2023-02,41-49,2022,2958,0.0027831617771588
2023-02,41-49,2023,1059478,0.996855535274082
2023-02,50+,2021,654,0.0003211860507031
2023-02,50+,2022,6329,0.0031082362613157
2023-02,50+,2023,2029220,0.996570577687981
2023-03,22-25,2021,88,0.0002504054861565
2023-03,22-25,2022,1338,0.0038073015963349
2023-03,22-25,2023,350004,0.9959422929175084
2023-03,26-30,2021,210,0.0003774548042806
2023-03,26-30,2022,2634,0.0047343616879778
2023-03,26-30,2023,553514,0.9948881835077414
2023-03,31-34,2021,229,0.000423115013377
2023-03,31-34,2022,2284,0.0042200641508876
2023-03,31-34,2023,538711,0.9953568208357352
2023-03,35-40,2021,378,0.0005076237567918
2023-03,35-40,2022,2732,0.0036688574168128
2023-03,35-40,2023,741536,0.9958235188263954
2023-03,41-49,2021,406,0.0003794846486308
2023-03,41-49,2022,2779,0.0025975069914905
2023-03,41-49,2023,1066687,0.9970230083598786
2023-03,50+,2021,697,0.0003397363314617
2023-03,50+,2022,5788,0.0028212250882363
2023-03,50+,2023,2045106,0.996839038580302
2023-04,22-25,2021,78,0.0002167889115251
2023-04,22-25,2022,1218,0.0033852422338151
2023-04,22-25,2023,358501,0.9963979688546596
2023-04,26-30,2021,206,0.0003676339365385
2023-04,26-30,2022,2421,0.0043205910697076
2023-04,26-30,2023,557713,0.9953117749937538
2023-04,31-34,2021,207,0.0003810589757797
2023-04,31-34,2022,2081,0.0038308392685876
2023-04,31-34,2023,540935,0.9957881017556326
2023-04,35-40,2021,340,0.0004554075629801
2023-04,35-40,2022,2548,0.0034128778543338
2023-04,35-40,2023,743696,0.996131714582686
2023-04,41-49,2021,360,0.0003359644325654
2023-04,41-49,2022,2602,0.0024282762598199
2023-04,41-49,2023,1068580,0.9972357593076148
2023-04,50+,2021,693,0.0003372806033477
2023-04,50+,2022,5307,0.0025828977806157
2023-04,50+,2023,2048669,0.9970798216160364
2023-05,22-25,2021,90,0.000246108074259
2023-05,22-25,2022,1135,0.0031036962698219
2023-05,22-25,2023,364468,0.9966501956559192
2023-05,26-30,2021,197,0.0003469213809231
2023-05,26-30,2022,2218,0.0039059473243028
2023-05,26-30,2023,565437,0.995747131294774
2023-05,31-34,2021,219,0.0003983107260167
2023-05,31-34,2022,1866,0.0033938256381156
2023-05,31-34,2023,547737,0.9962078636358676
2023-05,35-40,2021,335,0.0004442746917264
2023-05,35-40,2022,2402,0.0031855158493338
2023-05,35-40,2023,751301,0.9963702094589396
2023-05,41-49,2021,360,0.0003326191261541
2023-05,41-49,2022,2420,0.0022359396813693
2023-05,41-49,2023,1079539,0.9974314411924764
2023-05,50+,2021,672,0.0003239053733587
2023-05,50+,2022,4919,0.0023709680529045
2023-05,50+,2023,2069089,0.9973051265737368
2023-06,22-25,2021,111,0.0002822158264601
2023-06,22-25,2022,1128,0.0028679229932166
2023-06,22-25,2023,392077,0.9968498611803231
2023-06,26-30,2021,205,0.0003501496249128
2023-06,26-30,2022,2061,0.0035202847655876
2023-06,26-30,2023,583198,0.9961295656094996
2023-06,31-34,2021,195,0.0003489239721504
2023-06,31-34,2022,1709,0.003058005479001
2023-06,31-34,2023,556957,0.9965930705488484
2023-06,35-40,2021,332,0.0004349973729827
2023-06,35-40,2022,2178,0.0028536875854108
2023-06,35-40,2023,760713,0.9967113150416064
2023-06,41-49,2021,342,0.0003138420878757
2023-06,41-49,2022,2202,0.0020207025657967
2023-06,41-49,2023,1087176,0.9976654553463274
2023-06,50+,2021,624,0.0002991558913814
2023-06,50+,2022,4550,0.0021813450413233
2023-06,50+,2023,2080695,0.9975194990672952
2023-07,22-25,2021,152,0.0003706675185516
2023-07,22-25,2022,1068,0.0026044270382445
2023-07,22-25,2023,408851,0.9970249054432038
2023-07,26-30,2021,217,0.0003733821540536
2023-07,26-30,2022,1813,0.0031195476741905
2023-07,26-30,2023,579144,0.9965070701717558
2023-07,31-34,2021,177,0.0003218363216835
2023-07,31-34,2022,1470,0.0026728779258467
2023-07,31-34,2023,548322,0.9970052857524696
2023-07,35-40,2021,286,0.0003814940695012
2023-07,35-40,2022,1883,0.002511724940108
2023-07,35-40,2023,747515,0.9971067809903906
2023-07,41-49,2021,300,0.00028027953212
2023-07,41-49,2022,1926,0.0017993945962106
2023-07,41-49,2023,1068134,0.9979203258716692
2023-07,50+,2021,557,0.0002737213722826
2023-07,50+,2022,3865,0.0018993412995917
2023-07,50+,2023,2030494,0.9978269373281256
2023-08,22-25,2021,177,0.0004407721730815
2023-08,22-25,2022,898,0.0022362339628655
2023-08,22-25,2023,400493,0.9973229938640528
2023-08,26-30,2021,211,0.000367118692431
2023-08,26-30,2022,1480,0.0025750505440664
2023-08,26-30,2023,573055,0.9970578307635024
2023-08,31-34,2021,175,0.0003217284354621
2023-08,31-34,2022,1214,0.0022318761180063
2023-08,31-34,2023,542548,0.9974463954465316
2023-08,35-40,2021,254,0.0003426089536938
2023-08,35-40,2022,1550,0.0020907239300214
2023-08,35-40,2023,739566,0.9975666671162848
2023-08,41-49,2021,272,0.0002572296180991
2023-08,41-49,2022,1578,0.001492310063825
2023-08,41-49,2023,1055571,0.9982504603180756
2023-08,50+,2021,539,0.0002705297715755
2023-08,50+,2022,3286,0.0016492779766179
2023-08,50+,2023,1988562,0.9980801922518066
2023-09,22-25,2021,147,0.0003629369748832
2023-09,22-25,2022,752,0.0018566571776341
2023-09,22-25,2023,404130,0.9977804058474824
2023-09,26-30,2021,197,0.0003376710638181
2023-09,26-30,2022,1260,0.0021597235553849
2023-09,26-30,2023,581951,0.9975026053807968
2023-09,31-34,2021,174,0.0003147982306168
2023-09,31-34,2022,1053,0.0019050720508019
2023-09,31-34,2023,551508,0.9977801297185812
2023-09,35-40,2021,263,0.0003488618878336
2023-09,35-40,2022,1263,0.0016753329442351
2023-09,35-40,2023,752354,0.9979758051679312
2023-09,41-49,2021,276,0.000256854812817
2023-09,41-49,2022,1340,0.0012470487288943
2023-09,41-49,2023,1072921,0.9984960964582884
2023-09,50+,2021,550,0.0002711345700027
2023-09,50+,2022,2867,0.0014133505676325
2023-09,50+,2023,2025096,0.9983155148623648
2023-10,22-25,2021,83,0.0002249926131943
2023-10,22-25,2022,415,0.0011249630659716
2023-10,22-25,2023,368403,0.998650044320834
2023-10,26-30,2021,176,0.0003096318371899
2023-10,26-30,2022,920,0.0016185300580383
2023-10,26-30,2023,567321,0.9980718381047716
2023-10,31-34,2021,163,0.0002977794422572
2023-10,31-34,2022,786,0.001435918046713
2023-10,31-34,2023,546436,0.9982663025110298
2023-10,35-40,2021,254,0.0003382576004751
2023-10,35-40,2022,1060,0.0014116262067073
2023-10,35-40,2023,749593,0.9982501161928174
2023-10,41-49,2021,280,0.0002605097058473
2023-10,41-49,2022,1083,0.0010076143265451
2023-10,41-49,2023,1073453,0.9987318759676076
2023-10,50+,2021,530,0.0002602266623328
2023-10,50+,2022,2386,0.0011715109742002
2023-10,50+,2023,2033770,0.998568262363467
2023-11,22-25,2021,70,0.0001932207132604
2023-11,22-25,2022,295,0.0008142872915976
2023-11,22-25,2023,361915,0.9989924919951418
2023-11,26-30,2021,154,0.0002732831959227
2023-11,26-30,2022,661,0.0011729882630191
2023-11,26-30,2023,562703,0.9985537285410582
2023-11,31-34,2021,167,0.0003069796511093
2023-11,31-34,2022,592,0.0010882152901601
2023-11,31-34,2023,543251,0.9986048050587304
2023-11,35-40,2021,248,0.0003315188912297
2023-11,35-40,2022,766,0.0010239656075885
2023-11,35-40,2023,747058,0.9986445155011816
2023-11,41-49,2021,250,0.0002333863898392
2023-11,41-49,2022,864,0.0008065833632845
2023-11,41-49,2023,1070071,0.998960030246876
2023-11,50+,2021,524,0.000257456915273
2023-11,50+,2022,1891,0.0009291050129416
2023-11,50+,2023,2032877,0.9988134380717852
2023-12,22-25,2021,61,0.0001668462771398
2023-12,22-25,2022,253,0.0006920017723997
2023-12,22-25,2023,365292,0.9991411519504604
2023-12,26-30,2021,163,0.0002875986745759
2023-12,26-30,2022,546,0.000963367339377
2023-12,26-30,2023,566053,0.9987490339860472
2023-12,31-34,2021,170,0.0003103911659022
2023-12,31-34,2022,498,0.0009092635330548
2023-12,31-34,2023,547028,0.9987803453010428
2023-12,35-40,2021,255,0.0003383223721307
2023-12,35-40,2022,641,0.0008504495707286
2023-12,35-40,2023,752823,0.9988112280571406
2023-12,41-49,2021,272,0.0002509905823166
2023-12,41-49,2022,771,0.0007114475697283
2023-12,41-49,2023,1082663,0.9990375618479552
2023-12,50+,2021,551,0.0002661411465804
2023-12,50+,2022,1617,0.0007810349074785
2023-12,50+,2023,2068162,0.998952823945941
2024-01,22-25,2021,81,0.0002293655917632
2024-01,22-25,2022,203,0.0005748298163942
2024-01,22-25,2023,352864,0.9991958045918424
2024-01,26-30,2021,132,0.0002476464209463
2024-01,26-30,2022,449,0.0008423730530676
2024-01,26-30,2023,532437,0.998909980525986
2024-01,31-34,2021,166,0.0003104683958135
2024-01,31-34,2022,386,0.0007219325348435
2024-01,31-34,2023,534124,0.998967599069343
2024-01,35-40,2021,217,0.0002855815532741
2024-01,35-40,2022,484,0.0006369653077634
2024-01,35-40,2023,759152,0.9990774531389623
2024-01,41-49,2021,291,0.0002755934967511
2024-01,41-49,2022,586,0.0005549752202617
2024-01,41-49,2023,1055026,0.9991694312829872
2024-01,50+,2021,506,0.0002446627498062
2024-01,50+,2022,1129,0.0005458977164648
2024-01,50+,2023,2066518,0.9992094395337288
2024-02,22-25,2021,72,0.0002118008366133
2024-02,22-25,2022,151,0.0004441934212306
2024-02,22-25,2023,339719,0.999344005742156
2024-02,26-30,2021,138,0.0002635121587947
2024-02,26-30,2022,316,0.0006034046534719
2024-02,26-30,2023,523241,0.9991330831877332
2024-02,31-34,2021,173,0.0003264255645935
2024-02,31-34,2022,325,0.000613227216722
2024-02,31-34,2023,529485,0.9990603472186844
2024-02,35-40,2021,220,0.0002914138871963
2024-02,35-40,2022,431,0.0005709062971891
2024-02,35-40,2023,754289,0.9991376798156144
2024-02,41-49,2021,297,0.0002832790938121
2024-02,41-49,2022,514,0.0004902540546108
2024-02,41-49,2023,1047625,0.999226466851577
2024-02,50+,2021,514,0.0002503992260033
2024-02,50+,2022,721,0.0003512409376427
2024-02,50+,2023,2051487,0.9993983598363538
2024-03,22-25,2021,55,0.0001611202249824
2024-03,22-25,2022,162,0.0004745722990391
2024-03,22-25,2023,341143,0.9993643074759784
2024-03,26-30,2021,141,0.0002675511667887
2024-03,26-30,2022,325,0.000616695951818
2024-03,26-30,2023,526536,0.9991157528813932
2024-03,31-34,2021,190,0.000357160312346
2024-03,31-34,2022,332,0.0006240906510468
2024-03,31-34,2023,531452,0.999018749036607
2024-03,35-40,2021,256,0.0003371180097395
2024-03,35-40,2022,469,0.0006176107287806
2024-03,35-40,2023,758653,0.9990452712614798
2024-03,41-49,2021,314,0.0002976856363836
2024-03,41-49,2022,550,0.0005214238853853
2024-03,41-49,2023,1053940,0.999180890478231
2024-03,50+,2021,531,0.0002571032644851
2024-03,50+,2022,755,0.0003655611387689
2024-03,50+,2023,2064032,0.999377335596746
2024-04,22-25,2021,81,0.0002334610163336
2024-04,22-25,2022,153,0.0004409819197412
2024-04,22-25,2023,346719,0.9993255570639252
2024-04,26-30,2021,159,0.0003000747355945
2024-04,26-30,2022,362,0.0006831890206617
2024-04,26-30,2023,529347,0.9990167362437438
2024-04,31-34,2021,193,0.0003617856841592
2024-04,31-34,2022,350,0.000656088028268
2024-04,31-34,2023,532922,0.9989821262875728
2024-04,35-40,2021,247,0.0003245737833739
2024-04,35-40,2022,453,0.0005952709468356
2024-04,35-40,2023,760298,0.9990801552697904
2024-04,41-49,2021,321,0.0003036804940626
2024-04,41-49,2022,540,0.0005108643825352
2024-04,41-49,2023,1056171,0.9991854551234022
2024-04,50+,2021,535,0.0002584966895512
2024-04,50+,2022,722,0.0003488497380486
2024-04,50+,2023,2068402,0.9993926535724
2024-05,22-25,2021,83,0.0002338555167361
2024-05,22-25,2022,182,0.0005127916150118
2024-05,22-25,2023,354655,0.999253352868252
2024-05,26-30,2021,167,0.0003113673314141
2024-05,26-30,2022,362,0.0006749399639037
2024-05,26-30,2023,535815,0.999013692704682
2024-05,31-34,2021,216,0.0004006365669897
2024-05,31-34,2022,341,0.0006324864321458
2024-05,31-34,2023,538585,0.9989668770008644
2024-05,35-40,2021,267,0.0003474110718737
2024-05,35-40,2022,445,0.0005790184531229
2024-05,35-40,2023,767830,0.9990735704750032
2024-05,41-49,2021,337,0.0003156612963656
2024-05,41-49,2022,518,0.0004852004496065
2024-05,41-49,2023,1066745,0.9991991382540276
2024-05,50+,2021,577,0.0002757915264606
2024-05,50+,2022,761,0.0003637389109819
2024-05,50+,2023,2090822,0.9993604695625572
2024-06,22-25,2021,116,0.0003018734369591
2024-06,22-25,2022,231,0.0006011445167032
2024-06,22-25,2023,383920,0.9990969820463376
2024-06,26-30,2021,180,0.0003245049946727
2024-06,26-30,2022,422,0.0007607839319549
2024-06,26-30,2023,554089,0.9989147110733724
2024-06,31-34,2021,226,0.0004110839884605
2024-06,31-34,2022,361,0.0006566430081161
2024-06,31-34,2023,549179,0.9989322730034232
2024-06,35-40,2021,265,0.0003400252003582
2024-06,35-40,2022,463,0.0005940817651542
2024-06,35-40,2023,778626,0.9990658930344876
2024-06,41-49,2021,335,0.0003110211986478
2024-06,41-49,2022,556,0.0005162023476065
2024-06,41-49,2023,1076206,0.9991727764537456
2024-06,50+,2021,562,0.0002663672483931
2024-06,50+,2022,729,0.0003455190819903
2024-06,50+,2023,2108578,0.9993881136696164
2024-07,22-25,2021,183,0.0004567817107598
2024-07,22-25,2022,293,0.0007313499522001
2024-07,22-25,2023,400153,0.99881186833704
2024-07,26-30,2021,215,0.00039148849388
2024-07,26-30,2022,417,0.0007593055904556
2024-07,26-30,2023,548554,0.9988492059156644
2024-07,31-34,2021,229,0.000425417289776
2024-07,31-34,2022,358,0.0006650628372918
2024-07,31-34,2023,537708,0.998909519872932
2024-07,35-40,2021,262,0.0003439299643074
2024-07,35-40,2022,444,0.0005828431456202
2024-07,35-40,2023,761077,0.9990732268900724
2024-07,41-49,2021,324,0.0003072578281992
2024-07,41-49,2022,518,0.0004912331944667
2024-07,41-49,2023,1053647,0.999201508977334
2024-07,50+,2021,571,0.0002777560231953
2024-07,50+,2022,682,0.0003317506266535
2024-07,50+,2023,2054508,0.9993904933501512
2024-08,22-25,2021,206,0.0005265269921762
2024-08,22-25,2022,340,0.000869025132718
2024-08,22-25,2023,390697,0.9986044478751056
2024-08,26-30,2021,225,0.0004150058746387
2024-08,26-30,2022,430,0.0007931223381984
2024-08,26-30,2023,541506,0.9987918717871628
2024-08,31-34,2021,225,0.000422954591595
2024-08,31-34,2022,359,0.0006748475483672
2024-08,31-34,2023,531388,0.9989021978600378
2024-08,35-40,2021,264,0.0003511712358833
2024-08,35-40,2022,455,0.0006052383042685
2024-08,35-40,2023,751051,0.999043590459848
2024-08,41-49,2021,333,0.0003200608980735
2024-08,41-49,2022,513,0.0004930667889241
2024-08,41-49,2023,1039581,0.9991868723130024
2024-08,50+,2021,571,0.0002844085820663
2024-08,50+,2022,675,0.000336209794912
2024-08,50+,2023,2006429,0.9993793816230216
2024-09,22-25,2021,200,0.0005046720010497
2024-09,22-25,2022,344,0.0008680358418055
2024-09,22-25,2023,395753,0.9986272921571449
2024-09,26-30,2021,250,0.0004535073350276
2024-09,26-30,2022,475,0.0008616639365525
2024-09,26-30,2023,550534,0.99868482872842
2024-09,31-34,2021,243,0.000449309394819
2024-09,31-34,2022,390,0.0007211138435367
2024-09,31-34,2023,540197,0.9988295767616442
2024-09,35-40,2021,276,0.0003605726834838
2024-09,35-40,2022,471,0.0006153251229017
2024-09,35-40,2023,764702,0.9990241021936144
2024-09,41-49,2021,346,0.0003272294635139
2024-09,41-49,2022,526,0.0004974644445327
2024-09,41-49,2023,1056490,0.9991753060919534
2024-09,50+,2021,569,0.0002787477611998
2024-09,50+,2022,666,0.0003262671510705
2024-09,50+,2023,2040037,0.9993949850877296
2024-10,22-25,2021,142,0.0003997500154832
2024-10,22-25,2022,289,0.000813575735737
2024-10,22-25,2023,354791,0.9987866742487796
2024-10,26-30,2021,259,0.0004843747077855
2024-10,26-30,2022,486,0.0009089038918292
2024-10,26-30,2023,533965,0.9986067214003852
2024-10,31-34,2021,250,0.0004676760987582
2024-10,31-34,2022,392,0.0007333161228528
2024-10,31-34,2023,533916,0.9987990077783888
2024-10,35-40,2021,291,0.0003822032506977
2024-10,35-40,2022,477,0.0006264981119684
2024-10,35-40,2023,760607,0.9989912986373338
2024-10,41-49,2021,350,0.000331138985655
2024-10,41-49,2022,509,0.0004815706962812
2024-10,41-49,2023,1056099,0.9991872903180636
2024-10,50+,2021,581,0.0002834778289599
2024-10,50+,2022,649,0.0003166559569621
2024-10,50+,2023,2048313,0.999399866214078
2024-11,22-25,2021,134,0.0003818730015787
2024-11,22-25,2022,301,0.0008577893542926
2024-11,22-25,2023,350467,0.9987603376441284
2024-11,26-30,2021,283,0.0005335917702425
2024-11,26-30,2022,508,0.0009578255098346
2024-11,26-30,2023,529577,0.9985085827199228
2024-11,31-34,2021,262,0.0004932637492563
2024-11,31-34,2022,417,0.0007850800894652
2024-11,31-34,2023,530477,0.9987216561612784
2024-11,35-40,2021,288,0.0003799617663472
2024-11,35-40,2022,474,0.0006253537404465
2024-11,35-40,2023,757209,0.9989946844932062
2024-11,41-49,2021,355,0.0003368409067187
2024-11,41-49,2022,500,0.0004744238122799
2024-11,41-49,2023,1053055,0.9991887352810012
2024-11,50+,2021,583,0.0002850553266474
2024-11,50+,2022,629,0.0003075468275493
2024-11,50+,2023,2044005,0.9994073978458032
2024-12,22-25,2021,142,0.0004007495710286
2024-12,22-25,2022,301,0.0008494762033775
2024-12,22-25,2023,353893,0.9987497742255936
2024-12,26-30,2021,315,0.0005911618488539
2024-12,26-30,2022,512,0.0009608725924229
2024-12,26-30,2023,532022,0.9984479655587232
2024-12,31-34,2021,279,0.0005209733799408
2024-12,31-34,2022,420,0.0007842610020614
2024-12,31-34,2023,534837,0.9986947656179976
2024-12,35-40,2021,307,0.0004014530770659
2024-12,35-40,2022,502,0.0006564477025638
2024-12,35-40,2023,763913,0.9989420992203702
2024-12,41-49,2021,376,0.0003527955765439
2024-12,41-49,2022,541,0.0005076127843358
2024-12,41-49,2023,1064856,0.99913959163912
2024-12,50+,2021,596,0.0002860790845469
2024-12,50+,2022,675,0.0003239989632033
2024-12,50+,2023,2082069,0.9993899219522496
2025-01,22-25,2021,141,0.0004080888418091
2025-01,22-25,2022,308,0.000891428108349
2025-01,22-25,2023,345064,0.9987004830498418
2025-01,26-30,2021,271,0.000527430266323
2025-01,26-30,2022,508,0.0009886884697126
2025-01,26-30,2023,513033,0.9984838812639644
2025-01,31-34,2021,270,0.0005229396179054
2025-01,31-34,2022,432,0.0008367033886487
2025-01,31-34,2023,515610,0.9986403569934458
2025-01,35-40,2021,333,0.0004267950384115
2025-01,35-40,2022,511,0.0006549317256105
2025-01,35-40,2023,779390,0.998918273235978
2025-01,41-49,2021,373,0.000354897056067
2025-01,41-49,2022,554,0.0005271125175902
2025-01,41-49,2023,1050082,0.9991179904263426
2025-01,50+,2021,584,0.0002805798393776
2025-01,50+,2022,676,0.0003247807729782
2025-01,50+,2023,2080144,0.999394639387644
2025-02,22-25,2021,150,0.0004452584428421
2025-02,22-25,2022,303,0.0008994220545411
2025-02,22-25,2023,336430,0.9986553195026168
2025-02,26-30,2021,305,0.0006007461069682
2025-02,26-30,2022,512,0.0010084655959598
2025-02,26-30,2023,506885,0.998390788297072
2025-02,31-34,2021,280,0.000546540884186
2025-02,31-34,2022,458,0.00089398473199
2025-02,31-34,2023,511575,0.998559474383824
2025-02,35-40,2021,359,0.000462538861639
2025-02,35-40,2022,516,0.0006648190880382
2025-02,35-40,2023,775276,0.9988726420503228
2025-02,41-49,2021,386,0.0003691621453867
2025-02,41-49,2022,567,0.0005422666747002
2025-02,41-49,2023,1044658,0.999088571179913
2025-02,50+,2021,584,0.0002823772879692
2025-02,50+,2022,689,0.0003331471770732
2025-02,50+,2023,2066882,0.9993844755349576
2025-03,22-25,2021,143,0.0004232885673606
2025-03,22-25,2022,308,0.0009116984527766
2025-03,22-25,2023,337380,0.9986650129798628
2025-03,26-30,2021,316,0.0006208263670459
2025-03,26-30,2022,536,0.0010530472554955
2025-03,26-30,2023,508147,0.9983261263774584
2025-03,31-34,2021,299,0.0005824463526001
2025-03,31-34,2022,490,0.0009545107450638
2025-03,31-34,2023,512563,0.998463042902336
2025-03,35-40,2021,364,0.0004679517341211
2025-03,35-40,2022,557,0.0007160689997403
2025-03,35-40,2023,776937,0.9988159792661384
2025-03,41-49,2021,405,0.0003856081516611
2025-03,41-49,2022,612,0.0005826967625101
2025-03,41-49,2023,1049272,0.9990316950858288
2025-03,50+,2021,618,0.0002971298125533
2025-03,50+,2022,701,0.00033703559644
2025-03,50+,2023,2078580,0.9993658345910066
2025-04,22-25,2021,143,0.0004159830581445
2025-04,22-25,2022,321,0.0009337801514992
2025-04,22-25,2023,343300,0.998650236790356
2025-04,26-30,2021,321,0.0006272557268838
2025-04,26-30,2022,568,0.0011099104450779
2025-04,26-30,2023,510864,0.9982628338280382
2025-04,31-34,2021,305,0.0005924090069476
2025-04,31-34,2022,505,0.0009808739295363
2025-04,31-34,2023,514037,0.998426717063516
2025-04,35-40,2021,355,0.0004551772242138
2025-04,35-40,2022,557,0.0007141794757384
2025-04,35-40,2023,779004,0.9988306433000476
2025-04,41-49,2021,389,0.0003696288603173
2025-04,41-49,2022,585,0.0005558685945646
2025-04,41-49,2023,1051433,0.999074502545118
2025-04,50+,2021,586,0.000281355808509
2025-04,50+,2022,704,0.0003380110737036
2025-04,50+,2023,2081482,0.9993806331177872
2025-05,22-25,2021,159,0.0004509742746121
2025-05,22-25,2022,346,0.000981365402615
2025-05,22-25,2023,352065,0.9985676603227728
2025-05,26-30,2021,336,0.000649356924058
2025-05,26-30,2022,595,0.0011499028863528
2025-05,26-30,2023,516504,0.998200740189589
2025-05,31-34,2021,315,0.0006073260878367
2025-05,31-34,2022,518,0.0009987140111092
2025-05,31-34,2023,517834,0.998393959901054
2025-05,35-40,2021,374,0.0004766735831068
2025-05,35-40,2022,581,0.0007405009406018
2025-05,35-40,2023,783649,0.9987828254762912
2025-05,41-49,2021,400,0.0003782066010289
2025-05,41-49,2022,579,0.0005474540549893
2025-05,41-49,2023,1056644,0.9990743393439816
2025-05,50+,2021,606,0.0002899547890626
2025-05,50+,2022,696,0.0003330173814977
2025-05,50+,2023,2088679,0.9993770278294396
2025-06,22-25,2021,189,0.0004951208330604
2025-06,22-25,2022,407,0.0010662125875957
2025-06,22-25,2023,381129,0.9984386665793438
2025-06,26-30,2021,348,0.0006486595301691
2025-06,26-30,2022,647,0.0012059848161478
2025-06,26-30,2023,535496,0.9981453556536828
2025-06,31-34,2021,320,0.0006027398292362
2025-06,31-34,2022,552,0.0010397262054325
2025-06,31-34,2023,530037,0.9983575339653312
2025-06,35-40,2021,375,0.0004692855721592
2025-06,35-40,2022,619,0.0007746340511108
2025-06,35-40,2023,798093,0.99875608037673
2025-06,41-49,2021,427,0.0003979897324241
2025-06,41-49,2022,618,0.0005760132427122
2025-06,41-49,2023,1071847,0.9990259970248636
2025-06,50+,2021,642,0.0002974650142685
2025-06,50+,2022,737,0.000341482422922
2025-06,50+,2023,2156858,0.9993610525628094
