period,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status
2019H1,0.0030601003704863,0.0054434220975607,0.574003732196017,18867654,67708013,True,75.6189661026001,ok
2019H2,-0.0012106264884776,0.0046979451604544,0.796644028585735,18867654,67708013,True,75.6189661026001,ok
2020H1,0.0058127399176507,0.0041236693937906,0.158656713636001,18867654,67708013,True,75.6189661026001,ok
2020H2,0.0083169966552269,0.0037800008369705,0.0277882281513216,18867654,67708013,True,75.6189661026001,ok
2021H1,0.0106053979300855,0.0024526288131809,1.53159873244631e-05,18867654,67708013,True,75.6189661026001,ok
2021H2,0.0071099585524704,0.0019656163189305,0.0002978474475733,18867654,67708013,True,75.6189661026001,ok
2022H1,0.0,0.0,,18867654,67708013,True,75.6189661026001,reference
2022H2,-0.0059315429506463,0.0014019159011204,2.32627539378134e-05,18867654,67708013,True,75.6189661026001,ok
2023H1,-0.0148116733538391,0.0025054848553875,3.3859601300888e-09,18867654,67708013,True,75.6189661026001,ok
2023H2,-0.0179210787332792,0.002985715180066,1.94573733846412e-09,18867654,67708013,True,75.6189661026001,ok
2024H1,-0.0258458149921487,0.0036225127771412,9.694533826937329e-13,18867654,67708013,True,75.6189661026001,ok
2024H2,-0.0255578678126596,0.0037695920374311,1.20168424655657e-11,18867654,67708013,True,75.6189661026001,ok
2025H1,-0.0336667669672804,0.0047283410208603,1.0776506907584399e-12,18867654,67708013,True,75.6189661026001,ok
