period,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,age_group
2019H1,0.595436251065385,0.0149978942635507,0.0,12568140,21721963,True,44.6137290000916,ok,22-25
2019H2,0.626424402288907,0.0144373860960849,0.0,12568140,21721963,True,44.6137290000916,ok,22-25
2020H1,0.435676774283407,0.0127764044686046,7.34897157831897e-255,12568140,21721963,True,44.6137290000916,ok,22-25
2020H2,0.490229532075271,0.0123092942775549,0.0,12568140,21721963,True,44.6137290000916,ok,22-25
2021H1,0.26322687500075,0.0096086798386699,3.17197100298441e-165,12568140,21721963,True,44.6137290000916,ok,22-25
2021H2,0.281816433775723,0.0075103200649088,3.75662595563431e-308,12568140,21721963,True,44.6137290000916,ok,22-25
2022H1,0.0,0.0,,12568140,21721963,True,44.6137290000916,reference,22-25
2022H2,-0.0196568921143506,0.0068408368280029,0.0040599851854619,12568140,21721963,True,44.6137290000916,ok,22-25
2023H1,-0.284326546341762,0.0120778187156822,1.54434756002229e-122,12568140,21721963,True,44.6137290000916,ok,22-25
2023H2,-0.301865398114343,0.015784038801004,1.57200904892729e-81,12568140,21721963,True,44.6137290000916,ok,22-25
2024H1,-0.558561628485745,0.0188648626334132,1.15905019565076e-192,12568140,21721963,True,44.6137290000916,ok,22-25
2024H2,-0.622759737787408,0.0180621772639812,1.67535184866511e-260,12568140,21721963,True,44.6137290000916,ok,22-25
2025H1,-0.859057067428848,0.0250268053736516,3.2713211116740897e-258,12568140,21721963,True,44.6137290000916,ok,22-25
2019H1,0.195636003051949,0.0096940388904794,1.43626153611028e-90,15705144,36326712,True,59.3069250583649,ok,26-30
2019H2,0.190347159010461,0.0083078562488827,3.5516133031829497e-116,15705144,36326712,True,59.3069250583649,ok,26-30
2020H1,0.140742028254677,0.0076892346424143,7.72076185074256e-75,15705144,36326712,True,59.3069250583649,ok,26-30
2020H2,0.149587513817916,0.0067118951969979,4.948194173013421e-110,15705144,36326712,True,59.3069250583649,ok,26-30
2021H1,0.0936255328025791,0.0060293735284067,2.2344337005778502e-54,15705144,36326712,True,59.3069250583649,ok,26-30
2021H2,0.0900713806676205,0.0040424552337527,5.60366677137974e-110,15705144,36326712,True,59.3069250583649,ok,26-30
2022H1,0.0,0.0,,15705144,36326712,True,59.3069250583649,reference,26-30
2022H2,-0.024745109213347,0.0045514492185058,5.42600049437148e-08,15705144,36326712,True,59.3069250583649,ok,26-30
2023H1,-0.129364780264715,0.0072160269855362,7.20401325314607e-72,15705144,36326712,True,59.3069250583649,ok,26-30
2023H2,-0.139983531027122,0.0094855694585088,2.75194740457091e-49,15705144,36326712,True,59.3069250583649,ok,26-30
2024H1,-0.262770517910325,0.010645315513848,1.5829558090308e-134,15705144,36326712,True,59.3069250583649,ok,26-30
2024H2,-0.283752752533134,0.0111685793273193,2.14604809491009e-142,15705144,36326712,True,59.3069250583649,ok,26-30
2025H1,-0.474108626086225,0.013018358042937,2.1721870101364303e-290,15705144,36326712,True,59.3069250583649,ok,26-30
2019H1,0.0910393234398399,0.0099507076413116,5.744699863553621e-20,13582062,31670000,True,50.0398960113525,ok,31-34
2019H2,0.0819308795979988,0.0086728136834764,3.4913849284183e-21,13582062,31670000,True,50.0398960113525,ok,31-34
2020H1,0.0577866883182384,0.0071169192947802,4.6764122034549e-16,13582062,31670000,True,50.0398960113525,ok,31-34
2020H2,0.0568735379319862,0.0063297276218788,2.58386884195686e-19,13582062,31670000,True,50.0398960113525,ok,31-34
2021H1,0.0350578238607936,0.0047564685323926,1.69916213709303e-13,13582062,31670000,True,50.0398960113525,ok,31-34
2021H2,0.029402879373833,0.0036823728092893,1.40790925364742e-15,13582062,31670000,True,50.0398960113525,ok,31-34
2022H1,0.0,0.0,,13582062,31670000,True,50.0398960113525,reference,31-34
2022H2,-0.0139406909265029,0.0029289163218243,1.9390456583928e-06,13582062,31670000,True,50.0398960113525,ok,31-34
2023H1,-0.0508695000485541,0.0052364147173005,2.6135824939301e-22,13582062,31670000,True,50.0398960113525,ok,31-34
2023H2,-0.0586819067876878,0.0062637453262458,7.35696431487603e-21,13582062,31670000,True,50.0398960113525,ok,31-34
2024H1,-0.101102791932644,0.0074139516402514,2.4184978681749e-42,13582062,31670000,True,50.0398960113525,ok,31-34
2024H2,-0.106740708271007,0.0078084746630975,1.5370335590151898e-42,13582062,31670000,True,50.0398960113525,ok,31-34
2025H1,-0.155618314378238,0.0091395151372913,5.181254444548191e-65,13582062,31670000,True,50.0398960113525,ok,31-34
2019H1,0.0591287531775814,0.0086426957436287,7.8384018097599e-12,15668640,44922324,True,60.2233109474182,ok,35-40
2019H2,0.0518757420829528,0.0076328152773434,1.07258257103191e-11,15668640,44922324,True,60.2233109474182,ok,35-40
2020H1,0.0384982466292536,0.0068351730521064,1.77746356714101e-08,15668640,44922324,True,60.2233109474182,ok,35-40
2020H2,0.0376450038878546,0.006375216492713,3.52864743814742e-09,15668640,44922324,True,60.2233109474182,ok,35-40
2021H1,0.0296176344510246,0.0042979963140517,5.53886850964975e-12,15668640,44922324,True,60.2233109474182,ok,35-40
2021H2,0.0247048745356152,0.0032407125301126,2.47300446691986e-14,15668640,44922324,True,60.2233109474182,ok,35-40
2022H1,0.0,0.0,,15668640,44922324,True,60.2233109474182,reference,35-40
2022H2,-0.0119026604540733,0.0020583132856892,7.350000209896851e-09,15668640,44922324,True,60.2233109474182,ok,35-40
2023H1,-0.0360198838628618,0.004012280501703,2.7721729959522203e-19,15668640,44922324,True,60.2233109474182,ok,35-40
2023H2,-0.0400793804137409,0.0048409244627818,1.23919811439551e-16,15668640,44922324,True,60.2233109474182,ok,35-40
2024H1,-0.0587836506184115,0.0063988711231707,4.05583049424448e-20,15668640,44922324,True,60.2233109474182,ok,35-40
2024H2,-0.0603986527434744,0.0066443589927796,9.88432706485518e-20,15668640,44922324,True,60.2233109474182,ok,35-40
2025H1,-0.085064252028902,0.0081289824087374,1.25981259717667e-25,15668640,44922324,True,60.2233109474182,ok,35-40
2019H1,0.0030601003704863,0.0054434220975607,0.574003732196017,18867654,67708013,True,75.6189661026001,ok,41-49
2019H2,-0.0012106264884776,0.0046979451604544,0.796644028585735,18867654,67708013,True,75.6189661026001,ok,41-49
2020H1,0.0058127399176507,0.0041236693937906,0.158656713636001,18867654,67708013,True,75.6189661026001,ok,41-49
2020H2,0.0083169966552269,0.0037800008369705,0.0277882281513216,18867654,67708013,True,75.6189661026001,ok,41-49
2021H1,0.0106053979300855,0.0024526288131809,1.53159873244631e-05,18867654,67708013,True,75.6189661026001,ok,41-49
2021H2,0.0071099585524704,0.0019656163189305,0.0002978474475733,18867654,67708013,True,75.6189661026001,ok,41-49
2022H1,0.0,0.0,,18867654,67708013,True,75.6189661026001,reference,41-49
