period,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status
2019H1,-0.0212898856850193,0.0161414141796502,0.18718236034186,16967730,45465068,True,73.120983839035,ok
2019H2,-0.0278974156914923,0.0158718180945939,0.0788037054312963,16967730,45465068,True,73.120983839035,ok
2020H1,-0.0198446433652332,0.0072275501911346,0.0060382999706684,16967730,45465068,True,73.120983839035,ok
2020H2,-0.0202626467384518,0.0070557199686466,0.0040813566664495,16967730,45465068,True,73.120983839035,ok
2021H1,-0.0067762293566855,0.0047561926694551,0.154238974023753,16967730,45465068,True,73.120983839035,ok
2021H2,-0.0137839572444546,0.0041530402456639,0.0009033913091424,16967730,45465068,True,73.120983839035,ok
2022H1,0.0,0.0,,16967730,45465068,True,73.120983839035,reference
2022H2,-0.0130758230890411,0.0021924824069365,2.4623436209050303e-09,16967730,45465068,True,73.120983839035,ok
2023H1,0.017950193749233,0.0045905495660387,9.22008678394168e-05,16967730,45465068,True,73.120983839035,ok
2023H2,0.0132036886126646,0.0049871335550565,0.0081077216775007,16967730,45465068,True,73.120983839035,ok
2024H1,-0.0058774684136786,0.0055197723823799,0.286965233110051,16967730,45465068,True,73.120983839035,ok
2024H2,-0.0071017839794064,0.0056863215599039,0.211692839636135,16967730,45465068,True,73.120983839035,ok
2025H1,-0.0311594889127115,0.0068167013078201,4.85284289598435e-06,16967730,45465068,True,73.120983839035,ok
