period,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status
2019H1,-0.0542462938712371,0.010602804700569,3.11717525467161e-07,29591094,128110140,True,124.575073957443,ok
2019H2,-0.0528597008008555,0.0102616778297585,2.58859162280999e-07,29591094,128110140,True,124.575073957443,ok
2020H1,-0.036866582615516,0.0038998577688073,3.28267327022235e-21,29591094,128110140,True,124.575073957443,ok
2020H2,-0.0298684756918086,0.0037466821333484,1.56151859023254e-15,29591094,128110140,True,124.575073957443,ok
2021H1,-0.0155133751371957,0.0021376039764796,3.94699693123806e-13,29591094,128110140,True,124.575073957443,ok
2021H2,-0.0114634004999203,0.0020455692607757,2.09442760324131e-08,29591094,128110140,True,124.575073957443,ok
2022H1,0.0,0.0,,29591094,128110140,True,124.575073957443,reference
2022H2,0.0046300177011067,0.0011633443338669,6.89383837998425e-05,29591094,128110140,True,124.575073957443,ok
2023H1,0.0145219044237071,0.003252821985682,8.02927522547496e-06,29591094,128110140,True,124.575073957443,ok
2023H2,0.0164072237406177,0.0036692776325951,7.76680280611496e-06,29591094,128110140,True,124.575073957443,ok
2024H1,0.0310122089788211,0.003663376486785,2.55118651524473e-17,29591094,128110140,True,124.575073957443,ok
2024H2,0.0373075306005448,0.004070924698597,4.9829229896118905e-20,29591094,128110140,True,124.575073957443,ok
2025H1,0.0352473453684373,0.0082333201297883,1.86004393185398e-05,29591094,128110140,True,124.575073957443,ok
