term,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,age_group,period,decile
rb_d1,0.0143563770891726,0.0233362669862239,0.538425317827725,12344358,19156945,True,55.2916939258575,ok,22-25,post_riksbank,1
gpt_d1,0.0555274472408795,0.0231789787194471,0.0165934102585357,12344358,19156945,True,55.2916939258575,ok,22-25,post_chatgpt,1
rb_d2,0.0396346700406194,0.020578997794589,0.0541072845856312,12344358,19156945,True,55.2916939258575,ok,22-25,post_riksbank,2
gpt_d2,-0.046174166407593,0.0251561406647294,0.0664312258925687,12344358,19156945,True,55.2916939258575,ok,22-25,post_chatgpt,2
rb_d3,0.0580736075490612,0.0209163361397808,0.0054952481900789,12344358,19156945,True,55.2916939258575,ok,22-25,post_riksbank,3
gpt_d3,0.0827856315056401,0.014122070792006,4.56924800140479e-09,12344358,19156945,True,55.2916939258575,ok,22-25,post_chatgpt,3
rb_d4,0.0511741700383335,0.0196996224726608,0.009384405688224,12344358,19156945,True,55.2916939258575,ok,22-25,post_riksbank,4
gpt_d4,-0.0339027630632059,0.0150630711649652,0.0244032455314017,12344358,19156945,True,55.2916939258575,ok,22-25,post_chatgpt,4
rb_d6,0.0401671706418534,0.0225241828714611,0.0745389598163204,12344358,19156945,True,55.2916939258575,ok,22-25,post_riksbank,6
gpt_d6,-0.15473922387802,0.019959250959989,8.991854179601581e-15,12344358,19156945,True,55.2916939258575,ok,22-25,post_chatgpt,6
rb_d7,-0.029899642810841,0.0168335891009885,0.0757017020058493,12344358,19156945,True,55.2916939258575,ok,22-25,post_riksbank,7
gpt_d7,-0.0610374298144798,0.0149390855136676,4.39338901586148e-05,12344358,19156945,True,55.2916939258575,ok,22-25,post_chatgpt,7
rb_d8,-0.0050608374912997,0.0180549302104354,0.779245627686578,12344358,19156945,True,55.2916939258575,ok,22-25,post_riksbank,8
gpt_d8,-0.128235326381088,0.018220508613228,1.9506578736934897e-12,12344358,19156945,True,55.2916939258575,ok,22-25,post_chatgpt,8
rb_d9,0.0435893927192743,0.0183314944923422,0.0174142982595601,12344358,19156945,True,55.2916939258575,ok,22-25,post_riksbank,9
gpt_d9,-0.16175775014518,0.019653856002281,1.8669605256074096e-16,12344358,19156945,True,55.2916939258575,ok,22-25,post_chatgpt,9
rb_d10,0.0107445667197972,0.018089346151135,0.552530781224748,12344358,19156945,True,55.2916939258575,ok,22-25,post_riksbank,10
gpt_d10,-0.242238284231038,0.0177499994406008,2.09705728507006e-42,12344358,19156945,True,55.2916939258575,ok,22-25,post_chatgpt,10
rb_d1,0.0201162943830324,0.0222046906668581,0.364963393525836,19020846,34080490,True,76.4643878936768,ok,26-30,post_riksbank,1
gpt_d1,-0.0303190870256151,0.0188812802309783,0.108323364071873,19020846,34080490,True,76.4643878936768,ok,26-30,post_chatgpt,1
rb_d2,0.0153999248661094,0.0154516200928531,0.318932299762662,19020846,34080490,True,76.4643878936768,ok,26-30,post_riksbank,2
gpt_d2,-0.0670883140336965,0.0156582578047609,1.83123861954219e-05,19020846,34080490,True,76.4643878936768,ok,26-30,post_chatgpt,2
rb_d3,0.0498327214839042,0.0176335169998263,0.0047129905952848,19020846,34080490,True,76.4643878936768,ok,26-30,post_riksbank,3
gpt_d3,0.0859063087826655,0.015088782823119,1.2454226047374e-08,19020846,34080490,True,76.4643878936768,ok,26-30,post_chatgpt,3
rb_d4,-0.0042458227143696,0.0190846560968306,0.823945607179447,19020846,34080490,True,76.4643878936768,ok,26-30,post_riksbank,4
