dm,mcl,beta_artificial,erases_headline
0.0,0.0,0.0,False
0.0,0.005,-0.0050125418235442,False
0.0,0.01,-0.0100503358535014,False
0.0,0.015,-0.0151136378100481,False
0.0,0.02,-0.0202027073175194,False
0.0,0.025,-0.0253178079842898,False
0.0,0.03,-0.0304592074847085,False
0.0,0.035,-0.0356271776431511,False
0.0,0.04,-0.0408219945202551,False
0.0,0.045,-0.0460439385014068,False
0.0,0.05,-0.0512932943875505,False
0.0,0.055,-0.0565703514883943,False
0.0,0.06,-0.0618754037180875,False
0.0,0.065,-0.0672087496934499,False
0.0,0.07,-0.0725706928348355,False
0.0,0.075,-0.0779615414697118,False
0.0,0.08,-0.083381608939051,False
0.0,0.085,-0.0888312137066157,False
0.0,0.09,-0.0943106794712412,False
0.0,0.095,-0.0998203352822109,False
0.0,0.1,-0.1053605156578262,False
0.0,0.105,-0.1109315607072816,False
0.0,0.11,-0.1165338162559515,False
0.0,0.115,-0.1221676339742075,False
0.0,0.12,-0.1278333715098848,False
0.0,0.125,-0.1335313926245226,False
0.0,0.13,-0.1392620673335076,False
0.0,0.135,-0.1450257720502577,False
0.0,0.14,-0.1508228897345836,False
0.0,0.145,-0.1566538100453768,False
0.0,0.15,-0.1625189294977749,False
0.0,0.155,-0.1684186516249632,False
0.0,0.16,-0.1743533871447778,True
0.0,0.165,-0.1803235541312816,True
0.0,0.17,-0.1863295781914934,True
0.0,0.175,-0.1923718926474561,True
0.0,0.18,-0.1984509387238381,True
0.0,0.185,-0.2045671657412744,True
0.0,0.19,-0.2107210313156525,True
0.0,0.195,-0.2169130015635737,True
0.0,0.2,-0.2231435513142097,True
0.005,0.0,-0.0050125418235442,False
0.005,0.005,-0.0100250836470885,False
0.005,0.01,-0.0150628776770457,False
0.005,0.015,-0.0201261796335924,False
0.005,0.02,-0.0252152491410637,False
0.005,0.025,-0.0303303498078341,False
0.005,0.03,-0.0354717493082528,False
0.005,0.035,-0.0406397194666954,False
0.005,0.04,-0.0458345363437994,False
0.005,0.045,-0.0510564803249511,False
0.005,0.05,-0.0563058362110948,False
0.005,0.055,-0.0615828933119386,False
0.005,0.06,-0.0668879455416318,False
0.005,0.065,-0.0722212915169942,False
0.005,0.07,-0.0775832346583798,False
0.005,0.075,-0.082974083293256,False
0.005,0.08,-0.0883941507625953,False
0.005,0.085,-0.0938437555301599,False
0.005,0.09,-0.0993232212947856,False
0.005,0.095,-0.1048328771057551,False
0.005,0.1,-0.1103730574813706,False
0.005,0.105,-0.1159441025308259,False
0.005,0.11,-0.1215463580794957,False
0.005,0.115,-0.1271801757977518,False
0.005,0.12,-0.1328459133334291,False
0.005,0.125,-0.1385439344480669,False
0.005,0.13,-0.1442746091570519,False
0.005,0.135,-0.150038313873802,False
0.005,0.14,-0.1558354315581279,False
0.005,0.145,-0.1616663518689211,False
0.005,0.15,-0.1675314713213191,False
0.005,0.155,-0.1734311934485075,False
0.005,0.16,-0.179365928968322,True
0.005,0.165,-0.1853360959548259,True
0.005,0.17,-0.1913421200150377,True
0.005,0.175,-0.1973844344710004,True
0.005,0.18,-0.2034634805473824,True
0.005,0.185,-0.2095797075648187,True
0.005,0.19,-0.2157335731391968,True
0.005,0.195,-0.2219255433871181,True
0.005,0.2,-0.2281560931377539,True
0.01,0.0,-0.0100503358535014,False
0.01,0.005,-0.0150628776770457,False
0.01,0.01,-0.0201006717070029,False
0.01,0.015,-0.0251639736635496,False
0.01,0.02,-0.0302530431710209,False
0.01,0.025,-0.0353681438377913,False
0.01,0.03,-0.04050954333821,False
0.01,0.035,-0.0456775134966526,False
0.01,0.04,-0.0508723303737566,False
0.01,0.045,-0.0560942743549083,False
0.01,0.05,-0.0613436302410519,False
0.01,0.055,-0.0666206873418957,False
