term,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,age_group
post_rb_x_high,0.0352779458213339,0.0142465046935861,0.0132769565871894,11682918,21181520,True,29.9634621143341,ok,22-25
post_gpt_x_high,-0.103463869193556,0.0148752305565885,3.5144732510935497e-12,11682918,21181520,True,29.9634621143341,ok,22-25
post_rb_x_wfh,-0.0753746789877304,0.0167428929204221,6.73515218332822e-06,11682918,21181520,True,29.9634621143341,ok,22-25
post_gpt_x_wfh,-0.127371006038223,0.0157950810771531,7.38579539261689e-16,11682918,21181520,True,29.9634621143341,ok,22-25
post_rb_x_high,0.0173253076339559,0.0091187279641039,0.057437084556555,15983058,36258195,True,43.2944421768188,ok,26-30
post_gpt_x_high,-6.17299238631075e-06,0.0076920094386231,0.99935968165021,15983058,36258195,True,43.2944421768188,ok,26-30
post_rb_x_wfh,-0.0089262231755186,0.0121704620476901,0.46329414347455,15983058,36258195,True,43.2944421768188,ok,26-30
post_gpt_x_wfh,-0.100946822660816,0.0122422643093569,1.64108239799627e-16,15983058,36258195,True,43.2944421768188,ok,26-30
post_rb_x_high,0.0251582832906845,0.0076178809251531,0.0009581670349286,14225562,31866644,True,30.6712701320648,ok,31-34
post_gpt_x_high,0.0217998993220258,0.0066847542755959,0.0011096642269939,14225562,31866644,True,30.6712701320648,ok,31-34
post_rb_x_wfh,-0.0026790217411253,0.0123268940456565,0.82795005021755,14225562,31866644,True,30.6712701320648,ok,31-34
post_gpt_x_wfh,-0.0258866250011181,0.0098075906829854,0.0083041176990282,14225562,31866644,True,30.6712701320648,ok,31-34
post_rb_x_high,0.0239497982220889,0.0060812533935861,8.20610673962544e-05,16967730,45465068,True,35.230751991272,ok,35-40
post_gpt_x_high,0.0165534971854861,0.0059705999428624,0.0055627266244688,16967730,45465068,True,35.230751991272,ok,35-40
post_rb_x_wfh,-0.0335444427780698,0.0120264704913121,0.0052835557585683,16967730,45465068,True,35.230751991272,ok,35-40
post_gpt_x_wfh,-0.0213670980930414,0.0080363923219577,0.0078421289667744,16967730,45465068,True,35.230751991272,ok,35-40
post_rb_x_high,0.0119030091472696,0.00466713007589,0.0107601993047879,21340410,69055871,True,45.1521778106689,ok,41-49
post_gpt_x_high,0.0148611503441661,0.00408446866716,0.0002742798698068,21340410,69055871,True,45.1521778106689,ok,41-49
post_rb_x_wfh,0.0101119409331349,0.0094490867508067,0.284551760582419,21340410,69055871,True,45.1521778106689,ok,41-49
post_gpt_x_wfh,-0.0296250344598427,0.0053176130606934,2.53114021143237e-08,21340410,69055871,True,45.1521778106689,ok,41-49
post_rb_x_high,0.0146675701090115,0.0038565630576512,0.0001427956518827,29591094,128110140,True,51.5227408409119,ok,50+
post_gpt_x_high,0.0058233580561722,0.0040597555554042,0.151455008295978,29591094,128110140,True,51.5227408409119,ok,50+
post_rb_x_wfh,0.0339603314307894,0.0065913243409077,2.57341994105675e-07,29591094,128110140,True,51.5227408409119,ok,50+
post_gpt_x_wfh,0.0340890391927047,0.0044411092538036,1.64397303005221e-14,29591094,128110140,True,51.5227408409119,ok,50+
